"varname"	"varlevel"	"Overall_Count"	"Overall_Percentage"	"Care_or_Nursing_Home_Count"	"Care_or_Nursing_Home_Percentage"	"Private_Home_Count"	"Private_Home_Percentage"
"Total"	"1"	4304348	100	95308	100	4209040	100
"Care_Home_Type"	"Care Home"	49227	1.14	49227	51.65		
	"Care or Nursing Home"	2324	0.05	2324	2.44		
	"Nursing Home"	43757	1.02	43757	45.91		
	"Private Home"	4209040	97.79			4209040	100
"Gender"	"Female"	2318733	53.87	66590	69.87	2252143	53.51
	"Male"	1985615	46.13	28718	30.13	1956897	46.49
"Age_in_Years"	"Mean, SD"	75	8	86	8	75	7
"Self - reported_Ethnicity"	"Asian or British Asian"	109809	2.55	562	0.59	109247	2.6
	"Black"	32472	0.75	439	0.46	32033	0.76
	"Missing"	1057953	24.58	25399	26.65	1032554	24.53
	"Mixed"	11777	0.27	184	0.19	11593	0.28
	"Other"	25818	0.6	321	0.34	25497	0.61
	"White"	3066519	71.24	68403	71.77	2998116	71.23
"Geographical_Region"	"East"	1014029	23.56	22331	23.43	991698	23.56
	"East Midlands"	765922	17.79	17127	17.97	748795	17.79
	"London"	165233	3.84	1942	2.04	163291	3.88
	"North East"	196318	4.56	4073	4.27	192245	4.57
	"North West"	402456	9.35	9253	9.71	393203	9.34
	"South East"	317509	7.38	8259	8.67	309250	7.35
	"South West"	721945	16.77	15691	16.46	706254	16.78
	"West Midlands"	151870	3.53	3041	3.19	148829	3.54
	"Yorkshire and The Humber"	568865	13.22	13591	14.26	555274	13.19
	"NA"	201	0			201	0
"Rural_or_Urban_Area"	"-1"	15105	0.35	290	0.3	14815	0.35
	"1"	655591	15.23	12955	13.59	642636	15.27
	"2"	257882	5.99	5842	6.13	252040	5.99
	"3"	2215643	51.47	56713	59.5	2158930	51.29
	"4"	10787	0.25	435	0.46	10352	0.25
	"5"	609623	14.16	10901	11.44	598722	14.22
	"6"	31791	0.74	902	0.95	30889	0.73
	"7"	467147	10.85	6744	7.08	460403	10.94
	"8"	40779	0.95	526	0.55	40253	0.96
"Quintile_of_Index_of_Multiple_Deprivation"	"1"	857168	19.91	23743	24.91	833425	19.8
	"2"	857168	19.91	21231	22.28	835937	19.86
	"3"	857168	19.91	18123	19.02	839045	19.93
	"4"	857168	19.91	16119	16.91	841049	19.98
	"5"	857168	19.91	15633	16.4	841535	19.99
	"NA"	18508	0.43	459	0.48	18049	0.43
"Diabetes"	"0"	3392827	78.82	73009	76.6	3319818	78.87
	"1"	911521	21.18	22299	23.4	889222	21.13
"Chronic_Kidney_Disease"	"0"	3862787	89.74	75706	79.43	3787081	89.97
	"1"	441561	10.26	19602	20.57	421959	10.03
"Lung_Cancer"	"0"	4280844	99.45	94690	99.35	4186154	99.46
	"1"	23504	0.55	618	0.65	22886	0.54
"Haematological_Cancer"	"0"	4244192	98.6	94035	98.66	4150157	98.6
	"1"	60156	1.4	1273	1.34	58883	1.4
"Other_Cancer"	"0"	3731292	86.69	81287	85.29	3650005	86.72
	"1"	573056	13.31	14021	14.71	559035	13.28
"Chronic_Liver_Disease"	"0"	4268282	99.16	94388	99.03	4173894	99.16
	"1"	36066	0.84	920	0.97	35146	0.84
"Chronic_Cardiac_Disease"	"0"	3444702	80.03	66408	69.68	3378294	80.26
	"1"	859646	19.97	28900	30.32	830746	19.74
"Chronic_Respiratory_Disease"	"0"	3820608	88.76	82781	86.86	3737827	88.8
	"1"	483740	11.24	12527	13.14	471213	11.2
"History_of_Stroke"	"0"	4017695	93.34	74413	78.08	3943282	93.69
	"1"	286653	6.66	20895	21.92	265758	6.31
"Dementia"	"0"	4257702	98.92	81280	85.28	4176422	99.23
	"1"	46646	1.08	14028	14.72	32618	0.77
