"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2020-03-01	1.33	"0.64-2.02"	0.14	"0.13-0.16"
"F"	2020-04-01	24.2	"21.73-26.67"	0.99	"0.95-1.03"
"F"	2020-05-01	13.4	"11.58-15.23"	0.45	"0.42-0.47"
"F"	2020-06-01	3.24	"2.28-4.21"	0.15	"0.13-0.16"
"F"	2020-07-01	1.55	"0.88-2.22"	0.04	"0.03-0.05"
"F"	2020-08-01	0.39	"0.13-0.64"	0.02	"0.01-0.02"
"F"	2020-09-01	0.42	"0.14-0.7"	0.03	"0.02-0.03"
"F"	2020-10-01	2.28	"1.52-3.05"	0.19	"0.17-0.21"
"F"	2020-11-01	6.52	"5.4-7.64"	0.51	"0.48-0.54"
"M"	2020-03-01	2.61	"1.77-3.45"	0.35	"0.32-0.37"
"M"	2020-04-01	44.82	"41.64-47.99"	1.93	"1.86-1.99"
"M"	2020-05-01	24.18	"21.88-26.48"	0.66	"0.62-0.7"
"M"	2020-06-01	4.67	"3.72-5.61"	0.23	"0.21-0.26"
"M"	2020-07-01	1.39	"0.8-1.97"	0.06	"0.05-0.07"
"M"	2020-08-01	0.63	"0.23-1.04"	0.02	"0.02-0.03"
"M"	2020-09-01	0.43	"0.22-0.63"	0.05	"0.04-0.06"
"M"	2020-10-01	4.02	"2.99-5.06"	0.38	"0.35-0.41"
"M"	2020-11-01	11.7	"10.1-13.31"	0.98	"0.93-1.02"
