"Date"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	37.26	2.74	13.58	"13.08-14.09"	34.52	"33.31-35.72"
2019-03-01	33.26	2.59	12.83	"12.34-13.34"	30.67	"29.53-31.8"
2019-04-01	34.06	2.63	12.93	"12.44-13.44"	31.43	"30.28-32.58"
2019-05-01	32.97	2.51	13.13	"12.63-13.65"	30.46	"29.33-31.58"
2019-06-01	31.12	2.33	13.37	"12.85-13.92"	28.8	"27.71-29.89"
2019-07-01	31.32	2.39	13.12	"12.61-13.66"	28.93	"27.84-30.02"
2019-08-01	31.36	2.35	13.36	"12.84-13.9"	29.02	"27.93-30.1"
2019-09-01	31.26	2.35	13.31	"12.8-13.85"	28.91	"27.83-29.99"
2019-10-01	37.67	2.57	14.64	"14.12-15.19"	35.1	"33.92-36.27"
2019-11-01	39.21	2.7	14.54	"14.03-15.07"	36.52	"35.32-37.71"
2019-12-01	43.62	3.04	14.35	"13.88-14.84"	40.58	"39.32-41.84"
2020-01-01	41.92	3.03	13.85	"13.38-14.33"	38.89	"37.65-40.13"
2020-02-01	37.4	2.61	14.35	"13.84-14.88"	34.79	"33.62-35.96"
2020-03-01	40.27	2.83	14.23	"13.74-14.74"	37.44	"36.23-38.65"
2020-04-01	54.59	2.7	20.2	"19.57-20.84"	51.88	"50.49-53.28"
2020-05-01	34.41	2.31	14.87	"14.31-15.46"	32.1	"30.95-33.24"
2020-06-01	26.51	2.2	12.05	"11.53-12.59"	24.31	"23.29-25.33"
2020-07-01	27.64	2.22	12.47	"11.95-13.01"	25.42	"24.38-26.47"
2020-08-01	30.17	2.28	13.23	"12.71-13.78"	27.89	"26.82-28.97"
2020-09-01	29.31	2.27	12.93	"12.41-13.47"	27.04	"25.98-28.1"
2020-10-01	33.42	2.37	14.1	"13.57-14.66"	31.05	"29.93-32.18"
2020-11-01	30.19	2.19	13.79	"13.24-14.36"	28	"26.94-29.07"
