"Date"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"F"	32.88	2.54	12.95	"12.33-13.6"	30.34	"28.99-31.7"
2019-03-01	"F"	30.18	2.35	12.82	"12.18-13.48"	27.82	"26.52-29.12"
2019-04-01	"F"	30.38	2.36	12.85	"12.21-13.51"	28.01	"26.71-29.31"
2019-05-01	"F"	29.76	2.29	12.97	"12.32-13.65"	27.46	"26.18-28.75"
2019-06-01	"F"	26.98	2.1	12.82	"12.16-13.52"	24.87	"23.66-26.09"
2019-07-01	"F"	28.39	2.13	13.32	"12.64-14.03"	26.25	"25.01-27.5"
2019-08-01	"F"	27.74	2.14	12.98	"12.32-13.68"	25.6	"24.38-26.82"
2019-09-01	"F"	27.64	2.12	13.02	"12.36-13.72"	25.51	"24.3-26.73"
2019-10-01	"F"	34.04	2.33	14.62	"13.94-15.33"	31.71	"30.37-33.05"
2019-11-01	"F"	34.87	2.41	14.5	"13.83-15.19"	32.47	"31.11-33.82"
2019-12-01	"F"	39.29	2.78	14.15	"13.54-14.78"	36.51	"35.07-37.94"
2020-01-01	"F"	36.86	2.78	13.24	"12.65-13.85"	34.08	"32.69-35.47"
2020-02-01	"F"	33.55	2.36	14.21	"13.55-14.9"	31.19	"29.86-32.52"
2020-03-01	"F"	35.16	2.56	13.75	"13.13-14.4"	32.61	"31.25-33.96"
2020-04-01	"F"	49.4	2.49	19.87	"19.07-20.71"	46.91	"45.32-48.5"
2020-05-01	"F"	32.13	2.08	15.42	"14.67-16.21"	30.05	"28.73-31.37"
2020-06-01	"F"	24.13	2.01	11.97	"11.32-12.67"	22.11	"20.95-23.27"
2020-07-01	"F"	25.16	2.03	12.4	"11.73-13.1"	23.13	"21.95-24.31"
2020-08-01	"F"	26.84	2.07	12.98	"12.31-13.69"	24.77	"23.56-25.98"
2020-09-01	"F"	25.94	2.02	12.81	"12.14-13.52"	23.91	"22.73-25.1"
2020-10-01	"F"	29.72	2.16	13.78	"13.09-14.49"	27.57	"26.3-28.83"
2020-11-01	"F"	27.51	2.01	13.69	"12.99-14.43"	25.5	"24.28-26.71"
2019-02-01	"M"	47.43	2.98	15.92	"15.02-16.86"	44.45	"41.99-46.91"
2019-03-01	"M"	40.41	2.87	14.09	"13.24-14.99"	37.54	"35.26-39.81"
2019-04-01	"M"	42.61	2.94	14.48	"13.63-15.38"	39.67	"37.33-42"
2019-05-01	"M"	40.41	2.76	14.64	"13.76-15.58"	37.65	"35.39-39.92"
2019-06-01	"M"	40.72	2.58	15.76	"14.81-16.77"	38.13	"35.87-40.39"
2019-07-01	"M"	38.11	2.68	14.22	"13.35-15.15"	35.43	"33.25-37.61"
2019-08-01	"M"	39.74	2.59	15.34	"14.42-16.32"	37.15	"34.94-39.36"
2019-09-01	"M"	39.62	2.61	15.2	"14.29-16.17"	37.01	"34.81-39.21"
2019-10-01	"M"	46.05	2.85	16.14	"15.24-17.1"	43.2	"40.84-45.55"
2019-11-01	"M"	49.22	3.03	16.24	"15.36-17.16"	46.19	"43.76-48.62"
2019-12-01	"M"	53.67	3.34	16.07	"15.24-16.94"	50.33	"47.79-52.86"
2020-01-01	"M"	53.64	3.3	16.23	"15.39-17.12"	50.34	"47.8-52.87"
2020-02-01	"M"	46.31	2.89	16.04	"15.15-16.99"	43.42	"41.06-45.79"
2020-03-01	"M"	52.07	3.14	16.57	"15.7-17.49"	48.93	"46.44-51.41"
2020-04-01	"M"	66.6	2.95	22.56	"21.49-23.7"	63.65	"60.86-66.44"
2020-05-01	"M"	39.86	2.58	15.47	"14.52-16.48"	37.28	"35.01-39.55"
2020-06-01	"M"	32.3	2.41	13.38	"12.47-14.36"	29.88	"27.8-31.97"
2020-07-01	"M"	33.64	2.43	13.83	"12.91-14.82"	31.21	"29.09-33.33"
2020-08-01	"M"	38.17	2.52	15.13	"14.19-16.13"	35.65	"33.43-37.87"
2020-09-01	"M"	37.37	2.54	14.69	"13.77-15.68"	34.83	"32.64-37.02"
2020-10-01	"M"	42.3	2.61	16.18	"15.22-17.2"	39.68	"37.36-42"
2020-11-01	"M"	36.63	2.4	15.28	"14.32-16.31"	34.23	"32.08-36.39"
