"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"65-74"	26.55	1.12	23.66	"20.83-26.87"	25.42	"22.2-28.65"
2019-03-01	"65-74"	22.12	1.08	20.39	"17.75-23.43"	21.04	"18.09-23.98"
2019-04-01	"65-74"	26.01	1.1	23.75	"20.89-27.01"	24.92	"21.73-28.1"
2019-05-01	"65-74"	17.84	1.05	17	"14.59-19.82"	16.79	"14.15-19.44"
2019-06-01	"65-74"	21.36	1.03	20.66	"17.95-23.77"	20.32	"17.45-23.19"
2019-07-01	"65-74"	20.12	1.03	19.55	"16.93-22.58"	19.09	"16.31-21.87"
2019-08-01	"65-74"	21.79	1.04	20.97	"18.27-24.06"	20.75	"17.88-23.62"
2019-09-01	"65-74"	22.43	1.02	21.92	"19.14-25.1"	21.4	"18.5-24.31"
2019-10-01	"65-74"	23.61	1.07	22.07	"19.34-25.18"	22.54	"19.57-25.52"
2019-11-01	"65-74"	26.13	1.11	23.57	"20.8-26.71"	25.02	"21.91-28.14"
2019-12-01	"65-74"	27.38	1.22	22.41	"19.84-25.32"	26.16	"22.97-29.34"
2020-01-01	"65-74"	26.76	1.22	21.85	"19.32-24.72"	25.53	"22.39-28.68"
2020-02-01	"65-74"	23.22	1.08	21.51	"18.86-24.54"	22.14	"19.22-25.06"
2020-03-01	"65-74"	26.7	1.17	22.86	"20.23-25.83"	25.53	"22.43-28.64"
2020-04-01	"65-74"	35.17	1.07	32.75	"29.4-36.49"	34.09	"30.55-37.64"
2020-05-01	"65-74"	20.34	0.99	20.51	"17.81-23.62"	19.35	"16.6-22.1"
2020-06-01	"65-74"	17.07	0.98	17.46	"14.97-20.37"	16.09	"13.56-18.63"
2020-07-01	"65-74"	18.43	0.96	19.11	"16.48-22.15"	17.46	"14.84-20.08"
2020-08-01	"65-74"	22.29	0.98	22.71	"19.87-25.97"	21.31	"18.46-24.15"
2020-09-01	"65-74"	18.34	0.98	18.65	"16.11-21.59"	17.36	"14.78-19.93"
2020-10-01	"65-74"	21.33	0.99	21.59	"18.84-24.73"	20.34	"17.57-23.11"
2020-11-01	"65-74"	17.87	0.91	19.62	"16.92-22.75"	16.96	"14.43-19.5"
2019-02-01	"75-79"	29.98	2.27	13.23	"11.72-14.92"	27.71	"24.38-31.04"
2019-03-01	"75-79"	27.29	2.2	12.38	"10.92-14.04"	25.08	"21.9-28.26"
2019-04-01	"75-79"	26.15	2.22	11.79	"10.38-13.4"	23.93	"20.83-27.04"
2019-05-01	"75-79"	25.53	2.08	12.26	"10.77-13.95"	23.45	"20.38-26.51"
2019-06-01	"75-79"	25.5	1.99	12.81	"11.26-14.57"	23.51	"20.47-26.55"
2019-07-01	"75-79"	25	2.09	11.94	"10.5-13.59"	22.9	"19.91-25.9"
2019-08-01	"75-79"	23.78	1.98	11.99	"10.51-13.68"	21.8	"18.89-24.7"
2019-09-01	"75-79"	25.88	2.03	12.74	"11.23-14.45"	23.85	"20.83-26.86"
2019-10-01	"75-79"	29.5	2.21	13.34	"11.86-15.02"	27.29	"24.08-30.5"
