"Date"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	37.26	2.74	13.58	"13.08-14.09"	34.52	"33.31-35.72"
2019-03-01	33.26	2.59	12.83	"12.34-13.34"	30.67	"29.53-31.8"
2019-04-01	34.06	2.63	12.93	"12.44-13.44"	31.43	"30.28-32.58"
2019-05-01	32.97	2.51	13.13	"12.63-13.65"	30.46	"29.33-31.58"
2019-06-01	31.12	2.33	13.37	"12.85-13.92"	28.8	"27.71-29.89"
2019-07-01	31.32	2.39	13.12	"12.61-13.66"	28.93	"27.84-30.02"
2019-08-01	31.36	2.35	13.36	"12.84-13.9"	29.02	"27.93-30.1"
2019-09-01	31.26	2.35	13.31	"12.8-13.85"	28.91	"27.83-29.99"
2019-10-01	37.67	2.57	14.64	"14.12-15.19"	35.1	"33.92-36.27"
2019-11-01	39.21	2.7	14.54	"14.03-15.07"	36.52	"35.32-37.71"
2019-12-01	43.62	3.04	14.35	"13.88-14.84"	40.58	"39.32-41.84"
2020-01-01	41.92	3.03	13.85	"13.38-14.33"	38.89	"37.65-40.13"
2020-02-01	37.4	2.61	14.35	"13.84-14.88"	34.79	"33.62-35.96"
2020-03-01	42.03	3.06	13.74	"13.28-14.21"	38.97	"37.74-40.2"
2020-04-01	89.81	4.07	22.08	"21.54-22.62"	85.75	"83.99-87.5"
2020-05-01	55.89	2.83	19.72	"19.11-20.35"	53.06	"51.61-54.51"
2020-06-01	31.23	2.38	13.14	"12.62-13.68"	28.85	"27.75-29.96"
2020-07-01	29.01	2.27	12.8	"12.28-13.35"	26.74	"25.68-27.81"
2020-08-01	30.75	2.3	13.37	"12.84-13.92"	28.45	"27.36-29.54"
2020-09-01	29.93	2.3	13	"12.48-13.54"	27.63	"26.56-28.69"
2020-10-01	36.67	2.64	13.91	"13.4-14.43"	34.04	"32.86-35.21"
2020-11-01	41.44	2.89	14.33	"13.84-14.84"	38.55	"37.31-39.79"
