"Date"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2020-03-01	"F"	1.28	0.15	8.75	"6.94-11.03"	1.14	"0.87-1.4"
2020-04-01	"F"	26.41	1.02	25.81	"24.3-27.41"	25.39	"24.21-26.57"
2020-05-01	"F"	17.02	0.47	36.5	"33.6-39.65"	16.55	"15.58-17.52"
2020-06-01	"F"	3.74	0.15	24.41	"20.76-28.71"	3.58	"3.12-4.05"
2020-07-01	"F"	1.14	0.04	27.36	"20.27-36.92"	1.1	"0.85-1.36"
2020-08-01	"F"	0.5	0.02	28.49	"18.03-44.99"	0.48	"0.31-0.64"
2020-09-01	"F"	0.52	0.03	18.77	"12.48-28.23"	0.49	"0.32-0.66"
2020-10-01	"F"	2.59	0.2	13.15	"11.07-15.63"	2.39	"2.02-2.77"
2020-11-01	"F"	9.09	0.53	17	"15.45-18.7"	8.55	"7.85-9.26"
2020-03-01	"M"	2.87	0.32	8.84	"7.08-11.04"	2.55	"1.95-3.15"
2020-04-01	"M"	55.64	1.76	31.66	"29.92-33.51"	53.88	"51.32-56.44"
2020-05-01	"M"	32.18	0.58	55.18	"50.65-60.12"	31.6	"29.55-33.65"
2020-06-01	"M"	7.11	0.2	34.78	"29.35-41.22"	6.91	"5.92-7.9"
2020-07-01	"M"	1.91	0.06	33.8	"24.39-46.83"	1.85	"1.34-2.36"
2020-08-01	"M"	0.77	0.02	33.58	"20.2-55.8"	0.75	"0.43-1.07"
2020-09-01	"M"	0.87	0.05	18.77	"12.07-29.18"	0.82	"0.48-1.16"
2020-10-01	"M"	4.83	0.35	13.9	"11.59-16.65"	4.49	"3.69-5.28"
2020-11-01	"M"	16.43	0.89	18.39	"16.64-20.33"	15.54	"14.08-16.99"
