"Date"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"F"	32.88	2.54	12.95	"12.33-13.6"	30.34	"28.99-31.7"
2019-03-01	"F"	30.18	2.35	12.82	"12.18-13.48"	27.82	"26.52-29.12"
2019-04-01	"F"	30.38	2.36	12.85	"12.21-13.51"	28.01	"26.71-29.31"
2019-05-01	"F"	29.76	2.29	12.97	"12.32-13.65"	27.46	"26.18-28.75"
2019-06-01	"F"	26.98	2.1	12.82	"12.16-13.52"	24.87	"23.66-26.09"
2019-07-01	"F"	28.39	2.13	13.32	"12.64-14.03"	26.25	"25.01-27.5"
2019-08-01	"F"	27.74	2.14	12.98	"12.32-13.68"	25.6	"24.38-26.82"
2019-09-01	"F"	27.64	2.12	13.02	"12.36-13.72"	25.51	"24.3-26.73"
2019-10-01	"F"	34.04	2.33	14.62	"13.94-15.33"	31.71	"30.37-33.05"
2019-11-01	"F"	34.87	2.41	14.5	"13.83-15.19"	32.47	"31.11-33.82"
2019-12-01	"F"	39.29	2.78	14.15	"13.54-14.78"	36.51	"35.07-37.94"
2020-01-01	"F"	36.86	2.78	13.24	"12.65-13.85"	34.08	"32.69-35.47"
2020-02-01	"F"	33.55	2.36	14.21	"13.55-14.9"	31.19	"29.86-32.52"
2020-03-01	"F"	36.45	2.7	13.48	"12.88-14.11"	33.74	"32.36-35.12"
2020-04-01	"F"	75.81	3.51	21.6	"20.89-22.34"	72.3	"70.36-74.25"
2020-05-01	"F"	49.15	2.55	19.28	"18.49-20.1"	46.6	"44.98-48.22"
2020-06-01	"F"	27.86	2.17	12.85	"12.19-13.55"	25.7	"24.45-26.94"
2020-07-01	"F"	26.31	2.07	12.7	"12.03-13.4"	24.23	"23.02-25.44"
2020-08-01	"F"	27.34	2.09	13.11	"12.43-13.82"	25.25	"24.03-26.47"
2020-09-01	"F"	26.46	2.05	12.89	"12.22-13.6"	24.41	"23.21-25.61"
2020-10-01	"F"	32.31	2.35	13.72	"13.07-14.41"	29.96	"28.64-31.28"
2020-11-01	"F"	36.59	2.54	14.38	"13.74-15.06"	34.05	"32.66-35.44"
2019-02-01	"M"	47.43	2.98	15.92	"15.02-16.86"	44.45	"41.99-46.91"
2019-03-01	"M"	40.41	2.87	14.09	"13.24-14.99"	37.54	"35.26-39.81"
2019-04-01	"M"	42.61	2.94	14.48	"13.63-15.38"	39.67	"37.33-42"
2019-05-01	"M"	40.41	2.76	14.64	"13.76-15.58"	37.65	"35.39-39.92"
2019-06-01	"M"	40.72	2.58	15.76	"14.81-16.77"	38.13	"35.87-40.39"
2019-07-01	"M"	38.11	2.68	14.22	"13.35-15.15"	35.43	"33.25-37.61"
2019-08-01	"M"	39.74	2.59	15.34	"14.42-16.32"	37.15	"34.94-39.36"
2019-09-01	"M"	39.62	2.61	15.2	"14.29-16.17"	37.01	"34.81-39.21"
2019-10-01	"M"	46.05	2.85	16.14	"15.24-17.1"	43.2	"40.84-45.55"
2019-11-01	"M"	49.22	3.03	16.24	"15.36-17.16"	46.19	"43.76-48.62"
2019-12-01	"M"	53.67	3.34	16.07	"15.24-16.94"	50.33	"47.79-52.86"
2020-01-01	"M"	53.64	3.3	16.23	"15.39-17.12"	50.34	"47.8-52.87"
2020-02-01	"M"	46.31	2.89	16.04	"15.15-16.99"	43.42	"41.06-45.79"
2020-03-01	"M"	54.94	3.47	15.85	"15.04-16.69"	51.47	"48.92-54.03"
2020-04-01	"M"	122.24	4.71	25.96	"25.04-26.91"	117.53	"113.87-121.2"
2020-05-01	"M"	72.04	3.16	22.8	"21.72-23.93"	68.88	"65.88-71.88"
2020-06-01	"M"	39.41	2.62	15.06	"14.12-16.06"	36.79	"34.5-39.09"
2020-07-01	"M"	35.55	2.49	14.29	"13.36-15.28"	33.06	"30.88-35.24"
2020-08-01	"M"	38.94	2.55	15.29	"14.35-16.3"	36.4	"34.15-38.64"
2020-09-01	"M"	38.24	2.59	14.77	"13.85-15.74"	35.65	"33.44-37.87"
2020-10-01	"M"	47.13	2.96	15.92	"15.02-16.86"	44.17	"41.73-46.61"
2020-11-01	"M"	53.06	3.29	16.13	"15.28-17.02"	49.77	"47.2-52.34"
