"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"F"	2020-03-01	91	70869	1.28	"1.05-1.58"	336	2289532	0.15	"0.13-0.16"
"F"	2020-04-01	1880	71177	26.41	"25.26-27.62"	2344	2290357	1.02	"0.98-1.07"
"F"	2020-05-01	1163	68338	17.02	"16.08-18.02"	1068	2290754	0.47	"0.44-0.5"
"F"	2020-06-01	250	66899	3.74	"3.3-4.23"	351	2293151	0.15	"0.14-0.17"
"F"	2020-07-01	77	67286	1.14	"0.92-1.43"	96	2295217	0.04	"0.03-0.05"
"F"	2020-08-01	34	68591	0.5	"0.35-0.69"	40	2298627	0.02	"0.01-0.02"
"F"	2020-09-01	36	68973	0.52	"0.38-0.72"	64	2301281	0.03	"0.02-0.04"
"F"	2020-10-01	180	69442	2.59	"2.24-3"	454	2303500	0.2	"0.18-0.22"
"F"	2020-11-01	635	69876	9.09	"8.41-9.82"	1233	2306157	0.53	"0.51-0.57"
"M"	2020-03-01	88	30633	2.87	"2.33-3.54"	649	1997194	0.32	"0.3-0.35"
"M"	2020-04-01	1710	30734	55.64	"53.13-58.26"	3512	1998467	1.76	"1.7-1.82"
"M"	2020-05-01	918	28526	32.18	"30.2-34.29"	1165	1997630	0.58	"0.55-0.62"
"M"	2020-06-01	196	27556	7.11	"6.19-8.18"	409	1999985	0.2	"0.19-0.23"
"M"	2020-07-01	53	27792	1.91	"1.46-2.49"	113	2002594	0.06	"0.05-0.07"
"M"	2020-08-01	22	28581	0.77	"0.51-1.17"	46	2006544	0.02	"0.02-0.03"
"M"	2020-09-01	25	28791	0.87	"0.59-1.28"	93	2009831	0.05	"0.04-0.06"
"M"	2020-10-01	140	28963	4.83	"4.1-5.7"	700	2012300	0.35	"0.32-0.37"
"M"	2020-11-01	479	29156	16.43	"15.03-17.95"	1800	2014958	0.89	"0.85-0.94"
