"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	25.9	"23.2-28.59"	2.45	"2.38-2.51"
"F"	2019-03-01	22.37	"19.83-24.9"	2.27	"2.21-2.33"
"F"	2019-04-01	23.38	"20.96-25.79"	2.28	"2.22-2.34"
"F"	2019-05-01	20.18	"17.99-22.37"	2.21	"2.15-2.27"
"F"	2019-06-01	18.65	"16.53-20.78"	2.03	"1.97-2.09"
"F"	2019-07-01	21.1	"18.77-23.43"	2.06	"2-2.11"
"F"	2019-08-01	21.84	"19.33-24.34"	2.06	"2-2.12"
"F"	2019-09-01	21.55	"19.23-23.88"	2.05	"1.99-2.11"
"F"	2019-10-01	25.71	"23.13-28.29"	2.24	"2.18-2.3"
"F"	2019-11-01	27.52	"24.8-30.24"	2.32	"2.25-2.38"
"F"	2019-12-01	28.34	"25.69-30.99"	2.68	"2.61-2.74"
"F"	2020-01-01	26.89	"24.34-29.44"	2.68	"2.62-2.75"
"F"	2020-02-01	24.27	"21.85-26.69"	2.28	"2.22-2.34"
"F"	2020-03-01	29.41	"26.6-32.21"	2.61	"2.55-2.68"
"F"	2020-04-01	59.48	"55.78-63.17"	3.38	"3.31-3.46"
"F"	2020-05-01	34.97	"32.14-37.8"	2.46	"2.4-2.53"
"F"	2020-06-01	20.48	"18.26-22.7"	2.1	"2.04-2.16"
"F"	2020-07-01	19.68	"17.44-21.91"	2.01	"1.95-2.07"
"F"	2020-08-01	20.12	"17.96-22.28"	2.02	"1.96-2.07"
"F"	2020-09-01	20.16	"17.91-22.41"	1.99	"1.93-2.04"
"F"	2020-10-01	24.87	"22.39-27.35"	2.28	"2.22-2.34"
"F"	2020-11-01	26.19	"23.79-28.59"	2.45	"2.39-2.52"
"M"	2019-02-01	35.96	"32.9-39.02"	3.32	"3.24-3.41"
"M"	2019-03-01	31.43	"28.59-34.26"	3.2	"3.11-3.28"
"M"	2019-04-01	31.82	"29.03-34.6"	3.27	"3.19-3.36"
"M"	2019-05-01	28.37	"25.73-31.01"	3.06	"2.98-3.14"
"M"	2019-06-01	32.93	"29.96-35.89"	2.83	"2.76-2.91"
"M"	2019-07-01	27.65	"25.07-30.23"	2.94	"2.86-3.02"
"M"	2019-08-01	29.11	"26.52-31.7"	2.85	"2.77-2.93"
"M"	2019-09-01	31.15	"28.26-34.03"	2.87	"2.79-2.95"
"M"	2019-10-01	32.92	"30.18-35.66"	3.15	"3.07-3.24"
"M"	2019-11-01	37.14	"34.13-40.15"	3.35	"3.26-3.43"
"M"	2019-12-01	41.41	"38.22-44.6"	3.7	"3.61-3.79"
"M"	2020-01-01	39.75	"36.74-42.76"	3.66	"3.57-3.75"
"M"	2020-02-01	33.18	"30.44-35.92"	3.19	"3.11-3.28"
"M"	2020-03-01	40.63	"37.58-43.68"	3.83	"3.74-3.92"
"M"	2020-04-01	94.54	"90.03-99.04"	5.21	"5.1-5.31"
"M"	2020-05-01	53.55	"50.08-57.03"	3.52	"3.43-3.6"
"M"	2020-06-01	28.68	"26.06-31.3"	2.87	"2.79-2.95"
"M"	2020-07-01	28.55	"25.87-31.24"	2.72	"2.65-2.8"
"M"	2020-08-01	30.09	"27.35-32.84"	2.78	"2.7-2.85"
"M"	2020-09-01	27.38	"24.88-29.87"	2.83	"2.75-2.91"
"M"	2020-10-01	34.61	"31.87-37.36"	3.26	"3.18-3.34"
"M"	2020-11-01	39.23	"36.23-42.23"	3.62	"3.53-3.71"
