"varname"	"varlevel"	"Overall_Count"	"Overall_Percentage"	"Care_or_Nursing_Home_Count"	"Care_or_Nursing_Home_Percentage"	"Private_Home_Count"	"Private_Home_Percentage"
"Total"	"1"	4380794	100	100975	100	4279819	100
"Care_Home_Type"	"Care Home"	52660	1.2	52660	52.15		
	"Care or Nursing Home"	2396	0.05	2396	2.37		
	"Nursing Home"	45919	1.05	45919	45.48		
	"Private Home"	4279819	97.7			4279819	100
"Gender"	"Female"	2356775	53.8	70571	69.89	2286204	53.42
	"Male"	2024019	46.2	30404	30.11	1993615	46.58
"Age_in_Years"	"Mean, SD"	75	8	86	8	75	7
"Self - reported_Ethnicity"	"Asian or British Asian"	117508	2.68	603	0.6	116905	2.73
	"Black"	34540	0.79	482	0.48	34058	0.8
	"Missing"	1044310	23.84	24807	24.57	1019503	23.82
	"Mixed"	12671	0.29	200	0.2	12471	0.29
	"Other"	27841	0.64	348	0.34	27493	0.64
	"White"	3143924	71.77	74535	73.82	3069389	71.72
"Geographical_Region"	"East"	1031854	23.55	23384	23.16	1008470	23.56
	"East Midlands"	780633	17.82	18549	18.37	762084	17.81
	"London"	169947	3.88	1869	1.85	168078	3.93
	"North East"	198671	4.54	4452	4.41	194219	4.54
	"North West"	409719	9.35	9880	9.78	399839	9.34
	"South East"	320982	7.33	8342	8.26	312640	7.3
	"South West"	737710	16.84	16971	16.81	720739	16.84
	"West Midlands"	152593	3.48	3097	3.07	149496	3.49
	"Yorkshire and The Humber"	578324	13.2	14431	14.29	563893	13.18
	"NA"	361	0.01			361	0.01
"Urban_Area"	"0"	3720000	84.92	89031	88.17	3630969	84.84
	"1"	660794	15.08	11944	11.83	648850	15.16
"Quintile_of_Index_of_Multiple_Deprivation"	"1"	870795	19.88	25232	24.99	845563	19.76
	"2"	870794	19.88	22129	21.92	848665	19.83
	"3"	870794	19.88	19418	19.23	851376	19.89
	"4"	870794	19.88	17134	16.97	853660	19.95
	"5"	870794	19.88	16441	16.28	854353	19.96
	"NA"	26823	0.61	621	0.62	26202	0.61
"Diabetes"	"0"	3405843	77.74	76004	75.27	3329839	77.8
	"1"	974951	22.26	24971	24.73	949980	22.2
"Chronic_Kidney_Disease"	"0"	3934511	89.81	80017	79.24	3854494	90.06
	"1"	446283	10.19	20958	20.76	425325	9.94
"Lung_Cancer"	"0"	4355916	99.43	100302	99.33	4255614	99.43
	"1"	24878	0.57	673	0.67	24205	0.57
"Haematological_Cancer"	"0"	4318170	98.57	99615	98.65	4218555	98.57
	"1"	62624	1.43	1360	1.35	61264	1.43
"Other_Cancer"	"0"	3786688	86.44	85851	85.02	3700837	86.47
	"1"	594106	13.56	15124	14.98	578982	13.53
"Chronic_Liver_Disease"	"0"	4341594	99.11	99954	98.99	4241640	99.11
	"1"	39200	0.89	1021	1.01	38179	0.89
"Chronic_Cardiac_Disease"	"0"	3506981	80.05	70000	69.32	3436981	80.31
	"1"	873813	19.95	30975	30.68	842838	19.69
"Chronic_Respiratory_Disease"	"0"	3883310	88.64	87404	86.56	3795906	88.69
	"1"	497484	11.36	13571	13.44	483913	11.31
"History_of_Stroke"	"0"	4087579	93.31	79105	78.34	4008474	93.66
	"1"	293215	6.69	21870	21.66	271345	6.34
"Dementia"	"0"	4334172	98.94	86218	85.39	4247954	99.26
	"1"	46622	1.06	14757	14.61	31865	0.74
