"varname"	"varlevel"	"Overall_Count"	"Overall_Percentage"	"Care_or_Nursing_Home_Count"	"Care_or_Nursing_Home_Percentage"	"Private_Home_Count"	"Private_Home_Percentage"
"Total"	"1"	4301812	100	95169	100	4206643	100
"Care_Home_Type"	"Care Home"	49229	1.14	49229	51.73		
	"Care or Nursing Home"	2320	0.05	2320	2.44		
	"Nursing Home"	43620	1.01	43620	45.83		
	"Private Home"	4206643	97.79			4206643	100
"Gender"	"Female"	2317339	53.87	66514	69.89	2250825	53.51
	"Male"	1984473	46.13	28655	30.11	1955818	46.49
"Age_in_Years"	"Mean, SD"	75	8	86	8	75	7
"Self - reported_Ethnicity"	"Asian or British Asian"	109895	2.55	559	0.59	109336	2.6
	"Black"	32532	0.76	437	0.46	32095	0.76
	"Missing"	1045649	24.31	25238	26.52	1020411	24.26
	"Mixed"	11789	0.27	182	0.19	11607	0.28
	"Other"	25883	0.6	320	0.34	25563	0.61
	"White"	3076064	71.51	68433	71.91	3007631	71.5
"Geographical_Region"	"East"	1014005	23.57	22302	23.43	991703	23.57
	"East Midlands"	765924	17.8	17130	18	748794	17.8
	"London"	165231	3.84	1940	2.04	163291	3.88
	"North East"	196320	4.56	4071	4.28	192249	4.57
	"North West"	402460	9.36	9252	9.72	393208	9.35
	"South East"	314926	7.32	8154	8.57	306772	7.29
	"South West"	721985	16.78	15692	16.49	706293	16.79
	"West Midlands"	151869	3.53	3019	3.17	148850	3.54
	"Yorkshire and The Humber"	568891	13.22	13609	14.3	555282	13.2
	"NA"	201	0			201	0
"Urban_Area"	"0"	3651445	84.88	83742	87.99	3567703	84.81
	"1"	650367	15.12	11427	12.01	638940	15.19
"Quintile_of_Index_of_Multiple_Deprivation"	"1"	856660	19.91	23683	24.89	832977	19.8
	"2"	856660	19.91	21208	22.28	835452	19.86
	"3"	856660	19.91	18106	19.03	838554	19.93
	"4"	856660	19.91	16068	16.88	840592	19.98
	"5"	856659	19.91	15645	16.44	841014	19.99
	"NA"	18513	0.43	459	0.48	18054	0.43
"Diabetes"	"0"	3390374	78.81	72909	76.61	3317465	78.86
	"1"	911438	21.19	22260	23.39	889178	21.14
"Chronic_Kidney_Disease"	"0"	3860565	89.74	75593	79.43	3784972	89.98
	"1"	441247	10.26	19576	20.57	421671	10.02
"Lung_Cancer"	"0"	4278311	99.45	94551	99.35	4183760	99.46
	"1"	23501	0.55	618	0.65	22883	0.54
"Haematological_Cancer"	"0"	4241709	98.6	93899	98.67	4147810	98.6
	"1"	60103	1.4	1270	1.33	58833	1.4
"Other_Cancer"	"0"	3729068	86.69	81170	85.29	3647898	86.72
	"1"	572744	13.31	13999	14.71	558745	13.28
"Chronic_Liver_Disease"	"0"	4265761	99.16	94253	99.04	4171508	99.16
	"1"	36051	0.84	916	0.96	35135	0.84
"Chronic_Cardiac_Disease"	"0"	3442603	80.03	66324	69.69	3376279	80.26
	"1"	859209	19.97	28845	30.31	830364	19.74
"Chronic_Respiratory_Disease"	"0"	3818244	88.76	82670	86.87	3735574	88.8
	"1"	483568	11.24	12499	13.13	471069	11.2
"History_of_Stroke"	"0"	4015237	93.34	74301	78.07	3940936	93.68
	"1"	286575	6.66	20868	21.93	265707	6.32
"Dementia"	"0"	4255180	98.92	81162	85.28	4174018	99.22
	"1"	46632	1.08	14007	14.72	32625	0.78
