"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	2187	66514	32.88	"31.55-34.26"	5715	2250825	2.54	"2.47-2.61"
"F"	2019-03-01	2011	66638	30.18	"28.91-31.5"	5307	2254005	2.35	"2.29-2.42"
"F"	2019-04-01	2031	66859	30.38	"29.1-31.71"	5337	2256959	2.36	"2.3-2.43"
"F"	2019-05-01	2001	67248	29.76	"28.5-31.07"	5190	2261879	2.29	"2.23-2.36"
"F"	2019-06-01	1836	68055	26.98	"25.79-28.22"	4767	2265334	2.1	"2.05-2.16"
"F"	2019-07-01	1946	68557	28.39	"27.17-29.65"	4835	2268673	2.13	"2.07-2.19"
"F"	2019-08-01	1922	69296	27.74	"26.54-28.99"	4856	2272280	2.14	"2.08-2.2"
"F"	2019-09-01	1933	69942	27.64	"26.45-28.88"	4831	2275854	2.12	"2.06-2.18"
"F"	2019-10-01	2386	70103	34.04	"32.72-35.4"	5304	2278107	2.33	"2.27-2.39"
"F"	2019-11-01	2457	70454	34.87	"33.54-36.25"	5487	2280637	2.41	"2.34-2.47"
"F"	2019-12-01	2768	70456	39.29	"37.88-40.75"	6343	2283780	2.78	"2.71-2.85"
"F"	2020-01-01	2589	70232	36.86	"35.5-38.28"	6366	2285852	2.78	"2.72-2.85"
"F"	2020-02-01	2368	70571	33.55	"32.25-34.91"	5399	2286204	2.36	"2.3-2.43"
"F"	2020-03-01	2492	70869	35.16	"33.83-36.54"	5854	2289532	2.56	"2.49-2.62"
"F"	2020-04-01	3516	71177	49.4	"47.83-51.01"	5693	2290357	2.49	"2.42-2.55"
"F"	2020-05-01	2196	68338	32.13	"30.84-33.48"	4773	2290754	2.08	"2.03-2.14"
"F"	2020-06-01	1614	66899	24.13	"22.99-25.32"	4620	2293151	2.01	"1.96-2.07"
"F"	2020-07-01	1693	67286	25.16	"24-26.37"	4659	2295217	2.03	"1.97-2.09"
"F"	2020-08-01	1841	68591	26.84	"25.66-28.08"	4753	2298627	2.07	"2.01-2.13"
"F"	2020-09-01	1789	68973	25.94	"24.78-27.15"	4659	2301281	2.02	"1.97-2.08"
"F"	2020-10-01	2064	69442	29.72	"28.49-31.01"	4970	2303500	2.16	"2.1-2.22"
"F"	2020-11-01	1922	69876	27.51	"26.32-28.74"	4634	2306157	2.01	"1.95-2.07"
"M"	2019-02-01	1359	28655	47.43	"45.03-49.95"	5828	1955818	2.98	"2.9-3.06"
"M"	2019-03-01	1161	28734	40.41	"38.19-42.74"	5618	1959288	2.87	"2.79-2.94"
"M"	2019-04-01	1228	28820	42.61	"40.34-45"	5776	1962430	2.94	"2.87-3.02"
"M"	2019-05-01	1172	29002	40.41	"38.2-42.74"	5428	1967089	2.76	"2.69-2.83"
"M"	2019-06-01	1197	29398	40.72	"38.52-43.04"	5092	1970799	2.58	"2.51-2.66"
"M"	2019-07-01	1129	29622	38.11	"35.99-40.35"	5293	1974621	2.68	"2.61-2.75"
"M"	2019-08-01	1193	30021	39.74	"37.59-42.01"	5125	1978187	2.59	"2.52-2.66"
"M"	2019-09-01	1201	30316	39.62	"37.48-41.87"	5167	1982202	2.61	"2.54-2.68"
"M"	2019-10-01	1400	30401	46.05	"43.75-48.47"	5661	1984632	2.85	"2.78-2.93"
"M"	2019-11-01	1504	30556	49.22	"46.85-51.7"	6024	1987471	3.03	"2.96-3.11"
"M"	2019-12-01	1632	30410	53.67	"51.19-56.26"	6650	1990774	3.34	"3.26-3.42"
"M"	2020-01-01	1625	30294	53.64	"51.16-56.24"	6586	1992796	3.3	"3.23-3.39"
"M"	2020-02-01	1408	30404	46.31	"44-48.73"	5755	1993615	2.89	"2.81-2.96"
"M"	2020-03-01	1595	30633	52.07	"49.64-54.61"	6275	1997194	3.14	"3.07-3.22"
"M"	2020-04-01	2047	30734	66.6	"63.87-69.45"	5899	1998467	2.95	"2.88-3.03"
"M"	2020-05-01	1137	28526	39.86	"37.65-42.19"	5147	1997630	2.58	"2.51-2.65"
"M"	2020-06-01	890	27556	32.3	"30.27-34.45"	4826	1999985	2.41	"2.35-2.48"
"M"	2020-07-01	935	27792	33.64	"31.59-35.83"	4870	2002594	2.43	"2.36-2.5"
"M"	2020-08-01	1091	28581	38.17	"36.01-40.46"	5063	2006544	2.52	"2.45-2.59"
"M"	2020-09-01	1076	28791	37.37	"35.24-39.63"	5112	2009831	2.54	"2.47-2.61"
"M"	2020-10-01	1225	28963	42.3	"40.04-44.67"	5259	2012300	2.61	"2.54-2.68"
"M"	2020-11-01	1068	29156	36.63	"34.53-38.85"	4830	2014958	2.4	"2.33-2.47"
