"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
2019-02-01	3546	95169	37.26	"36.08-38.48"	11543	4206643	2.74	"2.69-2.79"
2019-03-01	3172	95372	33.26	"32.14-34.42"	10925	4213293	2.59	"2.54-2.64"
2019-04-01	3259	95679	34.06	"32.93-35.23"	11113	4219389	2.63	"2.59-2.68"
2019-05-01	3173	96250	32.97	"31.86-34.11"	10618	4228968	2.51	"2.46-2.56"
2019-06-01	3033	97453	31.12	"30.05-32.23"	9859	4236133	2.33	"2.28-2.37"
2019-07-01	3075	98179	31.32	"30.25-32.43"	10128	4243294	2.39	"2.34-2.43"
2019-08-01	3115	99317	31.36	"30.3-32.47"	9981	4250467	2.35	"2.3-2.39"
2019-09-01	3134	100258	31.26	"30.2-32.35"	9998	4258056	2.35	"2.3-2.39"
2019-10-01	3786	100504	37.67	"36.51-38.87"	10965	4262739	2.57	"2.52-2.62"
2019-11-01	3961	101010	39.21	"38.03-40.43"	11511	4268108	2.7	"2.65-2.75"
2019-12-01	4400	100866	43.62	"42.38-44.9"	12993	4274554	3.04	"2.99-3.09"
2020-01-01	4214	100526	41.92	"40.7-43.18"	12952	4278648	3.03	"2.98-3.08"
2020-02-01	3776	100975	37.4	"36.24-38.58"	11154	4279819	2.61	"2.56-2.65"
2020-03-01	4087	101502	40.27	"39.07-41.49"	12129	4286726	2.83	"2.78-2.88"
2020-04-01	5563	101911	54.59	"53.21-56"	11592	4288824	2.7	"2.65-2.75"
2020-05-01	3333	96864	34.41	"33.28-35.58"	9920	4288384	2.31	"2.27-2.36"
2020-06-01	2504	94455	26.51	"25.5-27.55"	9446	4293136	2.2	"2.16-2.25"
2020-07-01	2628	95078	27.64	"26.62-28.7"	9529	4297811	2.22	"2.17-2.26"
2020-08-01	2932	97172	30.17	"29.12-31.27"	9816	4305171	2.28	"2.24-2.33"
2020-09-01	2865	97764	29.31	"28.27-30.38"	9771	4311112	2.27	"2.22-2.31"
2020-10-01	3289	98405	33.42	"32.32-34.56"	10229	4315800	2.37	"2.32-2.42"
2020-11-01	2990	99032	30.19	"29.14-31.28"	9464	4321115	2.19	"2.15-2.23"
