"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01	256	9578	28.64	"25.37-32.31"	2644	2354058	1.2	"1.16-1.25"
"65-74"	2019-03-01	212	9586	21.4	"18.73-24.44"	2550	2354502	1.05	"1.01-1.09"
"65-74"	2019-04-01	247	9611	25.7	"22.72-29.06"	2586	2354321	1.1	"1.06-1.14"
"65-74"	2019-05-01	171	9646	17.16	"14.79-19.9"	2469	2355810	1.01	"0.98-1.06"
"65-74"	2019-06-01	210	9757	21.52	"18.83-24.6"	2436	2356276	1.03	"0.99-1.08"
"65-74"	2019-07-01	196	9811	19.33	"16.83-22.2"	2429	2356577	1	"0.96-1.04"
"65-74"	2019-08-01	218	9929	21.25	"18.63-24.22"	2453	2358366	1.01	"0.97-1.05"
"65-74"	2019-09-01	227	10005	22.69	"19.95-25.79"	2414	2359740	1.02	"0.98-1.06"
"65-74"	2019-10-01	236	10012	22.81	"20.11-25.87"	2522	2359824	1.03	"0.99-1.08"
"65-74"	2019-11-01	264	10114	26.1	"23.17-29.39"	2618	2360599	1.11	"1.07-1.15"
"65-74"	2019-12-01	281	10099	26.93	"23.99-30.21"	2893	2361157	1.19	"1.14-1.23"
"65-74"	2020-01-01	275	10142	26.24	"23.35-29.48"	2905	2362671	1.19	"1.15-1.23"
"65-74"	2020-02-01	236	10215	23.9	"21.07-27.1"	2549	2363592	1.12	"1.07-1.16"
"65-74"	2020-03-01	293	10349	27.4	"24.47-30.66"	3028	2367325	1.24	"1.19-1.28"
"65-74"	2020-04-01	649	10392	62.45	"57.96-67.27"	3802	2369480	1.6	"1.55-1.66"
"65-74"	2020-05-01	349	10136	33.32	"30.05-36.93"	2767	2369977	1.13	"1.09-1.17"
"65-74"	2020-06-01	196	10027	19.55	"17.02-22.45"	2457	2371772	1.04	"1-1.08"
"65-74"	2020-07-01	201	10153	19.16	"16.71-21.96"	2360	2373489	0.96	"0.92-1"
"65-74"	2020-08-01	234	10375	21.83	"19.23-24.77"	2364	2376068	0.96	"0.92-1"
"65-74"	2020-09-01	198	10437	18.97	"16.53-21.77"	2374	2377926	1	"0.96-1.04"
"65-74"	2020-10-01	258	10481	23.82	"21.12-26.87"	2632	2379759	1.07	"1.03-1.11"
"65-74"	2020-11-01	269	10542	25.52	"22.68-28.7"	2826	2381486	1.19	"1.14-1.23"
"65-74"	2020-12-01	235	10550	21.56	"18.99-24.45"	2389	2382017	0.97	"0.93-1.01"
"65-74"	2021-01-01	412	10551	37.79	"34.37-41.53"	4278	2384622	1.74	"1.68-1.79"
"65-74"	2021-02-01	238	10415	24.48	"21.59-27.75"	3034	2385699	1.36	"1.31-1.41"
"65-74"	2021-03-01	203	10440	18.82	"16.42-21.56"	2585	2386063	1.05	"1.01-1.09"
