"Gender"	"Date"	"Care_Home_Standardised_Rate"	"Care_Home_Confidence_Interval"	"Nursing_Home_Standardised_Rate"	"Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	18.5	"15.32-21.68"	32.55	"28.34-36.75"	2.45	"2.38-2.51"
"F"	2019-03-01	17.45	"14.14-20.77"	27.26	"23.39-31.12"	2.27	"2.21-2.33"
"F"	2019-04-01	18.25	"15.08-21.42"	28.61	"24.9-32.32"	2.28	"2.22-2.34"
"F"	2019-05-01	14.42	"12.14-16.7"	25.22	"21.64-28.8"	2.21	"2.15-2.27"
"F"	2019-06-01	13.57	"10.92-16.23"	23.82	"20.5-27.13"	2.03	"1.97-2.09"
"F"	2019-07-01	13.49	"10.9-16.09"	28.28	"24.48-32.08"	2.05	"2-2.11"
"F"	2019-08-01	12.96	"10.57-15.35"	28.81	"24.81-32.81"	2.06	"2-2.12"
"F"	2019-09-01	16.75	"13.58-19.92"	26.67	"23.2-30.15"	2.05	"1.99-2.1"
"F"	2019-10-01	15.81	"13.23-18.39"	35.25	"30.92-39.59"	2.24	"2.18-2.3"
"F"	2019-11-01	16.16	"13.37-18.94"	38.07	"33.59-42.55"	2.31	"2.25-2.38"
"F"	2019-12-01	22.55	"18.88-26.22"	34.14	"30.23-38.05"	2.68	"2.61-2.74"
"F"	2020-01-01	18.82	"15.71-21.92"	34.56	"30.58-38.53"	2.68	"2.62-2.75"
"F"	2020-02-01	18.93	"15.64-22.22"	29.91	"26.3-33.52"	2.28	"2.22-2.34"
"F"	2020-03-01	18.45	"15.41-21.49"	37.11	"32.72-41.5"	2.47	"2.4-2.53"
"F"	2020-04-01	23.12	"20.01-26.23"	46.78	"42.28-51.28"	2.4	"2.34-2.46"
"F"	2020-05-01	16.34	"13.69-18.99"	26.33	"22.93-29.72"	2.02	"1.96-2.08"
"F"	2020-06-01	11.72	"9.49-13.96"	22.26	"19.06-25.46"	1.95	"1.9-2.01"
"F"	2020-07-01	12.66	"9.98-15.34"	23.56	"20.2-26.91"	1.97	"1.92-2.03"
"F"	2020-08-01	15.43	"12.69-18.18"	24.29	"21.04-27.54"	2.01	"1.95-2.06"
"F"	2020-09-01	14.49	"11.81-17.16"	25.3	"21.7-28.9"	1.97	"1.91-2.02"
"F"	2020-10-01	17.08	"14.21-19.95"	27.86	"24.19-31.52"	2.11	"2.05-2.16"
"F"	2020-11-01	14.85	"12.18-17.53"	25.41	"22.03-28.79"	1.96	"1.91-2.02"
"F"	2020-12-01	15.01	"12.24-17.78"	24.18	"21.08-27.28"	2.15	"2.09-2.21"
"F"	2021-01-01	14.42	"11.84-17.01"	22.28	"19.34-25.23"	2.09	"2.03-2.15"
"M"	2019-02-01	26.54	"22.71-30.38"	43.25	"38.68-47.82"	3.32	"3.23-3.4"
"M"	2019-03-01	24.78	"21.07-28.49"	37.15	"32.93-41.37"	3.19	"3.11-3.28"
"M"	2019-04-01	20.81	"17.61-24.01"	40.32	"36.08-44.56"	3.27	"3.18-3.35"
"M"	2019-05-01	21.91	"18.33-25.48"	34.29	"30.41-38.17"	3.06	"2.97-3.14"
"M"	2019-06-01	21.1	"17.64-24.56"	42.06	"37.51-46.61"	2.83	"2.75-2.91"
"M"	2019-07-01	19	"15.65-22.35"	33.93	"30.14-37.72"	2.94	"2.86-3.02"
"M"	2019-08-01	17.89	"15.07-20.71"	38.4	"34.3-42.51"	2.84	"2.77-2.92"
"M"	2019-09-01	21.36	"17.92-24.79"	39.38	"34.96-43.8"	2.87	"2.79-2.95"
"M"	2019-10-01	23.29	"19.82-26.77"	40.02	"35.98-44.07"	3.15	"3.07-3.23"
"M"	2019-11-01	25.34	"21.62-29.05"	46.57	"42.04-51.11"	3.35	"3.26-3.43"
"M"	2019-12-01	28.18	"24.4-31.96"	50.79	"45.98-55.6"	3.71	"3.62-3.8"
"M"	2020-01-01	26.74	"23.38-30.09"	49.69	"45.06-54.33"	3.66	"3.57-3.75"
"M"	2020-02-01	20.65	"17.72-23.57"	43.54	"39.15-47.93"	3.2	"3.11-3.28"
"M"	2020-03-01	26.96	"23.28-30.64"	47.72	"43.23-52.21"	3.49	"3.4-3.58"
"M"	2020-04-01	34.78	"30.69-38.87"	62.09	"57.05-67.12"	3.28	"3.2-3.37"
"M"	2020-05-01	19.06	"16.21-21.91"	38.08	"33.79-42.37"	2.86	"2.78-2.94"
"M"	2020-06-01	16.67	"13.77-19.58"	30.38	"26.57-34.18"	2.65	"2.57-2.72"
"M"	2020-07-01	17.58	"14.5-20.67"	36.08	"31.89-40.26"	2.68	"2.6-2.76"
"M"	2020-08-01	20.62	"17.28-23.97"	37.06	"32.9-41.22"	2.78	"2.7-2.85"
"M"	2020-09-01	19.12	"16.08-22.16"	34.1	"30.25-37.94"	2.8	"2.73-2.88"
"M"	2020-10-01	24.46	"21.14-27.78"	36.7	"32.78-40.62"	2.92	"2.84-3"
"M"	2020-11-01	21.12	"17.96-24.28"	32.62	"28.76-36.48"	2.71	"2.63-2.78"
"M"	2020-12-01	20.8	"17.41-24.2"	33.22	"29.37-37.07"	2.92	"2.84-3"
"M"	2021-01-01	22.18	"18.94-25.42"	31.37	"27.75-34.99"	2.84	"2.76-2.92"
