"Gender"	"Date"	"Care_Home_Standardised_Rate"	"Care_Home_Confidence_Interval"	"Nursing_Home_Standardised_Rate"	"Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	18.51	"15.33-21.69"	32.7	"28.49-36.9"	2.45	"2.39-2.51"
"F"	2019-03-01	17.11	"13.92-20.3"	27.54	"23.64-31.45"	2.27	"2.21-2.33"
"F"	2019-04-01	17.91	"14.77-21.06"	28.84	"25.13-32.55"	2.28	"2.22-2.35"
"F"	2019-05-01	14.04	"11.81-16.28"	25.74	"22.14-29.35"	2.22	"2.16-2.28"
"F"	2019-06-01	13.37	"10.82-15.92"	24.4	"20.98-27.82"	2.03	"1.98-2.09"
"F"	2019-07-01	13.2	"10.74-15.66"	28.58	"24.74-32.43"	2.06	"2-2.12"
"F"	2019-08-01	13.83	"11.17-16.49"	28.55	"24.58-32.51"	2.06	"2.01-2.12"
"F"	2019-09-01	17.55	"14.28-20.81"	26.32	"22.85-29.79"	2.05	"2-2.11"
"F"	2019-10-01	16.35	"13.56-19.13"	35.25	"30.98-39.53"	2.24	"2.18-2.3"
"F"	2019-11-01	16.28	"13.57-18.99"	37.73	"33.25-42.21"	2.32	"2.26-2.38"
"F"	2019-12-01	22.98	"19.26-26.7"	33.82	"29.95-37.69"	2.68	"2.61-2.74"
"F"	2020-01-01	18.46	"15.4-21.52"	34.65	"30.67-38.64"	2.69	"2.62-2.75"
"F"	2020-02-01	18.57	"15.34-21.81"	30.06	"26.43-33.69"	2.28	"2.22-2.34"
"F"	2020-03-01	19.2	"16.13-22.26"	38.66	"34.15-43.16"	2.62	"2.55-2.68"
"F"	2020-04-01	41.32	"36.95-45.69"	77.35	"71.51-83.18"	3.4	"3.32-3.47"
"F"	2020-05-01	25.25	"22.02-28.48"	44.29	"39.78-48.79"	2.48	"2.41-2.54"
"F"	2020-06-01	15.04	"12.32-17.77"	25.81	"22.36-29.26"	2.11	"2.05-2.16"
"F"	2020-07-01	14.1	"11.25-16.95"	25.35	"21.87-28.83"	2.01	"1.96-2.07"
"F"	2020-08-01	15.53	"12.87-18.2"	24.35	"21.11-27.58"	2.02	"1.97-2.08"
"F"	2020-09-01	14.71	"12.12-17.29"	25.85	"22.19-29.51"	1.99	"1.93-2.05"
"F"	2020-10-01	19.02	"16.06-21.98"	30.47	"26.61-34.32"	2.29	"2.23-2.35"
"F"	2020-11-01	20.52	"17.53-23.52"	32.5	"28.71-36.28"	2.46	"2.4-2.53"
"F"	2020-12-01	17.88	"15.02-20.74"	27.38	"23.95-30.82"	2.23	"2.17-2.29"
"F"	2021-01-01	33.52	"29.76-37.29"	42.93	"38.69-47.17"	3.75	"3.67-3.83"
"F"	2021-02-01	17.67	"15.31-20.03"	27.79	"24.48-31.09"	2.67	"2.61-2.74"
"F"	2021-03-01	17.18	"14.63-19.74"	24.66	"21.29-28.04"	2.3	"2.24-2.36"
"M"	2019-02-01	27.14	"23.21-31.06"	43.16	"38.6-47.73"	3.32	"3.23-3.41"
"M"	2019-03-01	24.84	"21.17-28.51"	37.28	"33.04-41.52"	3.2	"3.11-3.28"
"M"	2019-04-01	21.21	"17.86-24.57"	39.94	"35.77-44.1"	3.27	"3.18-3.36"
"M"	2019-05-01	20.81	"17.48-24.14"	34.91	"30.97-38.86"	3.06	"2.98-3.14"
"M"	2019-06-01	21.05	"17.58-24.52"	42.27	"37.73-46.81"	2.83	"2.75-2.91"
"M"	2019-07-01	19.96	"16.4-23.51"	33.43	"29.74-37.13"	2.94	"2.86-3.02"
"M"	2019-08-01	18	"15.18-20.83"	38.34	"34.25-42.44"	2.85	"2.77-2.93"
"M"	2019-09-01	21.86	"18.33-25.39"	39.5	"35.06-43.94"	2.87	"2.79-2.95"
"M"	2019-10-01	22.82	"19.44-26.2"	40.24	"36.15-44.33"	3.15	"3.07-3.24"
"M"	2019-11-01	25.83	"22.09-29.58"	45.93	"41.42-50.43"	3.35	"3.26-3.44"
