"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	10.54	"9.45-11.75"
"F"	2019-03-01	9.8	"8.71-11.03"
"F"	2019-04-01	10.24	"9.19-11.4"
"F"	2019-05-01	9.11	"8.14-10.2"
"F"	2019-06-01	9.18	"8.15-10.33"
"F"	2019-07-01	10.26	"9.14-11.52"
"F"	2019-08-01	10.63	"9.43-11.97"
"F"	2019-09-01	10.6	"9.47-11.86"
"F"	2019-10-01	11.58	"10.42-12.86"
"F"	2019-11-01	11.9	"10.73-13.2"
"F"	2019-12-01	10.59	"9.6-11.68"
"F"	2020-01-01	10.01	"9.07-11.05"
"F"	2020-02-01	10.62	"9.57-11.79"
"F"	2020-03-01	11.35	"10.25-12.56"
"F"	2020-04-01	14.73	"13.53-16.03"
"F"	2020-05-01	10.52	"9.46-11.7"
"F"	2020-06-01	8.79	"7.79-9.91"
"F"	2020-07-01	9.17	"8.12-10.36"
"F"	2020-08-01	9.79	"8.74-10.97"
"F"	2020-09-01	10.05	"8.93-11.3"
"F"	2020-10-01	10.63	"9.54-11.86"
"F"	2020-11-01	10.07	"9-11.26"
"F"	2020-12-01	9.04	"8.1-10.09"
"F"	2021-01-01	8.64	"7.75-9.62"
"F"	2021-02-01	8.05	"7.16-9.04"
"F"	2021-03-01	8.88	"7.76-10.17"
"M"	2019-02-01	10.81	"9.88-11.83"
"M"	2019-03-01	9.86	"8.96-10.84"
"M"	2019-04-01	9.67	"8.82-10.61"
"M"	2019-05-01	9.37	"8.5-10.32"
"M"	2019-06-01	11.6	"10.55-12.76"
"M"	2019-07-01	9.33	"8.45-10.29"
"M"	2019-08-01	10.25	"9.33-11.26"
"M"	2019-09-01	10.89	"9.88-12.01"
"M"	2019-10-01	10.37	"9.49-11.33"
"M"	2019-11-01	11.04	"10.13-12.04"
"M"	2019-12-01	11.11	"10.23-12.06"
"M"	2020-01-01	10.8	"9.97-11.71"
"M"	2020-02-01	10.31	"9.44-11.25"
"M"	2020-03-01	10.84	"9.98-11.77"
"M"	2020-04-01	15.06	"14-16.2"
"M"	2020-05-01	10.35	"9.41-11.39"
"M"	2020-06-01	9.07	"8.15-10.09"
"M"	2020-07-01	10.13	"9.15-11.21"
"M"	2020-08-01	10.51	"9.54-11.58"
"M"	2020-09-01	9.64	"8.75-10.62"
"M"	2020-10-01	10.51	"9.61-11.48"
"M"	2020-11-01	10.11	"9.17-11.14"
"M"	2020-12-01	9.29	"8.41-10.25"
"M"	2021-01-01	9.44	"8.61-10.35"
"M"	2021-02-01	9.73	"8.78-10.78"
"M"	2021-03-01	8.8	"7.78-9.95"
