"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2020-03-01	"65-74"	1.64	0.11	15.08	"9.23-24.63"	1.53	"0.75-2.32"
2020-04-01	"65-74"	27.25	0.53	51.1	"44.98-58.05"	26.72	"23.59-29.85"
2020-05-01	"65-74"	13.92	0.17	83.1	"68.63-100.63"	13.76	"11.47-16.04"
2020-06-01	"65-74"	2.5	0.06	44.15	"28.81-67.66"	2.44	"1.46-3.42"
2020-07-01	"65-74"	1.38	0.02	56.98	"31.76-102.2"	1.35	"0.63-2.08"
2020-08-01	"65-74"		0.01		"NA-NA"		"NA-NA"
2020-09-01	"65-74"		0.01		"NA-NA"		"NA-NA"
2020-10-01	"65-74"	3.06	0.11	27.89	"19.33-40.25"	2.95	"1.89-4.01"
2020-11-01	"65-74"	7.32	0.27	27.11	"21.42-34.31"	7.05	"5.42-8.68"
2020-12-01	"65-74"	8.74	0.32	27.23	"21.95-33.78"	8.42	"6.64-10.19"
2021-01-01	"65-74"	18.53	0.66	28.21	"24.34-32.7"	17.87	"15.29-20.44"
2020-03-01	"75-79"	2.01	0.22	8.98	"5.77-13.96"	1.79	"0.95-2.63"
2020-04-01	"75-79"	40.63	1.2	33.8	"30.28-37.73"	39.43	"35.74-43.12"
2020-05-01	"75-79"	22.3	0.35	63.09	"53.19-74.83"	21.95	"19.12-24.77"
2020-06-01	"75-79"	4.58	0.13	34.73	"24.7-48.85"	4.45	"3.14-5.75"
2020-07-01	"75-79"	1.63	0.04	37.82	"21.25-67.31"	1.58	"0.81-2.36"
2020-08-01	"75-79"	0.56	0.03	22.51	"9.09-55.76"	0.54	"0.09-0.99"
2020-09-01	"75-79"		0.03		"NA-NA"		"NA-NA"
2020-10-01	"75-79"	2.48	0.27	9.25	"6.21-13.78"	2.21	"1.28-3.14"
2020-11-01	"75-79"	9.9	0.59	16.65	"13.55-20.46"	9.31	"7.46-11.16"
2020-12-01	"75-79"	12.4	0.71	17.36	"14.43-20.89"	11.68	"9.61-13.75"
2021-01-01	"75-79"	26.71	1.45	18.44	"16.26-20.93"	25.27	"22.24-28.29"
2020-03-01	"80-84"	2.01	0.38	5.23	"3.7-7.4"	1.63	"0.98-2.28"
2020-04-01	"80-84"	41.36	2.14	19.32	"17.68-21.11"	39.22	"36.35-42.09"
2020-05-01	"80-84"	23.41	0.8	29.15	"25.56-33.25"	22.61	"20.37-24.85"
2020-06-01	"80-84"	6.1	0.27	22.41	"17.51-28.67"	5.83	"4.66-6.99"
2020-07-01	"80-84"	1.63	0.07	24.62	"15.15-39.99"	1.57	"0.96-2.17"
2020-08-01	"80-84"	0.46	0.03	14.9	"6.48-34.25"	0.43	"0.11-0.74"
2020-09-01	"80-84"	0.45	0.08	5.58	"2.64-11.79"	0.37	"0.06-0.69"
2020-10-01	"80-84"	3.33	0.43	7.68	"5.79-10.18"	2.9	"2.05-3.75"
2020-11-01	"80-84"	11.64	1.16	10.03	"8.59-11.71"	10.48	"8.91-12.06"
2020-12-01	"80-84"	16.76	1.33	12.59	"11.02-14.38"	15.43	"13.53-17.33"
2021-01-01	"80-84"	30.01	2.57	11.69	"10.59-12.89"	27.44	"24.91-29.97"
2020-03-01	"85-89"	1.69	0.56	3	"2.16-4.17"	1.12	"0.62-1.63"
2020-04-01	"85-89"	36.37	3.64	10	"9.2-10.87"	32.73	"30.44-35.03"
2020-05-01	"85-89"	21.09	1.52	13.9	"12.31-15.69"	19.57	"17.76-21.39"
2020-06-01	"85-89"	4.26	0.54	7.82	"6.14-9.96"	3.71	"2.88-4.55"
2020-07-01	"85-89"	1.27	0.12	10.79	"6.74-17.28"	1.16	"0.7-1.61"
2020-08-01	"85-89"	0.71	0.04	16.42	"8.2-32.88"	0.66	"0.33-1"
2020-09-01	"85-89"	1.04	0.07	13.88	"8.02-24.04"	0.96	"0.56-1.37"
2020-10-01	"85-89"	3.59	0.63	5.7	"4.45-7.31"	2.96	"2.21-3.72"
2020-11-01	"85-89"	11.74	1.93	6.08	"5.3-6.98"	9.81	"8.46-11.17"
2020-12-01	"85-89"	16.08	2.28	7.04	"6.24-7.95"	13.79	"12.21-15.38"
2021-01-01	"85-89"	32.87	4.44	7.41	"6.81-8.06"	28.44	"26.17-30.7"
2020-03-01	"90+"	1.68	0.67	2.51	"1.84-3.41"	1.01	"0.59-1.43"
2020-04-01	"90+"	32.17	6.01	5.35	"4.93-5.8"	26.16	"24.35-27.97"
2020-05-01	"90+"	22.85	3.06	7.48	"6.71-8.33"	19.8	"18.22-21.37"
2020-06-01	"90+"	5.11	0.95	5.36	"4.34-6.62"	4.16	"3.4-4.92"
2020-07-01	"90+"	1.21	0.2	6.1	"3.9-9.54"	1.01	"0.64-1.38"
2020-08-01	"90+"	0.58	0.08	7.52	"3.8-14.88"	0.5	"0.25-0.75"
2020-09-01	"90+"	0.57	0.14	4.2	"2.33-7.55"	0.44	"0.19-0.69"
2020-10-01	"90+"	3.15	1.1	2.86	"2.27-3.6"	2.05	"1.47-2.64"
2020-11-01	"90+"	12.5	3.15	3.96	"3.5-4.48"	9.35	"8.19-10.5"
2020-12-01	"90+"	16.64	4.11	4.05	"3.64-4.51"	12.53	"11.19-13.87"
2021-01-01	"90+"	37.52	8.7	4.31	"4.01-4.64"	28.82	"26.82-30.82"
