"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2020-03-01	17	10344	1.64	"1.03-2.63"	256	2349293	0.11	"0.1-0.12"
"65-74"	2020-04-01	283	10384	27.25	"24.29-30.56"	1254	2351186	0.53	"0.5-0.56"
"65-74"	2020-05-01	141	10127	13.92	"11.82-16.4"	394	2351612	0.17	"0.15-0.18"
"65-74"	2020-06-01	25	10019	2.5	"1.69-3.68"	133	2353318	0.06	"0.05-0.07"
"65-74"	2020-07-01	14	10151	1.38	"0.82-2.31"	57	2354771	0.02	"0.02-0.03"
"65-74"	2020-08-01		10366		"NA-NA"	19	2357225	0.01	"0.01-0.01"
"65-74"	2020-09-01		10418		"NA-NA"	34	2358977	0.01	"0.01-0.02"
"65-74"	2020-10-01	32	10457	3.06	"2.17-4.32"	259	2360673	0.11	"0.1-0.12"
"65-74"	2020-11-01	77	10517	7.32	"5.86-9.14"	638	2362220	0.27	"0.25-0.29"
"65-74"	2020-12-01	92	10531	8.74	"7.13-10.7"	758	2362583	0.32	"0.3-0.34"
"65-74"	2021-01-01	195	10526	18.53	"16.12-21.28"	1553	2365021	0.66	"0.62-0.69"
"75-79"	2020-03-01	22	10924	2.01	"1.33-3.05"	186	829321	0.22	"0.19-0.26"
"75-79"	2020-04-01	447	11002	40.63	"37.1-44.48"	998	830326	1.2	"1.13-1.28"
"75-79"	2020-05-01	234	10492	22.3	"19.65-25.31"	294	831654	0.35	"0.32-0.4"
"75-79"	2020-06-01	47	10265	4.58	"3.45-6.08"	110	834449	0.13	"0.11-0.16"
"75-79"	2020-07-01	17	10450	1.63	"1.02-2.6"	36	836899	0.04	"0.03-0.06"
"75-79"	2020-08-01	6	10657	0.56	"0.26-1.23"	21	839624	0.03	"0.02-0.04"
"75-79"	2020-09-01		10764		"NA-NA"	25	841148	0.03	"0.02-0.04"
"75-79"	2020-10-01	27	10900	2.48	"1.7-3.6"	226	843604	0.27	"0.24-0.31"
"75-79"	2020-11-01	109	11005	9.9	"8.22-11.93"	504	847271	0.59	"0.55-0.65"
"75-79"	2020-12-01	136	10970	12.4	"10.49-14.65"	607	849889	0.71	"0.66-0.77"
"75-79"	2021-01-01	291	10893	26.71	"23.85-29.91"	1235	852702	1.45	"1.37-1.53"
"80-84"	2020-03-01	37	18384	2.01	"1.46-2.77"	227	589841	0.38	"0.34-0.44"
"80-84"	2020-04-01	764	18471	41.36	"38.58-44.33"	1263	589902	2.14	"2.03-2.26"
"80-84"	2020-05-01	409	17469	23.41	"21.27-25.76"	473	588997	0.8	"0.73-0.88"
"80-84"	2020-06-01	104	17055	6.1	"5.04-7.38"	160	587957	0.27	"0.23-0.32"
"80-84"	2020-07-01	28	17140	1.63	"1.13-2.36"	39	587710	0.07	"0.05-0.09"
"80-84"	2020-08-01	8	17549	0.46	"0.23-0.9"	18	588150	0.03	"0.02-0.05"
"80-84"	2020-09-01	8	17611	0.45	"0.23-0.9"	48	589436	0.08	"0.06-0.11"
"80-84"	2020-10-01	59	17693	3.33	"2.59-4.3"	256	589308	0.43	"0.38-0.49"
"80-84"	2020-11-01	207	17780	11.64	"10.17-13.33"	683	588530	1.16	"1.08-1.25"
"80-84"	2020-12-01	295	17601	16.76	"14.97-18.77"	783	588108	1.33	"1.24-1.43"
"80-84"	2021-01-01	524	17461	30.01	"27.58-32.65"	1510	588053	2.57	"2.44-2.7"
"85-89"	2020-03-01	43	25516	1.69	"1.25-2.27"	195	347107	0.56	"0.49-0.65"
"85-89"	2020-04-01	929	25543	36.37	"34.14-38.74"	1261	346739	3.64	"3.44-3.84"
"85-89"	2020-05-01	508	24089	21.09	"19.35-22.98"	525	346011	1.52	"1.39-1.65"
"85-89"	2020-06-01	100	23477	4.26	"3.5-5.18"	189	346793	0.54	"0.47-0.63"
"85-89"	2020-07-01	30	23535	1.27	"0.89-1.82"	41	347212	0.12	"0.09-0.16"
"85-89"	2020-08-01	17	24019	0.71	"0.44-1.13"	15	348004	0.04	"0.03-0.07"
"85-89"	2020-09-01	25	24151	1.04	"0.7-1.53"	26	348699	0.07	"0.05-0.11"
"85-89"	2020-10-01	87	24211	3.59	"2.91-4.43"	220	349224	0.63	"0.55-0.72"
"85-89"	2020-11-01	286	24355	11.74	"10.46-13.17"	675	349573	1.93	"1.79-2.08"
"85-89"	2020-12-01	388	24136	16.08	"14.56-17.74"	797	349190	2.28	"2.13-2.45"
"85-89"	2021-01-01	784	23849	32.87	"30.68-35.21"	1549	349073	4.44	"4.22-4.66"
"90+"	2020-03-01	61	36377	1.68	"1.31-2.15"	121	181012	0.67	"0.56-0.8"
"90+"	2020-04-01	1176	36555	32.17	"30.41-34.03"	1086	180575	6.01	"5.67-6.38"
