"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	25.85	"23.16-28.55"	2.45	"2.39-2.52"
"F"	2019-03-01	22.3	"19.77-24.84"	2.28	"2.21-2.34"
"F"	2019-04-01	23.39	"20.97-25.81"	2.28	"2.22-2.35"
"F"	2019-05-01	20.21	"18.01-22.41"	2.22	"2.16-2.28"
"F"	2019-06-01	18.66	"16.54-20.79"	2.03	"1.98-2.09"
"F"	2019-07-01	21.12	"18.78-23.46"	2.06	"2-2.12"
"F"	2019-08-01	21.95	"19.43-24.46"	2.07	"2.01-2.12"
"F"	2019-09-01	21.76	"19.41-24.11"	2.05	"2-2.11"
"F"	2019-10-01	25.97	"23.36-28.58"	2.24	"2.18-2.3"
"F"	2019-11-01	27.62	"24.89-30.35"	2.32	"2.26-2.38"
"F"	2019-12-01	28.39	"25.73-31.04"	2.68	"2.61-2.75"
"F"	2020-01-01	26.93	"24.38-29.49"	2.69	"2.62-2.76"
"F"	2020-02-01	24.27	"21.84-26.69"	2.28	"2.22-2.34"
"F"	2020-03-01	29.43	"26.62-32.24"	2.62	"2.55-2.68"
"F"	2020-04-01	59.61	"55.91-63.31"	3.4	"3.32-3.47"
"F"	2020-05-01	34.81	"31.99-37.62"	2.48	"2.42-2.55"
"F"	2020-06-01	20.51	"18.3-22.73"	2.12	"2.06-2.18"
"F"	2020-07-01	19.76	"17.52-21.99"	2.03	"1.97-2.08"
"F"	2020-08-01	20.2	"18.03-22.38"	2.04	"1.98-2.1"
"F"	2020-09-01	20.35	"18.08-22.62"	2.01	"1.95-2.07"
"F"	2020-10-01	25	"22.51-27.49"	2.33	"2.27-2.39"
"F"	2020-11-01	26.61	"24.19-29.02"	2.51	"2.45-2.57"
"F"	2020-12-01	28.02	"25.57-30.47"	2.85	"2.78-2.91"
"F"	2021-01-01	38.18	"35.37-40.99"	3.7	"3.62-3.77"
"F"	2021-02-01	22.6	"20.55-24.64"	2.61	"2.55-2.68"
"F"	2021-03-01	14.28	"12.52-16.04"	1.6	"1.55-1.65"
"M"	2019-02-01	35.97	"32.91-39.03"	3.33	"3.24-3.41"
"M"	2019-03-01	31.51	"28.68-34.35"	3.2	"3.11-3.28"
"M"	2019-04-01	31.71	"28.93-34.49"	3.28	"3.19-3.36"
"M"	2019-05-01	28.68	"26.03-31.32"	3.06	"2.98-3.14"
"M"	2019-06-01	32.96	"30-35.92"	2.84	"2.76-2.92"
"M"	2019-07-01	27.49	"24.92-30.06"	2.95	"2.87-3.03"
"M"	2019-08-01	29.28	"26.67-31.88"	2.86	"2.78-2.94"
"M"	2019-09-01	31.32	"28.43-34.21"	2.87	"2.8-2.95"
"M"	2019-10-01	32.73	"30-35.46"	3.15	"3.07-3.24"
"M"	2019-11-01	37.04	"34.04-40.05"	3.36	"3.27-3.44"
"M"	2019-12-01	41.28	"38.1-44.47"	3.72	"3.63-3.81"
"M"	2020-01-01	39.78	"36.77-42.78"	3.68	"3.59-3.77"
"M"	2020-02-01	33.15	"30.42-35.89"	3.22	"3.13-3.3"
"M"	2020-03-01	40.67	"37.62-43.72"	3.86	"3.77-3.95"
"M"	2020-04-01	94.74	"90.23-99.24"	5.23	"5.12-5.34"
"M"	2020-05-01	53.97	"50.48-57.46"	3.53	"3.44-3.62"
"M"	2020-06-01	28.84	"26.21-31.47"	2.9	"2.82-2.98"
"M"	2020-07-01	28.75	"26.05-31.45"	2.76	"2.68-2.84"
"M"	2020-08-01	30.09	"27.36-32.82"	2.83	"2.75-2.91"
"M"	2020-09-01	27.75	"25.24-30.26"	2.88	"2.81-2.96"
"M"	2020-10-01	35.13	"32.34-37.91"	3.35	"3.27-3.44"
"M"	2020-11-01	39.94	"36.92-42.97"	3.77	"3.68-3.86"
"M"	2020-12-01	43.2	"40.13-46.28"	4.18	"4.09-4.28"
"M"	2021-01-01	60.79	"57.26-64.32"	5.44	"5.33-5.55"
"M"	2021-02-01	36.78	"33.94-39.63"	3.6	"3.51-3.69"
"M"	2021-03-01	18.58	"16.55-20.61"	2.13	"2.06-2.2"
