"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01		"NA-NA"
"F"	2019-03-01		"NA-NA"
"F"	2019-04-01		"NA-NA"
"F"	2019-05-01		"NA-NA"
"F"	2019-06-01		"NA-NA"
"F"	2019-07-01		"NA-NA"
"F"	2019-08-01		"NA-NA"
"F"	2019-09-01		"NA-NA"
"F"	2019-10-01		"NA-NA"
"F"	2019-11-01		"NA-NA"
"F"	2019-12-01		"NA-NA"
"F"	2020-01-01		"NA-NA"
"F"	2020-02-01		"NA-NA"
"F"	2020-03-01	5.08	"4.36-5.93"
"F"	2020-04-01	10.96	"10.31-11.66"
"F"	2020-05-01	16.25	"15.74-16.77"
"F"	2020-06-01	8.91	"8.53-9.31"
"F"	2020-07-01	1.93	"1.77-2.09"
"F"	2020-08-01	1.66	"1.53-1.81"
"F"	2020-09-01	1.51	"1.37-1.66"
"F"	2020-10-01	1.29	"1.18-1.42"
"F"	2020-11-01	1.85	"1.72-1.99"
"F"	2020-12-01	2.01	"1.88-2.15"
"F"	2021-01-01	2.46	"2.33-2.6"
"F"	2021-02-01	0.93	"0.83-1.04"
"F"	2021-03-01	0.26	"0.21-0.31"
"M"	2019-02-01		"NA-NA"
"M"	2019-03-01		"NA-NA"
"M"	2019-04-01		"NA-NA"
"M"	2019-05-01		"NA-NA"
"M"	2019-06-01		"NA-NA"
"M"	2019-07-01		"NA-NA"
"M"	2019-08-01		"NA-NA"
"M"	2019-09-01		"NA-NA"
"M"	2019-10-01		"NA-NA"
"M"	2019-11-01		"NA-NA"
"M"	2019-12-01		"NA-NA"
"M"	2020-01-01		"NA-NA"
"M"	2020-02-01		"NA-NA"
"M"	2020-03-01	5.13	"4.55-5.77"
"M"	2020-04-01	10.8	"10.24-11.4"
"M"	2020-05-01	14.82	"14.35-15.3"
"M"	2020-06-01	7.62	"7.28-7.97"
"M"	2020-07-01	1.73	"1.59-1.88"
"M"	2020-08-01	1.37	"1.25-1.5"
"M"	2020-09-01	1.31	"1.18-1.44"
"M"	2020-10-01	1.17	"1.06-1.28"
"M"	2020-11-01	1.81	"1.68-1.94"
"M"	2020-12-01	2.08	"1.95-2.22"
"M"	2021-01-01	2.71	"2.57-2.86"
"M"	2021-02-01	1	"0.89-1.11"
"M"	2021-03-01	0.27	"0.22-0.33"
