"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	1.56	"1.45-1.67"
"F"	2019-03-01	1.43	"1.33-1.53"
"F"	2019-04-01	1.56	"1.45-1.68"
"F"	2019-05-01	1.48	"1.37-1.59"
"F"	2019-06-01	1.37	"1.27-1.48"
"F"	2019-07-01	1.44	"1.34-1.55"
"F"	2019-08-01	1.48	"1.38-1.6"
"F"	2019-09-01	1.45	"1.34-1.56"
"F"	2019-10-01	1.51	"1.41-1.62"
"F"	2019-11-01	1.48	"1.37-1.58"
"F"	2019-12-01	1.71	"1.6-1.83"
"F"	2020-01-01	1.51	"1.41-1.62"
"F"	2020-02-01	1.51	"1.41-1.62"
"F"	2020-03-01	1.62	"1.5-1.75"
"F"	2020-04-01	3.02	"2.79-3.28"
"F"	2020-05-01	2.37	"2.18-2.58"
"F"	2020-06-01	1.82	"1.67-1.98"
"F"	2020-07-01	1.65	"1.52-1.79"
"F"	2020-08-01	1.71	"1.59-1.85"
"F"	2020-09-01	1.52	"1.4-1.64"
"F"	2020-10-01	1.58	"1.47-1.7"
"F"	2020-11-01	1.63	"1.51-1.75"
"F"	2020-12-01	1.66	"1.54-1.79"
"F"	2021-01-01	1.87	"1.74-2.02"
"F"	2021-02-01	1.63	"1.51-1.77"
"F"	2021-03-01	1.58	"1.47-1.7"
"M"	2019-02-01	1.74	"1.63-1.85"
"M"	2019-03-01	1.78	"1.67-1.89"
"M"	2019-04-01	1.68	"1.58-1.79"
"M"	2019-05-01	1.73	"1.62-1.84"
"M"	2019-06-01	1.78	"1.67-1.89"
"M"	2019-07-01	1.74	"1.64-1.85"
"M"	2019-08-01	1.76	"1.65-1.87"
"M"	2019-09-01	1.74	"1.64-1.86"
"M"	2019-10-01	1.66	"1.57-1.77"
"M"	2019-11-01	1.82	"1.71-1.93"
"M"	2019-12-01	1.86	"1.75-1.97"
"M"	2020-01-01	1.79	"1.69-1.89"
"M"	2020-02-01	1.68	"1.58-1.79"
"M"	2020-03-01	1.97	"1.85-2.1"
"M"	2020-04-01	3.58	"3.36-3.82"
"M"	2020-05-01	2.57	"2.4-2.76"
"M"	2020-06-01	2.02	"1.88-2.17"
"M"	2020-07-01	1.89	"1.76-2.02"
"M"	2020-08-01	1.96	"1.84-2.09"
"M"	2020-09-01	1.76	"1.64-1.88"
"M"	2020-10-01	1.86	"1.75-1.98"
"M"	2020-11-01	1.75	"1.64-1.87"
"M"	2020-12-01	1.89	"1.77-2.01"
"M"	2021-01-01	2.24	"2.11-2.38"
"M"	2021-02-01	2.07	"1.94-2.21"
"M"	2021-03-01	1.72	"1.62-1.83"
