"Time_Period"	"Cause_of_Death"	"Percentage"	"Count"
2019-02-01	"Respiratory Disease"	12.54	445
2019-02-01	"Dementia"	20.04	711
2019-02-01	"Cardiovascular Disease"	17.76	630
2019-02-01	"Cancer"	11.75	417
2019-02-01	"Other"	37.91	1345
2019-03-01	"Respiratory Disease"	11.79	375
2019-03-01	"Dementia"	19.25	612
2019-03-01	"Cardiovascular Disease"	18.84	599
2019-03-01	"Cancer"	11.29	359
2019-03-01	"Other"	38.84	1235
2019-04-01	"Respiratory Disease"	12.02	393
2019-04-01	"Dementia"	18.84	616
2019-04-01	"Cardiovascular Disease"	18.94	619
2019-04-01	"Cancer"	12.88	421
2019-04-01	"Other"	37.32	1220
2019-05-01	"Respiratory Disease"	11.21	357
2019-05-01	"Dementia"	18.46	588
2019-05-01	"Cardiovascular Disease"	19.47	620
2019-05-01	"Cancer"	12.03	383
2019-05-01	"Other"	38.84	1237
2019-06-01	"Respiratory Disease"	9.7	295
2019-06-01	"Dementia"	17.79	541
2019-06-01	"Cardiovascular Disease"	19.89	605
2019-06-01	"Cancer"	14.93	454
2019-06-01	"Other"	37.68	1146
2019-07-01	"Respiratory Disease"	9.53	294
2019-07-01	"Dementia"	17.37	536
2019-07-01	"Cardiovascular Disease"	19.84	612
2019-07-01	"Cancer"	13.35	412
2019-07-01	"Other"	39.9	1231
2019-08-01	"Respiratory Disease"	7.83	245
2019-08-01	"Dementia"	17.42	545
2019-08-01	"Cardiovascular Disease"	20.45	640
2019-08-01	"Cancer"	16.24	508
2019-08-01	"Other"	38.06	1191
2019-09-01	"Respiratory Disease"	9.87	310
2019-09-01	"Dementia"	17.1	537
2019-09-01	"Cardiovascular Disease"	20.03	629
2019-09-01	"Cancer"	13.85	435
2019-09-01	"Other"	39.16	1230
2019-10-01	"Respiratory Disease"	10.44	395
2019-10-01	"Dementia"	18.86	714
2019-10-01	"Cardiovascular Disease"	18.2	689
2019-10-01	"Cancer"	12.26	464
2019-10-01	"Other"	40.24	1523
2019-11-01	"Respiratory Disease"	11.45	455
2019-11-01	"Dementia"	18.19	723
2019-11-01	"Cardiovascular Disease"	18.34	729
2019-11-01	"Cancer"	13.01	517
2019-11-01	"Other"	39	1550
2019-12-01	"Respiratory Disease"	12.92	570
2019-12-01	"Dementia"	19.83	875
2019-12-01	"Cardiovascular Disease"	16.68	736
2019-12-01	"Cancer"	11.76	519
2019-12-01	"Other"	38.8	1712
2020-01-01	"Respiratory Disease"	12.89	545
2020-01-01	"Dementia"	19.45	822
2020-01-01	"Cardiovascular Disease"	16.94	716
2020-01-01	"Cancer"	10.48	443
2020-01-01	"Other"	40.24	1701
2020-02-01	"Respiratory Disease"	11.16	422
2020-02-01	"Dementia"	18.46	698
2020-02-01	"Cardiovascular Disease"	18.48	699
2020-02-01	"Cancer"	12.9	488
2020-02-01	"Other"	39	1475
2020-03-01	"Respiratory Disease"	10.99	468
2020-03-01	"Dementia"	18.31	780
2020-03-01	"Cardiovascular Disease"	16.51	703
2020-03-01	"Cancer"	11.34	483
2020-03-01	"Other"	38.79	1652
2020-03-01	"COVID-19"	4.06	173
2020-04-01	"Respiratory Disease"	6.21	571
2020-04-01	"Dementia"	12.29	1130
2020-04-01	"Cardiovascular Disease"	10.21	939
2020-04-01	"Cancer"	5.53	508
2020-04-01	"Other"	27.34	2514
2020-04-01	"COVID-19"	38.42	3532
2020-05-01	"Respiratory Disease"	5.14	280
2020-05-01	"Dementia"	12.57	684
2020-05-01	"Cardiovascular Disease"	11.92	649
2020-05-01	"Cancer"	7.46	406
2020-05-01	"Other"	26.07	1419
2020-05-01	"COVID-19"	36.84	2005
2020-06-01	"Respiratory Disease"	7.07	209
2020-06-01	"Dementia"	14.78	437
2020-06-01	"Cardiovascular Disease"	18	532
2020-06-01	"Cancer"	11.03	326
2020-06-01	"Other"	35.52	1050
2020-06-01	"COVID-19"	13.6	402
2020-07-01	"Respiratory Disease"	7.04	195
2020-07-01	"Dementia"	15.48	429
2020-07-01	"Cardiovascular Disease"	20.5	568
2020-07-01	"Cancer"	13.28	368
2020-07-01	"Other"	39.77	1102
2020-07-01	"COVID-19"	3.93	109
2020-08-01	"Respiratory Disease"	7.14	214
2020-08-01	"Dementia"	17.17	515
2020-08-01	"Cardiovascular Disease"	21.61	648
2020-08-01	"Cancer"	12.9	387
2020-08-01	"Other"	39.71	1191
2020-08-01	"COVID-19"	1.47	44
2020-09-01	"Respiratory Disease"	7.22	212
2020-09-01	"Dementia"	16.3	479
2020-09-01	"Cardiovascular Disease"	20.49	602
2020-09-01	"Cancer"	12.15	357
2020-09-01	"Other"	42.24	1241
2020-09-01	"COVID-19"	1.6	47
2020-10-01	"Respiratory Disease"	8.33	302
2020-10-01	"Dementia"	16.24	589
2020-10-01	"Cardiovascular Disease"	16.96	615
2020-10-01	"Cancer"	11.09	402
2020-10-01	"Other"	39.13	1419
2020-10-01	"COVID-19"	8.25	299
2020-11-01	"Respiratory Disease"	5.52	228
2020-11-01	"Dementia"	14.02	579
2020-11-01	"Cardiovascular Disease"	14.53	600
2020-11-01	"Cancer"	9.06	374
2020-11-01	"Other"	31.23	1290
2020-11-01	"COVID-19"	25.64	1059
2020-12-01	"Respiratory Disease"	4.8	177
2020-12-01	"Dementia"	14.07	519
2020-12-01	"Cardiovascular Disease"	13.15	485
2020-12-01	"Cancer"	8.62	318
2020-12-01	"Other"	28.52	1052
2020-12-01	"COVID-19"	30.85	1138
2021-01-01	"Respiratory Disease"	4.05	262
2021-01-01	"Dementia"	9.67	625
2021-01-01	"Cardiovascular Disease"	10.1	653
2021-01-01	"Cancer"	6.4	414
2021-01-01	"Other"	22.39	1448
2021-01-01	"COVID-19"	47.39	3064
2021-02-01	"Respiratory Disease"	5.22	206
2021-02-01	"Dementia"	12.38	489
2021-02-01	"Cardiovascular Disease"	14.58	576
2021-02-01	"Cancer"	8	316
2021-02-01	"Other"	28.1	1110
2021-02-01	"COVID-19"	31.72	1253
2021-03-01	"Respiratory Disease"	6.97	210
2021-03-01	"Dementia"	16.14	486
2021-03-01	"Cardiovascular Disease"	18.86	568
2021-03-01	"Cancer"	10.59	319
2021-03-01	"Other"	39.94	1203
2021-03-01	"COVID-19"	7.5	226
