"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01		9578		"NA-NA"		2354058		"NA-NA"
"65-74"	2019-03-01		9586		"NA-NA"		2354502		"NA-NA"
"65-74"	2019-04-01		9611		"NA-NA"		2354321		"NA-NA"
"65-74"	2019-05-01		9646		"NA-NA"		2355810		"NA-NA"
"65-74"	2019-06-01		9757		"NA-NA"		2356276		"NA-NA"
"65-74"	2019-07-01		9811		"NA-NA"		2356577		"NA-NA"
"65-74"	2019-08-01		9929		"NA-NA"		2358366		"NA-NA"
"65-74"	2019-09-01		10005		"NA-NA"		2359740		"NA-NA"
"65-74"	2019-10-01		10012		"NA-NA"		2359824		"NA-NA"
"65-74"	2019-11-01		10114		"NA-NA"		2360599		"NA-NA"
"65-74"	2019-12-01		10099		"NA-NA"	8	2361157	0	"0-0.01"
"65-74"	2020-01-01		10142		"NA-NA"	28	2362671	0.01	"0.01-0.02"
"65-74"	2020-02-01		10215		"NA-NA"	85	2363592	0.04	"0.03-0.05"
"65-74"	2020-03-01	49	10349	4.58	"3.47-6.05"	1704	2367325	0.7	"0.66-0.73"
"65-74"	2020-04-01	323	10392	31.08	"27.91-34.6"	2960	2369480	1.25	"1.21-1.3"
"65-74"	2020-05-01	117	10136	11.17	"9.33-13.37"	1147	2369977	0.47	"0.44-0.5"
"65-74"	2020-06-01	38	10027	3.79	"2.76-5.2"	570	2371772	0.24	"0.22-0.26"
"65-74"	2020-07-01	8	10153	0.76	"0.39-1.5"	254	2373489	0.1	"0.09-0.12"
"65-74"	2020-08-01	8	10375	0.75	"0.38-1.47"	158	2376068	0.06	"0.06-0.08"
"65-74"	2020-09-01	13	10437	1.25	"0.73-2.13"	504	2377926	0.21	"0.19-0.23"
"65-74"	2020-10-01	68	10481	6.28	"4.96-7.95"	1985	2379759	0.81	"0.77-0.84"
"65-74"	2020-11-01	121	10542	11.48	"9.62-13.7"	3050	2381486	1.28	"1.24-1.33"
"65-74"	2020-12-01	177	10550	16.24	"14.03-18.78"	3464	2382017	1.41	"1.36-1.45"
"65-74"	2021-01-01	265	10551	24.31	"21.58-27.37"	5968	2384622	2.42	"2.36-2.48"
"65-74"	2021-02-01	100	10415	10.29	"8.47-12.5"	2367	2385699	1.06	"1.02-1.11"
"65-74"	2021-03-01	22	10440	2.04	"1.35-3.09"	602	2386063	0.24	"0.23-0.26"
"75-79"	2019-02-01		10077		"NA-NA"		789762		"NA-NA"
"75-79"	2019-03-01		10079		"NA-NA"		794227		"NA-NA"
"75-79"	2019-04-01		10143		"NA-NA"		798291		"NA-NA"
"75-79"	2019-05-01		10193		"NA-NA"		802968		"NA-NA"
"75-79"	2019-06-01		10321		"NA-NA"		807408		"NA-NA"
"75-79"	2019-07-01		10438		"NA-NA"		811618		"NA-NA"
"75-79"	2019-08-01		10549		"NA-NA"		814633		"NA-NA"
"75-79"	2019-09-01		10663		"NA-NA"		818155		"NA-NA"
"75-79"	2019-10-01		10675		"NA-NA"		821989		"NA-NA"
"75-79"	2019-11-01		10816		"NA-NA"		825876		"NA-NA"
"75-79"	2019-12-01		10805		"NA-NA"	9	830754	0.01	"0.01-0.02"
"75-79"	2020-01-01		10785		"NA-NA"	12	833155	0.01	"0.01-0.02"
"75-79"	2020-02-01		10863		"NA-NA"	68	834517	0.08	"0.07-0.11"
"75-79"	2020-03-01	78	10922	6.91	"5.54-8.62"	1085	836017	1.26	"1.18-1.33"
"75-79"	2020-04-01	343	11008	31.16	"28.07-34.57"	1876	837081	2.24	"2.14-2.34"
"75-79"	2020-05-01	164	10486	15.14	"13-17.61"	716	838417	0.83	"0.77-0.89"
"75-79"	2020-06-01	28	10245	2.73	"1.89-3.95"	308	841298	0.37	"0.33-0.41"
"75-79"	2020-07-01	16	10432	1.48	"0.91-2.41"	127	843878	0.15	"0.12-0.17"
"75-79"	2020-08-01	13	10635	1.18	"0.69-2.02"	76	846641	0.09	"0.07-0.11"
"75-79"	2020-09-01	15	10743	1.4	"0.85-2.3"	276	848193	0.33	"0.29-0.37"
"75-79"	2020-10-01	72	10881	6.4	"5.09-8.06"	1238	850699	1.41	"1.33-1.49"
"75-79"	2020-11-01	138	10989	12.56	"10.64-14.82"	1930	854441	2.26	"2.16-2.36"
"75-79"	2020-12-01	169	10960	14.92	"12.85-17.32"	2341	857153	2.64	"2.54-2.75"
"75-79"	2021-01-01	292	10898	25.93	"23.15-29.03"	3507	860044	3.95	"3.82-4.08"
"75-79"	2021-02-01	82	10816	8.12	"6.55-10.07"	1362	861894	1.69	"1.61-1.79"
"75-79"	2021-03-01	18	10837	1.61	"1.02-2.54"	347	865811	0.39	"0.35-0.43"
