"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"65-74"	26.73	1.12	23.8	"20.96-27.01"	25.6	"22.37-28.83"
2019-03-01	"65-74"	22.12	1.08	20.42	"17.78-23.46"	21.03	"18.09-23.98"
2019-04-01	"65-74"	25.7	1.1	23.4	"20.57-26.62"	24.6	"21.44-27.76"
2019-05-01	"65-74"	17.73	1.05	16.91	"14.51-19.72"	16.68	"14.05-19.31"
2019-06-01	"65-74"	21.52	1.03	20.82	"18.11-23.94"	20.49	"17.61-23.37"
2019-07-01	"65-74"	19.98	1.03	19.38	"16.78-22.39"	18.95	"16.18-21.72"
2019-08-01	"65-74"	21.96	1.04	21.11	"18.4-24.21"	20.92	"18.03-23.8"
2019-09-01	"65-74"	22.69	1.02	22.18	"19.38-25.38"	21.67	"18.75-24.58"
2019-10-01	"65-74"	23.57	1.07	22.06	"19.33-25.17"	22.5	"19.53-25.47"
2019-11-01	"65-74"	26.1	1.11	23.54	"20.77-26.67"	24.99	"21.89-28.1"
2019-12-01	"65-74"	27.82	1.23	22.71	"20.12-25.63"	26.6	"23.39-29.81"
2020-01-01	"65-74"	27.11	1.23	22.05	"19.52-24.92"	25.89	"22.72-29.05"
2020-02-01	"65-74"	23.1	1.08	21.42	"18.77-24.44"	22.02	"19.11-24.94"
2020-03-01	"65-74"	26.67	1.17	22.79	"20.17-25.75"	25.5	"22.39-28.6"
2020-04-01	"65-74"	35.22	1.07	32.84	"29.48-36.58"	34.15	"30.6-37.69"
2020-05-01	"65-74"	20.52	1	20.51	"17.83-23.6"	19.52	"16.76-22.28"
2020-06-01	"65-74"	17.05	0.98	17.42	"14.93-20.32"	16.07	"13.54-18.61"
2020-07-01	"65-74"	18.42	0.97	18.99	"16.38-22.01"	17.45	"14.83-20.06"
2020-08-01	"65-74"	22.07	0.99	22.36	"19.55-25.58"	21.09	"18.26-23.91"
2020-09-01	"65-74"	18.59	0.98	18.89	"16.34-21.84"	17.6	"15.01-20.19"
2020-10-01	"65-74"	21.56	1	21.63	"18.9-24.76"	20.57	"17.79-23.35"
2020-11-01	"65-74"	18.31	0.92	19.91	"17.21-23.04"	17.39	"14.83-19.95"
2020-12-01	"65-74"	15.73	0.76	20.59	"17.59-24.11"	14.97	"12.6-17.35"
2021-01-01	"65-74"	20	1.09	18.41	"16.02-21.15"	18.91	"16.24-21.58"
2021-02-01	"65-74"	15.55	0.9	17.2	"14.68-20.15"	14.65	"12.27-17.03"
2021-03-01	"65-74"	17.62	0.98	17.93	"15.45-20.81"	16.64	"14.12-19.17"
2019-02-01	"75-79"	29.97	2.26	13.26	"11.76-14.96"	27.71	"24.38-31.04"
2019-03-01	"75-79"	27.38	2.2	12.43	"10.96-14.09"	25.18	"21.99-28.37"
2019-04-01	"75-79"	26.22	2.21	11.87	"10.45-13.48"	24.02	"20.91-27.13"
2019-05-01	"75-79"	26.39	2.09	12.64	"11.13-14.36"	24.3	"21.19-27.42"
2019-06-01	"75-79"	25.48	1.99	12.82	"11.27-14.58"	23.49	"20.45-26.53"
2019-07-01	"75-79"	25	2.1	11.92	"10.48-13.56"	22.91	"19.91-25.9"
2019-08-01	"75-79"	23.89	1.98	12.05	"10.57-13.74"	21.91	"18.99-24.82"
2019-09-01	"75-79"	25.98	2.03	12.77	"11.26-14.48"	23.94	"20.92-26.96"
2019-10-01	"75-79"	29.6	2.21	13.4	"11.91-15.08"	27.39	"24.18-30.61"
