"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01	254	9566	26.55	"23.52-29.97"	2622	2338616	1.12	"1.08-1.16"
"65-74"	2019-03-01	212	9577	22.14	"19.38-25.28"	2534	2339024	1.08	"1.04-1.13"
"65-74"	2019-04-01	248	9605	25.82	"22.83-29.19"	2569	2338809	1.1	"1.06-1.14"
"65-74"	2019-05-01	172	9635	17.85	"15.39-20.69"	2462	2340224	1.05	"1.01-1.09"
"65-74"	2019-06-01	209	9740	21.46	"18.76-24.53"	2424	2340641	1.04	"1-1.08"
"65-74"	2019-07-01	195	9788	19.92	"17.34-22.88"	2418	2340901	1.03	"0.99-1.07"
"65-74"	2019-08-01	218	9908	22	"19.29-25.08"	2439	2342647	1.04	"1-1.08"
"65-74"	2019-09-01	226	9987	22.63	"19.89-25.73"	2399	2343966	1.02	"0.98-1.07"
"65-74"	2019-10-01	236	9989	23.63	"20.83-26.79"	2510	2343982	1.07	"1.03-1.11"
"65-74"	2019-11-01	264	10094	26.15	"23.22-29.45"	2607	2344699	1.11	"1.07-1.16"
"65-74"	2019-12-01	275	10075	27.3	"24.29-30.66"	2879	2345194	1.23	"1.18-1.27"
"65-74"	2020-01-01	271	10119	26.78	"23.81-30.11"	2892	2346668	1.23	"1.19-1.28"
"65-74"	2020-02-01	236	10195	23.15	"20.4-26.25"	2545	2347514	1.08	"1.04-1.13"
"65-74"	2020-03-01	276	10328	26.72	"23.78-30.01"	2761	2351182	1.17	"1.13-1.22"
"65-74"	2020-04-01	365	10369	35.2	"31.82-38.92"	2533	2353239	1.08	"1.04-1.12"
"65-74"	2020-05-01	206	10110	20.38	"17.8-23.32"	2360	2353689	1	"0.96-1.04"
"65-74"	2020-06-01	170	9999	17	"14.65-19.73"	2325	2355406	0.99	"0.95-1.03"
"65-74"	2020-07-01	188	10132	18.56	"16.1-21.37"	2313	2356887	0.98	"0.94-1.02"
"65-74"	2020-08-01	229	10352	22.12	"19.46-25.14"	2364	2359344	1	"0.96-1.04"
"65-74"	2020-09-01	194	10406	18.64	"16.22-21.43"	2365	2361126	1	"0.96-1.04"
"65-74"	2020-10-01	226	10441	21.65	"19.03-24.62"	2419	2362849	1.02	"0.98-1.07"
"65-74"	2020-11-01	191	10502	18.19	"15.8-20.92"	2272	2364437	0.96	"0.92-1"
"65-74"	2020-12-01	204	10518	19.4	"16.93-22.21"	2443	2364853	1.03	"0.99-1.07"
"65-74"	2021-01-01	209	10516	19.87	"17.38-22.72"	2488	2367343	1.05	"1.01-1.09"
"65-74"	2021-02-01	156	10377	15.03	"12.87-17.56"	2009	2368173	0.85	"0.81-0.89"
"65-74"	2021-03-01	120	10414	11.52	"9.65-13.76"	1502	2368277	0.63	"0.6-0.67"
"75-79"	2019-02-01	301	10072	29.88	"26.73-33.39"	1784	784568	2.27	"2.17-2.38"
"75-79"	2019-03-01	274	10072	27.2	"24.2-30.57"	1743	788977	2.21	"2.11-2.32"
"75-79"	2019-04-01	265	10130	26.16	"23.23-29.45"	1758	792977	2.22	"2.12-2.32"
"75-79"	2019-05-01	266	10182	26.12	"23.2-29.41"	1664	797584	2.09	"1.99-2.19"
"75-79"	2019-06-01	262	10309	25.41	"22.55-28.63"	1600	801981	2	"1.9-2.1"
"75-79"	2019-07-01	261	10432	25.02	"22.19-28.2"	1689	806108	2.1	"2-2.2"
"75-79"	2019-08-01	251	10546	23.8	"21.06-26.89"	1609	809079	1.99	"1.89-2.09"
"75-79"	2019-09-01	276	10657	25.9	"23.05-29.09"	1651	812527	2.03	"1.94-2.13"
"75-79"	2019-10-01	314	10667	29.44	"26.39-32.82"	1807	816311	2.21	"2.11-2.32"
"75-79"	2019-11-01	361	10808	33.4	"30.18-36.96"	1903	820133	2.32	"2.22-2.43"
"75-79"	2019-12-01	399	10799	36.95	"33.55-40.67"	2170	824950	2.63	"2.52-2.74"
"75-79"	2020-01-01	394	10771	36.58	"33.2-40.29"	2124	827297	2.57	"2.46-2.68"
"75-79"	2020-02-01	318	10846	29.32	"26.31-32.66"	1777	828622	2.14	"2.05-2.25"
"75-79"	2020-03-01	374	10915	34.26	"31.01-37.84"	1974	830062	2.38	"2.28-2.49"
"75-79"	2020-04-01	482	10994	43.84	"40.17-47.83"	1861	831097	2.24	"2.14-2.34"
"75-79"	2020-05-01	285	10483	27.19	"24.24-30.48"	1638	832429	1.97	"1.87-2.07"
"75-79"	2020-06-01	223	10249	21.76	"19.11-24.77"	1596	835237	1.91	"1.82-2.01"
"75-79"	2020-07-01	251	10433	24.06	"21.29-27.18"	1616	837688	1.93	"1.84-2.03"
"75-79"	2020-08-01	231	10642	21.71	"19.11-24.65"	1687	840418	2.01	"1.91-2.11"
"75-79"	2020-09-01	257	10747	23.91	"21.19-26.98"	1708	841935	2.03	"1.93-2.13"
"75-79"	2020-10-01	310	10879	28.5	"25.53-31.79"	1754	844392	2.08	"1.98-2.18"
"75-79"	2020-11-01	287	10991	26.11	"23.29-29.26"	1560	848062	1.84	"1.75-1.93"
"75-79"	2020-12-01	265	10957	24.19	"21.47-27.23"	1804	850689	2.12	"2.03-2.22"
"75-79"	2021-01-01	240	10890	22.04	"19.45-24.97"	1806	853515	2.12	"2.02-2.22"
"75-79"	2021-02-01	221	10804	20.46	"17.95-23.3"	1437	855304	1.68	"1.6-1.77"
"75-79"	2021-03-01	168	10832	15.51	"13.35-18.01"	1120	859091	1.3	"1.23-1.38"
"80-84"	2019-02-01	582	17507	33.24	"30.69-36"	2293	576765	3.98	"3.82-4.14"
"80-84"	2019-03-01	507	17518	28.94	"26.56-31.53"	2192	577966	3.79	"3.64-3.95"
"80-84"	2019-04-01	525	17528	29.95	"27.53-32.58"	2222	579461	3.83	"3.68-4"
"80-84"	2019-05-01	545	17624	30.92	"28.47-33.58"	2114	581411	3.64	"3.48-3.79"
"80-84"	2019-06-01	527	17880	29.47	"27.09-32.06"	1901	582889	3.26	"3.12-3.41"
"80-84"	2019-07-01	505	17911	28.19	"25.87-30.72"	2089	584390	3.57	"3.42-3.73"
"80-84"	2019-08-01	528	18103	29.17	"26.81-31.72"	1945	585656	3.32	"3.18-3.47"
"80-84"	2019-09-01	538	18220	29.53	"27.17-32.09"	1958	587047	3.34	"3.19-3.49"
"80-84"	2019-10-01	649	18198	35.66	"33.07-38.46"	2209	587508	3.76	"3.61-3.92"
"80-84"	2019-11-01	637	18237	34.93	"32.36-37.69"	2314	587788	3.94	"3.78-4.1"
"80-84"	2019-12-01	725	18143	39.96	"37.21-42.91"	2598	588292	4.42	"4.25-4.59"
"80-84"	2020-01-01	681	18070	37.69	"35.01-40.56"	2525	588735	4.29	"4.13-4.46"
"80-84"	2020-02-01	623	18295	34.05	"31.52-36.78"	2151	589288	3.65	"3.5-3.81"
"80-84"	2020-03-01	682	18365	37.14	"34.5-39.97"	2344	590277	3.97	"3.81-4.13"
