"Gender"	"over80"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	"No"	2019-02-01	20.63	"17.63-24.14"
"F"	"No"	2019-03-01	18.29	"15.39-21.75"
"F"	"No"	2019-04-01	19.35	"16.55-22.64"
"F"	"No"	2019-05-01	16.06	"13.5-19.11"
"F"	"No"	2019-06-01	16.12	"13.44-19.33"
"F"	"No"	2019-07-01	18.09	"15.24-21.46"
"F"	"No"	2019-08-01	19.49	"16.42-23.13"
"F"	"No"	2019-09-01	18.96	"16.1-22.33"
"F"	"No"	2019-10-01	21.63	"18.54-25.24"
"F"	"No"	2019-11-01	22.82	"19.65-26.5"
"F"	"No"	2019-12-01	19.07	"16.46-22.1"
"F"	"No"	2020-01-01	18.95	"16.37-21.94"
"F"	"No"	2020-02-01	19.45	"16.61-22.78"
"F"	"No"	2020-03-01	21.57	"18.64-24.95"
"F"	"No"	2020-04-01	27.93	"24.53-31.8"
"F"	"No"	2020-05-01	18.02	"15.3-21.24"
"F"	"No"	2020-06-01	15.07	"12.6-18.03"
"F"	"No"	2020-07-01	15.92	"13.28-19.1"
"F"	"No"	2020-08-01	17.2	"14.51-20.38"
"F"	"No"	2020-09-01	17.6	"14.82-20.9"
"F"	"No"	2020-10-01	18.93	"16.13-22.22"
"F"	"No"	2020-11-01	18.1	"15.28-21.43"
"F"	"No"	2020-12-01	15.65	"13.26-18.48"
"F"	"No"	2021-01-01	14.69	"12.38-17.42"
"F"	"No"	2021-02-01	13.69	"11.39-16.45"
"F"	"No"	2021-03-01	17.17	"14.53-20.29"
"F"	"Yes"	2019-02-01	5.09	"4.77-5.43"
"F"	"Yes"	2019-03-01	4.98	"4.65-5.33"
"F"	"Yes"	2019-04-01	5	"4.68-5.35"
"F"	"Yes"	2019-05-01	5.16	"4.82-5.53"
"F"	"Yes"	2019-06-01	5.25	"4.89-5.64"
"F"	"Yes"	2019-07-01	5.47	"5.1-5.87"
"F"	"Yes"	2019-08-01	5.32	"4.96-5.7"
"F"	"Yes"	2019-09-01	5.44	"5.07-5.83"
"F"	"Yes"	2019-10-01	5.89	"5.52-6.28"
"F"	"Yes"	2019-11-01	5.69	"5.35-6.07"
"F"	"Yes"	2019-12-01	5.68	"5.35-6.02"
"F"	"Yes"	2020-01-01	5.11	"4.81-5.43"
"F"	"Yes"	2020-02-01	5.68	"5.33-6.05"
"F"	"Yes"	2020-03-01	5.31	"4.99-5.66"
"F"	"Yes"	2020-04-01	7.77	"7.36-8.21"
"F"	"Yes"	2020-05-01	6.06	"5.67-6.48"
"F"	"Yes"	2020-06-01	4.91	"4.55-5.3"
"F"	"Yes"	2020-07-01	5.04	"4.68-5.43"
"F"	"Yes"	2020-08-01	5.32	"4.95-5.71"
"F"	"Yes"	2020-09-01	5.23	"4.86-5.62"
"F"	"Yes"	2020-10-01	5.58	"5.21-5.97"
"F"	"Yes"	2020-11-01	5.41	"5.04-5.8"
"F"	"Yes"	2020-12-01	5.02	"4.68-5.38"
"F"	"Yes"	2021-01-01	5.16	"4.82-5.52"
"F"	"Yes"	2021-02-01	4.86	"4.51-5.23"
"F"	"Yes"	2021-03-01	4.89	"4.55-5.26"
"M"	"No"	2019-02-01	18.23	"15.94-20.86"
"M"	"No"	2019-03-01	16.35	"14.2-18.82"
"M"	"No"	2019-04-01	15.65	"13.59-18.03"
"M"	"No"	2019-05-01	14.28	"12.23-16.68"
"M"	"No"	2019-06-01	18.29	"15.92-21.02"
"M"	"No"	2019-07-01	14.22	"12.23-16.54"
"M"	"No"	2019-08-01	15.58	"13.47-18.02"
"M"	"No"	2019-09-01	17.78	"15.39-20.54"
"M"	"No"	2019-10-01	15.62	"13.58-17.97"
"M"	"No"	2019-11-01	17.81	"15.63-20.29"
"M"	"No"	2019-12-01	18.8	"16.63-21.26"
"M"	"No"	2020-01-01	17.61	"15.59-19.89"
"M"	"No"	2020-02-01	16.33	"14.25-18.72"
"M"	"No"	2020-03-01	17.27	"15.19-19.63"
"M"	"No"	2020-04-01	24.37	"21.78-27.26"
"M"	"No"	2020-05-01	16.33	"14.13-18.88"
"M"	"No"	2020-06-01	13.98	"11.9-16.43"
"M"	"No"	2020-07-01	16.42	"14.18-19.03"
"M"	"No"	2020-08-01	16.23	"14.03-18.77"
"M"	"No"	2020-09-01	14.2	"12.21-16.52"
"M"	"No"	2020-10-01	16.78	"14.65-19.22"
"M"	"No"	2020-11-01	16.49	"14.24-19.1"
"M"	"No"	2020-12-01	15.03	"12.97-17.42"
"M"	"No"	2021-01-01	14.26	"12.33-16.48"
"M"	"No"	2021-02-01	15.38	"13.1-18.05"
"M"	"No"	2021-03-01	13.59	"11.65-15.85"
"M"	"Yes"	2019-02-01	6.22	"5.77-6.7"
"M"	"Yes"	2019-03-01	5.73	"5.29-6.21"
"M"	"Yes"	2019-04-01	5.93	"5.49-6.41"
"M"	"Yes"	2019-05-01	6.18	"5.71-6.69"
"M"	"Yes"	2019-06-01	6.8	"6.27-7.37"
"M"	"Yes"	2019-07-01	5.97	"5.51-6.48"
"M"	"Yes"	2019-08-01	6.63	"6.13-7.19"
"M"	"Yes"	2019-09-01	6.34	"5.85-6.87"
"M"	"Yes"	2019-10-01	6.86	"6.37-7.39"
"M"	"Yes"	2019-11-01	6.7	"6.24-7.2"
"M"	"Yes"	2019-12-01	6.48	"6.05-6.95"
"M"	"Yes"	2020-01-01	6.63	"6.18-7.1"
"M"	"Yes"	2020-02-01	6.6	"6.13-7.1"
"M"	"Yes"	2020-03-01	6.86	"6.4-7.35"
"M"	"Yes"	2020-04-01	9.33	"8.75-9.94"
"M"	"Yes"	2020-05-01	6.37	"5.88-6.91"
"M"	"Yes"	2020-06-01	5.72	"5.23-6.25"
"M"	"Yes"	2020-07-01	5.8	"5.3-6.34"
"M"	"Yes"	2020-08-01	6.56	"6.03-7.12"
"M"	"Yes"	2020-09-01	6.47	"5.96-7.03"
"M"	"Yes"	2020-10-01	6.58	"6.09-7.12"
"M"	"Yes"	2020-11-01	6.1	"5.61-6.63"
"M"	"Yes"	2020-12-01	5.48	"5.04-5.95"
"M"	"Yes"	2021-01-01	6.28	"5.8-6.8"
"M"	"Yes"	2021-02-01	6.11	"5.6-6.67"
"M"	"Yes"	2021-03-01	5.65	"5.17-6.17"
