"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	1.56	"1.45-1.67"
"F"	2019-03-01	1.43	"1.33-1.53"
"F"	2019-04-01	1.56	"1.45-1.68"
"F"	2019-05-01	1.48	"1.37-1.59"
"F"	2019-06-01	1.37	"1.27-1.48"
"F"	2019-07-01	1.44	"1.34-1.55"
"F"	2019-08-01	1.48	"1.38-1.59"
"F"	2019-09-01	1.45	"1.34-1.56"
"F"	2019-10-01	1.51	"1.41-1.62"
"F"	2019-11-01	1.48	"1.37-1.58"
"F"	2019-12-01	1.71	"1.6-1.83"
"F"	2020-01-01	1.5	"1.4-1.61"
"F"	2020-02-01	1.51	"1.41-1.62"
"F"	2020-03-01	1.55	"1.42-1.68"
"F"	2020-04-01	1.77	"1.59-1.98"
"F"	2020-05-01	1.87	"1.7-2.06"
"F"	2020-06-01	1.73	"1.58-1.89"
"F"	2020-07-01	1.63	"1.5-1.76"
"F"	2020-08-01	1.7	"1.57-1.83"
"F"	2020-09-01	1.5	"1.39-1.62"
"F"	2020-10-01	1.51	"1.4-1.63"
"F"	2020-11-01	1.47	"1.35-1.6"
"F"	2020-12-01	1.32	"1.21-1.44"
"F"	2021-01-01	1.42	"1.29-1.56"
"F"	2021-02-01	1.46	"1.34-1.6"
"F"	2021-03-01	1.54	"1.43-1.66"
"M"	2019-02-01	1.74	"1.63-1.85"
"M"	2019-03-01	1.78	"1.67-1.89"
"M"	2019-04-01	1.68	"1.58-1.79"
"M"	2019-05-01	1.73	"1.62-1.84"
"M"	2019-06-01	1.78	"1.67-1.89"
"M"	2019-07-01	1.74	"1.63-1.85"
"M"	2019-08-01	1.76	"1.65-1.87"
"M"	2019-09-01	1.75	"1.64-1.86"
"M"	2019-10-01	1.66	"1.57-1.77"
"M"	2019-11-01	1.82	"1.71-1.93"
"M"	2019-12-01	1.86	"1.75-1.97"
"M"	2020-01-01	1.79	"1.69-1.89"
"M"	2020-02-01	1.68	"1.58-1.79"
"M"	2020-03-01	1.87	"1.75-2"
"M"	2020-04-01	1.95	"1.78-2.15"
"M"	2020-05-01	2.04	"1.88-2.21"
"M"	2020-06-01	1.9	"1.76-2.04"
"M"	2020-07-01	1.85	"1.72-1.98"
"M"	2020-08-01	1.94	"1.82-2.07"
"M"	2020-09-01	1.73	"1.62-1.85"
"M"	2020-10-01	1.73	"1.62-1.85"
"M"	2020-11-01	1.46	"1.35-1.57"
"M"	2020-12-01	1.53	"1.43-1.65"
"M"	2021-01-01	1.55	"1.43-1.68"
"M"	2021-02-01	1.82	"1.69-1.96"
"M"	2021-03-01	1.69	"1.58-1.8"
