"Gender"	"over80"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	"No"	2019-02-01	25.75	"21.92-29.57"	1.25	"1.19-1.31"
"F"	"No"	2019-03-01	19.69	"16.45-22.93"	1.08	"1.03-1.13"
"F"	"No"	2019-04-01	21.56	"18.37-24.76"	1.11	"1.06-1.17"
"F"	"No"	2019-05-01	16.93	"14.13-19.73"	1.05	"1-1.1"
"F"	"No"	2019-06-01	16.41	"13.56-19.26"	1.02	"0.97-1.07"
"F"	"No"	2019-07-01	18.39	"15.4-21.38"	1.02	"0.97-1.07"
"F"	"No"	2019-08-01	19.75	"16.52-22.97"	1.02	"0.97-1.07"
"F"	"No"	2019-09-01	20.06	"16.96-23.17"	1.06	"1.01-1.11"
"F"	"No"	2019-10-01	22.99	"19.65-26.33"	1.06	"1.01-1.11"
"F"	"No"	2019-11-01	25.7	"22.08-29.31"	1.12	"1.07-1.18"
"F"	"No"	2019-12-01	24.36	"20.96-27.75"	1.28	"1.22-1.33"
"F"	"No"	2020-01-01	23.6	"20.33-26.87"	1.25	"1.19-1.3"
"F"	"No"	2020-02-01	22.1	"18.8-25.41"	1.13	"1.08-1.19"
"F"	"No"	2020-03-01	25.34	"21.87-28.82"	1.17	"1.12-1.22"
"F"	"No"	2020-04-01	31.18	"27.46-34.9"	1.11	"1.06-1.16"
"F"	"No"	2020-05-01	17.87	"15.1-20.63"	0.98	"0.93-1.03"
"F"	"No"	2020-06-01	15.38	"12.73-18.02"	1.02	"0.97-1.06"
"F"	"No"	2020-07-01	15.63	"12.9-18.37"	0.98	"0.93-1.02"
"F"	"No"	2020-08-01	16.6	"13.92-19.29"	0.97	"0.92-1.02"
"F"	"No"	2020-09-01	18.26	"15.28-21.24"	1.01	"0.96-1.06"
"F"	"No"	2020-10-01	19.69	"16.67-22.71"	1.03	"0.98-1.07"
"F"	"No"	2020-11-01	17.52	"14.7-20.34"	0.94	"0.89-0.98"
"F"	"No"	2020-12-01	13.91	"11.45-16.38"	0.82	"0.77-0.86"
"F"	"No"	2021-01-01	15.51	"12.98-18.04"	1.07	"1.02-1.11"
"F"	"No"	2021-02-01	13.86	"11.43-16.3"	1.03	"0.98-1.08"
"F"	"No"	2021-03-01	16.73	"14.07-19.39"	0.99	"0.94-1.04"
"F"	"Yes"	2019-02-01	33.73	"31.84-35.62"	6.61	"6.4-6.81"
"F"	"Yes"	2019-03-01	27.18	"25.6-28.77"	5.46	"5.28-5.64"
"F"	"Yes"	2019-04-01	28.44	"26.79-30.1"	5.68	"5.49-5.86"
"F"	"Yes"	2019-05-01	27.53	"25.91-29.15"	5.33	"5.15-5.51"
"F"	"Yes"	2019-06-01	26.15	"24.55-27.75"	4.98	"4.8-5.15"
"F"	"Yes"	2019-07-01	26.47	"24.89-28.05"	4.83	"4.66-4.99"
"F"	"Yes"	2019-08-01	25.62	"24.09-27.15"	4.83	"4.67-5"
"F"	"Yes"	2019-09-01	26.71	"25.11-28.32"	4.94	"4.76-5.11"
"F"	"Yes"	2019-10-01	31.71	"30-33.42"	5.38	"5.2-5.56"
"F"	"Yes"	2019-11-01	32.86	"31.11-34.61"	5.77	"5.59-5.96"
"F"	"Yes"	2019-12-01	36.5	"34.68-38.31"	6.4	"6.21-6.59"
"F"	"Yes"	2020-01-01	33.35	"31.62-35.08"	6.52	"6.33-6.72"
"F"	"Yes"	2020-02-01	33.47	"31.67-35.27"	5.9	"5.71-6.09"
"F"	"Yes"	2020-03-01	31.65	"29.98-33.33"	5.95	"5.77-6.14"
"F"	"Yes"	2020-04-01	48.01	"45.92-50.11"	6.2	"6.01-6.39"
"F"	"Yes"	2020-05-01	29.26	"27.63-30.9"	4.81	"4.64-4.98"
"F"	"Yes"	2020-06-01	23.06	"21.54-24.58"	4.68	"4.52-4.85"
"F"	"Yes"	2020-07-01	23.41	"21.91-24.91"	4.62	"4.45-4.78"
"F"	"Yes"	2020-08-01	25.35	"23.79-26.91"	4.76	"4.59-4.93"
"F"	"Yes"	2020-09-01	24.75	"23.2-26.31"	4.72	"4.56-4.89"
"F"	"Yes"	2020-10-01	28.09	"26.46-29.72"	4.97	"4.8-5.14"
"F"	"Yes"	2020-11-01	26.66	"25.05-28.27"	4.89	"4.72-5.06"
"F"	"Yes"	2020-12-01	20.87	"19.47-22.26"	4.16	"4-4.31"
"F"	"Yes"	2021-01-01	28.25	"26.61-29.89"	5.51	"5.33-5.68"
"F"	"Yes"	2021-02-01	25.4	"23.75-27.04"	5.28	"5.09-5.46"
"F"	"Yes"	2021-03-01	24.56	"23.02-26.1"	5.04	"4.87-5.21"
"M"	"No"	2019-02-01	33.61	"29.35-37.87"	1.84	"1.76-1.91"
"M"	"No"	2019-03-01	26.58	"23.04-30.13"	1.63	"1.56-1.69"
"M"	"No"	2019-04-01	26.68	"23.11-30.26"	1.71	"1.64-1.77"
"M"	"No"	2019-05-01	21.93	"18.67-25.18"	1.54	"1.48-1.6"
"M"	"No"	2019-06-01	29.04	"25.23-32.85"	1.59	"1.52-1.65"
"M"	"No"	2019-07-01	22.25	"19.05-25.45"	1.56	"1.5-1.62"
"M"	"No"	2019-08-01	23.41	"20.18-26.64"	1.5	"1.44-1.56"
"M"	"No"	2019-09-01	27.56	"23.79-31.33"	1.55	"1.49-1.61"
"M"	"No"	2019-10-01	25.34	"21.97-28.7"	1.62	"1.56-1.69"
"M"	"No"	2019-11-01	31.5	"27.63-35.37"	1.77	"1.7-1.84"
"M"	"No"	2019-12-01	35.2	"31.17-39.23"	1.84	"1.78-1.91"
"M"	"No"	2020-01-01	32.77	"29.01-36.53"	1.85	"1.78-1.92"
"M"	"No"	2020-02-01	28.11	"24.49-31.74"	1.71	"1.64-1.77"
"M"	"No"	2020-03-01	30.09	"26.45-33.73"	1.74	"1.67-1.8"
"M"	"No"	2020-04-01	41.32	"37.06-45.58"	1.68	"1.62-1.75"
"M"	"No"	2020-05-01	24.38	"21.02-27.74"	1.47	"1.41-1.53"
"M"	"No"	2020-06-01	20.39	"17.23-23.54"	1.46	"1.4-1.52"
"M"	"No"	2020-07-01	23.45	"20.17-26.74"	1.41	"1.35-1.47"
"M"	"No"	2020-08-01	24.19	"20.84-27.55"	1.48	"1.42-1.54"
"M"	"No"	2020-09-01	21.87	"18.7-25.05"	1.52	"1.46-1.58"
"M"	"No"	2020-10-01	24.74	"21.56-27.92"	1.46	"1.4-1.52"
"M"	"No"	2020-11-01	23.85	"20.51-27.2"	1.38	"1.32-1.44"
"M"	"No"	2020-12-01	18.69	"15.71-21.67"	1.12	"1.07-1.17"
"M"	"No"	2021-01-01	23.12	"19.94-26.3"	1.62	"1.56-1.68"
"M"	"No"	2021-02-01	21.6	"18.32-24.88"	1.43	"1.36-1.49"
"M"	"No"	2021-03-01	19.2	"16.4-22"	1.42	"1.36-1.48"
"M"	"Yes"	2019-02-01	53.45	"50-56.9"	8.56	"8.26-8.85"
"M"	"Yes"	2019-03-01	42.18	"39.21-45.15"	7.34	"7.08-7.6"
"M"	"Yes"	2019-04-01	46.5	"43.36-49.64"	7.8	"7.53-8.07"
"M"	"Yes"	2019-05-01	43.88	"40.88-46.87"	7.09	"6.84-7.35"
"M"	"Yes"	2019-06-01	44.03	"40.97-47.09"	6.44	"6.19-6.69"
"M"	"Yes"	2019-07-01	39.35	"36.57-42.14"	6.59	"6.34-6.83"
"M"	"Yes"	2019-08-01	42.44	"39.51-45.36"	6.4	"6.16-6.64"
"M"	"Yes"	2019-09-01	42.59	"39.65-45.53"	6.71	"6.46-6.96"
"M"	"Yes"	2019-10-01	49.41	"46.29-52.53"	7.19	"6.93-7.44"
"M"	"Yes"	2019-11-01	53.34	"50.08-56.6"	7.94	"7.67-8.21"
"M"	"Yes"	2019-12-01	55.88	"52.57-59.2"	8.64	"8.37-8.92"
"M"	"Yes"	2020-01-01	56.29	"52.96-59.62"	8.47	"8.2-8.75"
"M"	"Yes"	2020-02-01	52.35	"49.06-55.65"	7.96	"7.68-8.24"
"M"	"Yes"	2020-03-01	56.02	"52.71-59.34"	8.15	"7.88-8.43"
"M"	"Yes"	2020-04-01	73.9	"70.08-77.73"	7.94	"7.67-8.22"
"M"	"Yes"	2020-05-01	41.83	"38.88-44.79"	6.52	"6.27-6.76"
"M"	"Yes"	2020-06-01	34.67	"31.89-37.44"	6.12	"5.89-6.36"
"M"	"Yes"	2020-07-01	34.87	"32.07-37.67"	6.04	"5.8-6.27"
"M"	"Yes"	2020-08-01	40.8	"37.86-43.75"	6.14	"5.91-6.38"
"M"	"Yes"	2020-09-01	42.25	"39.2-45.29"	6.49	"6.25-6.74"
"M"	"Yes"	2020-10-01	45	"41.93-48.06"	6.72	"6.48-6.97"
"M"	"Yes"	2020-11-01	40.49	"37.53-43.45"	6.42	"6.18-6.67"
"M"	"Yes"	2020-12-01	31.3	"28.78-33.82"	5.45	"5.24-5.67"
"M"	"Yes"	2021-01-01	45.45	"42.32-48.58"	7.22	"6.97-7.48"
"M"	"Yes"	2021-02-01	40.7	"37.57-43.84"	6.78	"6.52-7.04"
"M"	"Yes"	2021-03-01	36.17	"33.34-38.99"	6.5	"6.26-6.74"
