"Gender"	"Date"	"Care_Home_Standardised_Rate"	"Care_Home_Confidence_Interval"	"Nursing_Home_Standardised_Rate"	"Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-03-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-04-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-05-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-06-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-07-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-08-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-09-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-10-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-11-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2019-12-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2020-01-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2020-02-01	0	"0-0"	0	"0-0"	0	"0-0"
"F"	2020-03-01	0.9	"0.04-1.77"	1.7	"0.68-2.72"	0.14	"0.12-0.15"
"F"	2020-04-01	17.83	"14.79-20.88"	30.47	"26.63-34.32"	0.98	"0.94-1.02"
"F"	2020-05-01	8.54	"6.71-10.38"	17.24	"14.33-20.14"	0.44	"0.41-0.46"
"F"	2020-06-01	2.23	"1.19-3.26"	4.14	"2.56-5.72"	0.15	"0.13-0.16"
"F"	2020-07-01	1.34	"0.35-2.34"	1.74	"0.83-2.65"	0.04	"0.03-0.05"
"F"	2020-08-01	0.21	"-0.08-0.49"	0.57	"0.15-1"	0.02	"0.01-0.02"
"F"	2020-09-01	0.18	"-0.11-0.46"	0.62	"0.15-1.09"	0.03	"0.02-0.03"
"F"	2020-10-01	1.83	"1.07-2.58"	2.63	"1.41-3.85"	0.18	"0.17-0.2"
"F"	2020-11-01	6.68	"5.02-8.33"	6.3	"4.73-7.88"	0.51	"0.48-0.54"
"F"	2020-12-01	5.94	"4.58-7.29"	6.59	"4.84-8.34"	0.49	"0.46-0.51"
"F"	2021-01-01	17.76	"15.12-20.41"	18.36	"15.48-21.25"	1.42	"1.38-1.47"
"F"	2021-02-01	6.29	"4.93-7.64"	8.98	"7.06-10.9"	0.75	"0.71-0.78"
"F"	2021-03-01	1.54	"0.87-2.21"	1.93	"1.01-2.86"	0.19	"0.18-0.21"
"M"	2019-02-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-03-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-04-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-05-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-06-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-07-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-08-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-09-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-10-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-11-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2019-12-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2020-01-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2020-02-01	0	"0-0"	0	"0-0"	0	"0-0"
"M"	2020-03-01	1.22	"0.59-1.85"	3.51	"2.14-4.88"	0.33	"0.31-0.36"
"M"	2020-04-01	34.54	"30.34-38.74"	53.28	"48.64-57.92"	1.93	"1.86-1.99"
"M"	2020-05-01	14.84	"12.14-17.55"	31.56	"28.06-35.05"	0.64	"0.6-0.68"
"M"	2020-06-01	3.05	"1.91-4.19"	6.18	"4.68-7.67"	0.23	"0.21-0.26"
"M"	2020-07-01	0.95	"0.43-1.48"	1.39	"0.61-2.17"	0.06	"0.05-0.07"
"M"	2020-08-01	0.77	"-0.04-1.58"	0.52	"0.19-0.86"	0.02	"0.02-0.03"
"M"	2020-09-01	0.32	"0.13-0.5"	0.52	"0.18-0.87"	0.05	"0.04-0.06"
"M"	2020-10-01	3.41	"2.1-4.71"	4.33	"2.81-5.85"	0.37	"0.34-0.4"
"M"	2020-11-01	11.44	"9.07-13.82"	12.45	"10.16-14.74"	0.99	"0.94-1.04"
"M"	2020-12-01	11.54	"9.34-13.74"	11.61	"9.75-13.47"	0.88	"0.84-0.92"
"M"	2021-01-01	28.18	"24.85-31.51"	31.87	"28.38-35.36"	2.3	"2.23-2.37"
"M"	2021-02-01	13.2	"10.63-15.76"	14.19	"11.69-16.69"	1.23	"1.17-1.28"
"M"	2021-03-01	1.9	"1.16-2.64"	2.79	"1.92-3.66"	0.28	"0.26-0.31"
