"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01		"NaN-NaN"
"F"	2019-03-01		"NaN-NaN"
"F"	2019-04-01		"NaN-NaN"
"F"	2019-05-01		"NaN-NaN"
"F"	2019-06-01		"NaN-NaN"
"F"	2019-07-01		"NaN-NaN"
"F"	2019-08-01		"NaN-NaN"
"F"	2019-09-01		"NaN-NaN"
"F"	2019-10-01		"NaN-NaN"
"F"	2019-11-01		"NaN-NaN"
"F"	2019-12-01		"NaN-NaN"
"F"	2020-01-01		"NaN-NaN"
"F"	2020-02-01		"NaN-NaN"
"F"	2020-03-01	9.92	"6.54-15.05"
"F"	2020-04-01	25.6	"23.28-28.15"
"F"	2020-05-01	32.5	"28.55-36.99"
"F"	2020-06-01	23.07	"17.79-29.9"
"F"	2020-07-01	30.02	"19.25-46.82"
"F"	2020-08-01	26.99	"13.91-52.37"
"F"	2020-09-01	15.98	"8.73-29.24"
"F"	2020-10-01	11.35	"8.47-15.2"
"F"	2020-11-01	12.4	"10.6-14.51"
"F"	2020-12-01	12.68	"10.86-14.82"
"F"	2021-01-01	12.95	"11.8-14.2"
"F"	2021-02-01	10.56	"9.2-12.12"
"F"	2021-03-01	10.32	"7.71-13.83"
"M"	2019-02-01		"NaN-NaN"
"M"	2019-03-01		"NaN-NaN"
"M"	2019-04-01		"NaN-NaN"
"M"	2019-05-01		"NaN-NaN"
"M"	2019-06-01		"NaN-NaN"
"M"	2019-07-01		"NaN-NaN"
"M"	2019-08-01		"NaN-NaN"
"M"	2019-09-01		"NaN-NaN"
"M"	2019-10-01		"NaN-NaN"
"M"	2019-11-01		"NaN-NaN"
"M"	2019-12-01		"NaN-NaN"
"M"	2020-01-01		"NaN-NaN"
"M"	2020-02-01		"NaN-NaN"
"M"	2020-03-01	7.02	"5.31-9.27"
"M"	2020-04-01	22.27	"20.76-23.89"
"M"	2020-05-01	36.13	"32.58-40.07"
"M"	2020-06-01	19.33	"15.81-23.63"
"M"	2020-07-01	20.58	"13.84-30.59"
"M"	2020-08-01	24.39	"13.15-45.25"
"M"	2020-09-01	9.1	"5.72-14.49"
"M"	2020-10-01	8.55	"6.78-10.79"
"M"	2020-11-01	10.44	"9.23-11.81"
"M"	2020-12-01	12.19	"10.85-13.71"
"M"	2021-01-01	12.18	"11.3-13.13"
"M"	2021-02-01	11.05	"9.83-12.42"
"M"	2021-03-01	9.73	"7.66-12.37"
