"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	9.52	"8.7-10.41"
"F"	2019-03-01	8.73	"7.93-9.61"
"F"	2019-04-01	9.15	"8.35-10.03"
"F"	2019-05-01	8.77	"7.98-9.63"
"F"	2019-06-01	8.8	"7.97-9.72"
"F"	2019-07-01	9.1	"8.26-10.03"
"F"	2019-08-01	9.77	"8.85-10.79"
"F"	2019-09-01	9.78	"8.88-10.77"
"F"	2019-10-01	10.61	"9.72-11.59"
"F"	2019-11-01	11.02	"10.11-12.01"
"F"	2019-12-01	9.74	"8.97-10.57"
"F"	2020-01-01	9.6	"8.83-10.43"
"F"	2020-02-01	9.72	"8.91-10.61"
"F"	2020-03-01	10.35	"9.51-11.28"
"F"	2020-04-01	14.19	"13.19-15.25"
"F"	2020-05-01	10.32	"9.45-11.28"
"F"	2020-06-01	8.2	"7.43-9.06"
"F"	2020-07-01	8.67	"7.83-9.59"
"F"	2020-08-01	8.92	"8.11-9.8"
"F"	2020-09-01	9.34	"8.46-10.3"
"F"	2020-10-01	10.18	"9.3-11.14"
"F"	2020-11-01	9.27	"8.44-10.18"
"F"	2020-12-01	8.77	"7.93-9.7"
"F"	2021-01-01	7.95	"7.28-8.69"
"F"	2021-02-01	7.78	"7.08-8.55"
"F"	2021-03-01	8.38	"7.63-9.2"
"M"	2019-02-01	9.5	"8.79-10.26"
"M"	2019-03-01	8.7	"8.02-9.44"
"M"	2019-04-01	8.93	"8.25-9.67"
"M"	2019-05-01	8.48	"7.81-9.21"
"M"	2019-06-01	9.9	"9.13-10.75"
"M"	2019-07-01	8.05	"7.41-8.76"
"M"	2019-08-01	9.07	"8.36-9.83"
"M"	2019-09-01	9.4	"8.65-10.22"
"M"	2019-10-01	9.43	"8.74-10.18"
"M"	2019-11-01	9.8	"9.1-10.54"
"M"	2019-12-01	9.95	"9.28-10.68"
"M"	2020-01-01	9.76	"9.1-10.47"
"M"	2020-02-01	9.22	"8.55-9.95"
"M"	2020-03-01	9.79	"9.12-10.51"
"M"	2020-04-01	13.56	"12.72-14.45"
"M"	2020-05-01	9.3	"8.57-10.09"
"M"	2020-06-01	7.95	"7.26-8.71"
"M"	2020-07-01	9.16	"8.4-9.99"
"M"	2020-08-01	9.26	"8.53-10.06"
"M"	2020-09-01	8.69	"8-9.44"
"M"	2020-10-01	9.7	"8.99-10.47"
"M"	2020-11-01	9.13	"8.4-9.92"
"M"	2020-12-01	8.7	"7.94-9.54"
"M"	2021-01-01	8.47	"7.84-9.15"
"M"	2021-02-01	8.22	"7.53-8.97"
"M"	2021-03-01	7.97	"7.33-8.67"
