"Gender"	"over80"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	"No"	2020-03-01	1.31	"0.4-2.23"	0.08	"0.07-0.1"
"F"	"No"	2020-04-01	22.94	"19.68-26.21"	0.47	"0.43-0.5"
"F"	"No"	2020-05-01	12.16	"9.75-14.56"	0.17	"0.15-0.19"
"F"	"No"	2020-06-01	2.99	"1.72-4.26"	0.06	"0.05-0.07"
"F"	"No"	2020-07-01	1.69	"0.8-2.58"	0.02	"0.02-0.03"
"F"	"No"	2020-08-01	0.37	"0.03-0.7"	0.01	"0-0.01"
"F"	"No"	2020-09-01	0.41	"0.04-0.78"	0.01	"0.01-0.02"
"F"	"No"	2020-10-01	2.09	"1.08-3.1"	0.1	"0.08-0.11"
"F"	"No"	2020-11-01	5.73	"4.26-7.21"	0.23	"0.21-0.26"
"F"	"No"	2020-12-01	6.9	"5.2-8.59"	0.31	"0.28-0.34"
"F"	"No"	2021-01-01	15.22	"12.65-17.79"	0.66	"0.62-0.69"
"F"	"Yes"	2020-03-01	1.38	"1-1.76"	0.3	"0.26-0.35"
"F"	"Yes"	2020-04-01	27.69	"26-29.38"	2.49	"2.36-2.61"
"F"	"Yes"	2020-05-01	16.96	"15.63-18.28"	1.26	"1.17-1.35"
"F"	"Yes"	2020-06-01	3.97	"3.29-4.64"	0.4	"0.35-0.44"
"F"	"Yes"	2020-07-01	1.15	"0.78-1.52"	0.09	"0.07-0.11"
"F"	"Yes"	2020-08-01	0.44	"0.25-0.64"	0.04	"0.02-0.06"
"F"	"Yes"	2020-09-01	0.46	"0.26-0.65"	0.07	"0.05-0.09"
"F"	"Yes"	2020-10-01	2.75	"2.2-3.29"	0.46	"0.41-0.51"
"F"	"Yes"	2020-11-01	9	"8.05-9.96"	1.34	"1.25-1.43"
"F"	"Yes"	2020-12-01	12.29	"11.16-13.43"	1.64	"1.54-1.74"
"F"	"Yes"	2021-01-01	26.67	"25.05-28.3"	3.54	"3.4-3.69"
"M"	"No"	2020-03-01	2.49	"1.39-3.58"	0.2	"0.18-0.22"
"M"	"No"	2020-04-01	39.05	"34.95-43.15"	0.98	"0.93-1.03"
"M"	"No"	2020-05-01	20.07	"17.14-22.99"	0.27	"0.25-0.3"
"M"	"No"	2020-06-01	3.31	"2.15-4.48"	0.09	"0.08-0.11"
"M"	"No"	2020-07-01	1.1	"0.35-1.85"	0.04	"0.03-0.04"
"M"	"No"	2020-08-01	0.57	"0.04-1.09"	0.02	"0.01-0.02"
"M"	"No"	2020-09-01	0.19	"-0.02-0.4"	0.03	"0.02-0.04"
"M"	"No"	2020-10-01	3.61	"2.27-4.95"	0.21	"0.19-0.24"
"M"	"No"	2020-11-01	9.54	"7.48-11.6"	0.49	"0.46-0.53"
"M"	"No"	2020-12-01	11.32	"9.25-13.4"	0.55	"0.52-0.59"
"M"	"No"	2021-01-01	24.88	"21.71-28.06"	1.1	"1.05-1.15"
"M"	"Yes"	2020-03-01	2.97	"2.15-3.78"	0.77	"0.68-0.85"
"M"	"Yes"	2020-04-01	62.31	"58.69-65.93"	4.67	"4.46-4.87"
"M"	"Yes"	2020-05-01	36.5	"33.58-39.41"	1.79	"1.66-1.92"
"M"	"Yes"	2020-06-01	8.78	"7.29-10.27"	0.64	"0.56-0.71"
"M"	"Yes"	2020-07-01	2.23	"1.49-2.96"	0.13	"0.1-0.17"
"M"	"Yes"	2020-08-01	0.82	"0.38-1.26"	0.05	"0.03-0.07"
"M"	"Yes"	2020-09-01	1.12	"0.62-1.62"	0.12	"0.08-0.15"
"M"	"Yes"	2020-10-01	5.04	"3.98-6.1"	0.88	"0.79-0.97"
"M"	"Yes"	2020-11-01	18.96	"16.89-21.03"	2.44	"2.29-2.59"
"M"	"Yes"	2020-12-01	27.25	"24.77-29.74"	2.97	"2.8-3.13"
"M"	"Yes"	2021-01-01	47.08	"43.87-50.3"	5.58	"5.35-5.8"
