"Time_Period"	"Cause_of_Death"	"Percentage"	"Count"
2019-02-01	"Respiratory Disease"	12.54	445
2019-02-01	"Dementia"	20.04	711
2019-02-01	"Cardiovascular Disease"	17.76	630
2019-02-01	"Cancer"	11.75	417
2019-02-01	"Other"	37.91	1345
2019-03-01	"Respiratory Disease"	11.79	375
2019-03-01	"Dementia"	19.25	612
2019-03-01	"Cardiovascular Disease"	18.84	599
2019-03-01	"Cancer"	11.29	359
2019-03-01	"Other"	38.84	1235
2019-04-01	"Respiratory Disease"	12.02	393
2019-04-01	"Dementia"	18.84	616
2019-04-01	"Cardiovascular Disease"	18.94	619
2019-04-01	"Cancer"	12.88	421
2019-04-01	"Other"	37.32	1220
2019-05-01	"Respiratory Disease"	11.21	357
2019-05-01	"Dementia"	18.46	588
2019-05-01	"Cardiovascular Disease"	19.47	620
2019-05-01	"Cancer"	12.03	383
2019-05-01	"Other"	38.84	1237
2019-06-01	"Respiratory Disease"	9.7	295
2019-06-01	"Dementia"	17.79	541
2019-06-01	"Cardiovascular Disease"	19.89	605
2019-06-01	"Cancer"	14.93	454
2019-06-01	"Other"	37.68	1146
2019-07-01	"Respiratory Disease"	9.53	294
2019-07-01	"Dementia"	17.37	536
2019-07-01	"Cardiovascular Disease"	19.84	612
2019-07-01	"Cancer"	13.35	412
2019-07-01	"Other"	39.9	1231
2019-08-01	"Respiratory Disease"	7.83	245
2019-08-01	"Dementia"	17.42	545
2019-08-01	"Cardiovascular Disease"	20.45	640
2019-08-01	"Cancer"	16.24	508
2019-08-01	"Other"	38.06	1191
2019-09-01	"Respiratory Disease"	9.87	310
2019-09-01	"Dementia"	17.1	537
2019-09-01	"Cardiovascular Disease"	20.03	629
2019-09-01	"Cancer"	13.85	435
2019-09-01	"Other"	39.16	1230
2019-10-01	"Respiratory Disease"	10.44	395
2019-10-01	"Dementia"	18.86	714
2019-10-01	"Cardiovascular Disease"	18.2	689
2019-10-01	"Cancer"	12.26	464
2019-10-01	"Other"	40.24	1523
2019-11-01	"Respiratory Disease"	11.45	455
2019-11-01	"Dementia"	18.19	723
2019-11-01	"Cardiovascular Disease"	18.34	729
2019-11-01	"Cancer"	13.01	517
2019-11-01	"Other"	39	1550
2019-12-01	"Respiratory Disease"	12.92	570
2019-12-01	"Dementia"	19.83	875
2019-12-01	"Cardiovascular Disease"	16.68	736
2019-12-01	"Cancer"	11.76	519
2019-12-01	"Other"	38.8	1712
2020-01-01	"Respiratory Disease"	12.89	545
2020-01-01	"Dementia"	19.45	822
2020-01-01	"Cardiovascular Disease"	16.94	716
2020-01-01	"Cancer"	10.48	443
2020-01-01	"Other"	40.24	1701
2020-02-01	"Respiratory Disease"	11.16	422
2020-02-01	"Dementia"	18.46	698
2020-02-01	"Cardiovascular Disease"	18.48	699
2020-02-01	"Cancer"	12.9	488
2020-02-01	"Other"	39	1475
2020-03-01	"Respiratory Disease"	11.47	468
2020-03-01	"Dementia"	19.07	778
2020-03-01	"Cardiovascular Disease"	17.13	699
2020-03-01	"Cancer"	11.84	483
2020-03-01	"Other"	40.49	1652
2020-04-01	"Respiratory Disease"	10	558
2020-04-01	"Dementia"	19.64	1096
2020-04-01	"Cardiovascular Disease"	16.34	912
2020-04-01	"Cancer"	8.98	501
2020-04-01	"Other"	45.05	2514
2020-05-01	"Respiratory Disease"	8.26	277
2020-05-01	"Dementia"	19.33	648
2020-05-01	"Cardiovascular Disease"	18.52	621
2020-05-01	"Cancer"	11.57	388
2020-05-01	"Other"	42.32	1419
2020-06-01	"Respiratory Disease"	8.19	206
2020-06-01	"Dementia"	16.95	426
2020-06-01	"Cardiovascular Disease"	20.49	515
2020-06-01	"Cancer"	12.61	317
2020-06-01	"Other"	41.77	1050
2020-07-01	"Respiratory Disease"	7.34	194
2020-07-01	"Dementia"	16	423
2020-07-01	"Cardiovascular Disease"	21.19	560
2020-07-01	"Cancer"	13.77	364
2020-07-01	"Other"	41.7	1102
2020-08-01	"Respiratory Disease"	7.2	212
2020-08-01	"Dementia"	17.39	512
2020-08-01	"Cardiovascular Disease"	21.84	643
2020-08-01	"Cancer"	13.11	386
2020-08-01	"Other"	40.46	1191
2020-09-01	"Respiratory Disease"	7.33	211
2020-09-01	"Dementia"	16.57	477
2020-09-01	"Cardiovascular Disease"	20.77	598
2020-09-01	"Cancer"	12.23	352
2020-09-01	"Other"	43.11	1241
2020-10-01	"Respiratory Disease"	9.13	302
2020-10-01	"Dementia"	17.54	580
2020-10-01	"Cardiovascular Disease"	18.42	609
2020-10-01	"Cancer"	11.98	396
2020-10-01	"Other"	42.92	1419
2020-11-01	"Respiratory Disease"	7.55	227
2020-11-01	"Dementia"	18.18	547
2020-11-01	"Cardiovascular Disease"	19.35	582
2020-11-01	"Cancer"	12.03	362
2020-11-01	"Other"	42.89	1290
2020-12-01	"Respiratory Disease"	7.09	176
2020-12-01	"Dementia"	19.65	488
2020-12-01	"Cardiovascular Disease"	18.6	462
2020-12-01	"Cancer"	12.32	306
2020-12-01	"Other"	42.35	1052
2021-01-01	"Respiratory Disease"	7.87	256
2021-01-01	"Dementia"	17.28	562
2021-01-01	"Cardiovascular Disease"	18.63	606
2021-01-01	"Cancer"	11.71	381
2021-01-01	"Other"	44.51	1448
2021-02-01	"Respiratory Disease"	7.84	204
2021-02-01	"Dementia"	17.17	447
2021-02-01	"Cardiovascular Disease"	20.71	539
2021-02-01	"Cancer"	11.64	303
2021-02-01	"Other"	42.64	1110
2021-03-01	"Respiratory Disease"	7.68	210
2021-03-01	"Dementia"	16.96	464
2021-03-01	"Cardiovascular Disease"	19.99	547
2021-03-01	"Cancer"	11.4	312
2021-03-01	"Other"	43.97	1203
