"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01	661	9578	73.94	"68.69-79.57"	78180	2354058	35.58	"35.34-35.83"
"65-74"	2019-03-01	687	9586	69.36	"64.52-74.52"	83004	2354502	34.12	"33.89-34.34"
"65-74"	2019-04-01	669	9611	69.61	"64.69-74.87"	79918	2354321	33.95	"33.71-34.18"
"65-74"	2019-05-01	675	9646	67.72	"62.96-72.81"	82511	2355810	33.89	"33.67-34.12"
"65-74"	2019-06-01	663	9757	67.95	"63.13-73.12"	79882	2356276	33.9	"33.67-34.13"
"65-74"	2019-07-01	722	9811	71.22	"66.38-76.38"	86064	2356577	35.34	"35.11-35.58"
"65-74"	2019-08-01	707	9929	68.91	"64.17-73.97"	79628	2358366	32.67	"32.45-32.9"
"65-74"	2019-09-01	697	10005	69.67	"64.84-74.82"	79615	2359740	33.74	"33.51-33.97"
"65-74"	2019-10-01	714	10012	69.01	"64.29-74.05"	87202	2359824	35.76	"35.53-35.99"
"65-74"	2019-11-01	739	10114	73.07	"68.16-78.3"	84050	2360599	35.61	"35.37-35.84"
"65-74"	2019-12-01	762	10099	73.02	"68.19-78.16"	77715	2361157	31.85	"31.63-32.07"
"65-74"	2020-01-01	770	10142	73.47	"68.64-78.62"	85570	2362671	35.05	"34.82-35.28"
"65-74"	2020-02-01	681	10215	68.97	"64.13-74.14"	79297	2363592	34.71	"34.47-34.94"
"65-74"	2020-03-01	657	10349	61.44	"57.05-66.14"	64923	2367325	26.54	"26.34-26.74"
"65-74"	2020-04-01	637	10392	61.3	"56.85-66.07"	30318	2369480	12.8	"12.65-12.94"
"65-74"	2020-05-01	543	10136	51.84	"47.76-56.25"	36951	2369977	15.09	"14.94-15.24"
"65-74"	2020-06-01	512	10027	51.06	"46.92-55.55"	47185	2371772	19.89	"19.72-20.07"
"65-74"	2020-07-01	582	10153	55.47	"51.26-60.01"	57273	2373489	23.35	"23.16-23.54"
"65-74"	2020-08-01	614	10375	57.27	"53.03-61.83"	59260	2376068	24.14	"23.94-24.33"
"65-74"	2020-09-01	614	10437	58.83	"54.48-63.51"	66679	2377926	28.04	"27.83-28.25"
"65-74"	2020-10-01	688	10481	63.53	"59.09-68.27"	70791	2379759	28.79	"28.58-29"
"65-74"	2020-11-01	647	10542	61.37	"56.95-66.12"	67956	2381486	28.54	"28.32-28.75"
"65-74"	2020-12-01	670	10550	61.46	"57.11-66.12"	64142	2382017	26.06	"25.86-26.26"
"65-74"	2021-01-01	692	10551	63.47	"59.05-68.2"	58571	2384622	23.77	"23.58-23.96"
"65-74"	2021-02-01	635	10415	65.32	"60.57-70.42"	57650	2385699	25.89	"25.68-26.1"
"65-74"	2021-03-01	650	10440	60.25	"55.92-64.9"	71905	2386063	29.16	"28.95-29.37"
"75-79"	2019-02-01	654	10077	69.54	"64.56-74.87"	36225	789762	49.14	"48.65-49.64"
"75-79"	2019-03-01	734	10079	70.48	"65.72-75.54"	38989	794227	47.51	"47.05-47.97"
"75-79"	2019-04-01	720	10143	70.98	"66.15-76.15"	38035	798291	47.65	"47.18-48.11"
"75-79"	2019-05-01	745	10193	70.73	"66-75.78"	39553	802968	47.67	"47.21-48.13"
"75-79"	2019-06-01	670	10321	64.92	"60.32-69.83"	38126	807408	47.22	"46.76-47.69"
"75-79"	2019-07-01	755	10438	70	"65.34-74.96"	41165	811618	49.08	"48.62-49.55"
"75-79"	2019-08-01	699	10549	64.12	"59.68-68.87"	38358	814633	45.57	"45.12-46.01"
"75-79"	2019-09-01	726	10663	68.09	"63.46-73.02"	38682	818155	47.28	"46.82-47.74"
"75-79"	2019-10-01	812	10675	73.61	"68.89-78.63"	41569	821989	48.94	"48.48-49.4"
"75-79"	2019-11-01	785	10816	72.58	"67.84-77.62"	40456	825876	48.99	"48.52-49.45"
"75-79"	2019-12-01	827	10805	74.07	"69.36-79.07"	38418	830754	44.75	"44.32-45.19"
"75-79"	2020-01-01	818	10785	73.4	"68.71-78.38"	41767	833155	48.51	"48.06-48.97"
"75-79"	2020-02-01	740	10863	70.47	"65.73-75.53"	38677	834517	47.94	"47.48-48.41"
"75-79"	2020-03-01	685	10922	60.69	"56.44-65.25"	31370	836017	36.31	"35.92-36.71"
"75-79"	2020-04-01	672	11008	61.05	"56.73-65.67"	15377	837081	18.37	"18.08-18.66"
"75-79"	2020-05-01	544	10486	50.21	"46.25-54.47"	18647	838417	21.52	"21.22-21.83"
"75-79"	2020-06-01	515	10245	50.27	"46.2-54.67"	23760	841298	28.24	"27.89-28.6"
"75-79"	2020-07-01	570	10432	52.88	"48.81-57.26"	28735	843878	32.95	"32.58-33.33"
"75-79"	2020-08-01	640	10635	58.24	"54.02-62.77"	30247	846641	34.57	"34.19-34.96"
"75-79"	2020-09-01	632	10743	58.83	"54.54-63.44"	33661	848193	39.69	"39.27-40.1"
"75-79"	2020-10-01	722	10881	64.21	"59.83-68.89"	35558	850699	40.45	"40.04-40.86"
"75-79"	2020-11-01	655	10989	59.61	"55.33-64.19"	33665	854441	39.4	"38.99-39.81"
"75-79"	2020-12-01	657	10960	58.01	"53.86-62.46"	32692	857153	36.91	"36.52-37.3"
"75-79"	2021-01-01	711	10898	63.14	"58.8-67.77"	28784	860044	32.39	"32.02-32.76"
"75-79"	2021-02-01	555	10816	54.98	"50.69-59.61"	29488	861894	36.66	"36.25-37.07"
"75-79"	2021-03-01	728	10837	65.01	"60.6-69.72"	36073	865811	40.32	"39.91-40.73"
"80-84"	2019-02-01	1238	17541	75.62	"71.66-79.78"	31067	580377	57.35	"56.74-57.98"
"80-84"	2019-03-01	1249	17563	68.82	"65.23-72.59"	33317	581608	55.44	"54.86-56.02"
"80-84"	2019-04-01	1241	17562	70.66	"66.97-74.55"	32789	583123	56.23	"55.64-56.82"
"80-84"	2019-05-01	1184	17661	64.88	"61.4-68.54"	33667	585079	55.69	"55.11-56.27"
"80-84"	2019-06-01	1201	17920	67.02	"63.45-70.77"	32442	586571	55.31	"54.73-55.9"
"80-84"	2019-07-01	1257	17940	67.81	"64.28-71.51"	35150	588110	57.84	"57.26-58.43"
"80-84"	2019-08-01	1235	18128	65.93	"62.47-69.57"	32707	589400	53.7	"53.14-54.27"
"80-84"	2019-09-01	1167	18251	63.94	"60.48-67.58"	32742	590816	55.42	"54.84-56"
"80-84"	2019-10-01	1339	18224	71.1	"67.52-74.86"	35414	591329	57.96	"57.37-58.54"
"80-84"	2019-11-01	1362	18267	74.56	"70.84-78.46"	34157	591606	57.74	"57.14-58.33"
"80-84"	2019-12-01	1352	18180	71.97	"68.36-75.75"	32570	592129	53.23	"52.67-53.8"
"80-84"	2020-01-01	1348	18117	72.01	"68.39-75.79"	34714	592584	56.69	"56.12-57.27"
"80-84"	2020-02-01	1236	18332	69.75	"66.09-73.6"	31992	593149	55.8	"55.2-56.39"
"80-84"	2020-03-01	1064	18411	55.93	"52.75-59.28"	25862	594164	42.12	"41.62-42.63"
"80-84"	2020-04-01	995	18508	53.76	"50.6-57.1"	13874	594306	23.34	"22.96-23.73"
"80-84"	2020-05-01	918	17495	50.78	"47.68-54.07"	16919	593421	27.59	"27.18-28"
"80-84"	2020-06-01	849	17061	49.76	"46.6-53.13"	20366	592413	34.38	"33.92-34.85"
"80-84"	2020-07-01	915	17150	51.63	"48.47-54.98"	24519	592254	40.06	"39.58-40.56"
"80-84"	2020-08-01	1064	17562	58.63	"55.31-62.14"	25647	592728	41.87	"41.38-42.38"
"80-84"	2020-09-01	1018	17629	57.75	"54.4-61.29"	28141	594035	47.37	"46.84-47.92"
"80-84"	2020-10-01	1100	17712	60.1	"56.75-63.63"	29114	593975	47.43	"46.91-47.97"
"80-84"	2020-11-01	1078	17791	60.59	"57.18-64.19"	27732	593239	46.75	"46.21-47.29"
"80-84"	2020-12-01	1031	17606	56.67	"53.41-60.12"	26576	592879	43.38	"42.87-43.89"
"80-84"	2021-01-01	1105	17475	61.19	"57.79-64.78"	23759	592839	38.78	"38.3-39.27"
