"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2020-03-01	1.33	"0.64-2.02"	0.14	"0.13-0.16"
"F"	2020-04-01	24.16	"21.69-26.62"	0.98	"0.94-1.02"
"F"	2020-05-01	13.39	"11.56-15.21"	0.45	"0.42-0.47"
"F"	2020-06-01	3.24	"2.28-4.2"	0.15	"0.13-0.16"
"F"	2020-07-01	1.55	"0.88-2.22"	0.04	"0.03-0.05"
"F"	2020-08-01	0.39	"0.13-0.64"	0.02	"0.01-0.02"
"F"	2020-09-01	0.42	"0.14-0.7"	0.03	"0.02-0.03"
"F"	2020-10-01	2.26	"1.49-3.02"	0.19	"0.17-0.21"
"F"	2020-11-01	6.57	"5.45-7.7"	0.52	"0.49-0.55"
"F"	2020-12-01	8.28	"6.99-9.58"	0.65	"0.62-0.68"
"F"	2021-01-01	18.16	"16.2-20.11"	1.4	"1.35-1.44"
"M"	2020-03-01	2.61	"1.77-3.45"	0.35	"0.32-0.37"
"M"	2020-04-01	45.02	"41.83-48.2"	1.93	"1.86-1.99"
"M"	2020-05-01	24.28	"21.98-26.58"	0.66	"0.62-0.7"
"M"	2020-06-01	4.72	"3.77-5.66"	0.23	"0.21-0.26"
"M"	2020-07-01	1.39	"0.8-1.97"	0.06	"0.05-0.07"
"M"	2020-08-01	0.63	"0.23-1.04"	0.02	"0.02-0.03"
"M"	2020-09-01	0.43	"0.22-0.63"	0.05	"0.04-0.06"
"M"	2020-10-01	3.98	"2.95-5.01"	0.38	"0.35-0.41"
"M"	2020-11-01	11.95	"10.33-13.58"	0.99	"0.94-1.04"
"M"	2020-12-01	15.41	"13.74-17.08"	1.17	"1.12-1.22"
"M"	2021-01-01	30.58	"28.08-33.08"	2.25	"2.18-2.32"
