"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	65.3	"60.7-69.89"	41.98	"41.71-42.25"
"F"	2019-03-01	57.96	"53.96-61.96"	40.66	"40.4-40.91"
"F"	2019-04-01	64.04	"59.64-68.44"	41	"40.75-41.26"
"F"	2019-05-01	60.04	"55.86-64.23"	40.67	"40.41-40.92"
"F"	2019-06-01	55.76	"51.7-59.83"	40.74	"40.49-41"
"F"	2019-07-01	60.59	"56.39-64.79"	42.1	"41.85-42.36"
"F"	2019-08-01	58.22	"54.12-62.32"	39.22	"38.97-39.47"
"F"	2019-09-01	58.63	"54.44-62.82"	40.53	"40.27-40.78"
"F"	2019-10-01	64.25	"60.01-68.48"	42.48	"42.23-42.74"
"F"	2019-11-01	62.67	"58.38-66.95"	42.48	"42.22-42.74"
"F"	2019-12-01	65.89	"61.58-70.19"	38.59	"38.34-38.83"
"F"	2020-01-01	63.57	"59.34-67.79"	42.02	"41.77-42.27"
"F"	2020-02-01	62.35	"58.01-66.68"	41.27	"41.01-41.53"
"F"	2020-03-01	50.12	"46.35-53.9"	30.88	"30.66-31.09"
"F"	2020-04-01	47.99	"44.21-51.76"	15.86	"15.7-16.02"
"F"	2020-05-01	45.2	"41.46-48.93"	19.06	"18.89-19.23"
"F"	2020-06-01	44.42	"40.71-48.13"	24.43	"24.23-24.63"
"F"	2020-07-01	46.86	"43.24-50.47"	28.41	"28.2-28.62"
"F"	2020-08-01	51.06	"47.27-54.85"	29.78	"29.56-29.99"
"F"	2020-09-01	51.67	"47.82-55.51"	34.07	"33.83-34.3"
"F"	2020-10-01	54.72	"50.82-58.61"	34.57	"34.34-34.8"
"F"	2020-11-01	54.69	"50.72-58.67"	33.65	"33.42-33.88"
"F"	2020-12-01	52.45	"48.64-56.25"	31.63	"31.41-31.85"
"F"	2021-01-01	53.19	"49.4-56.99"	28.37	"28.16-28.58"
"F"	2021-02-01	51.44	"47.42-55.46"	31.47	"31.23-31.7"
"F"	2021-03-01	54.83	"50.91-58.75"	34.66	"34.43-34.89"
"M"	2019-02-01	84.97	"79.81-90.13"	48.94	"48.62-49.26"
"M"	2019-03-01	83.13	"78.4-87.86"	46.77	"46.48-47.07"
"M"	2019-04-01	78.7	"74.01-83.4"	46.91	"46.61-47.21"
"M"	2019-05-01	80.61	"75.86-85.35"	46.71	"46.42-47.01"
"M"	2019-06-01	82.29	"77.47-87.1"	46.24	"45.95-46.54"
"M"	2019-07-01	83.68	"78.84-88.52"	48.12	"47.82-48.42"
"M"	2019-08-01	79.06	"74.4-83.72"	44.94	"44.65-45.23"
"M"	2019-09-01	80.8	"76.07-85.52"	46.3	"46.01-46.6"
"M"	2019-10-01	80.46	"75.88-85.04"	48.35	"48.06-48.65"
"M"	2019-11-01	87.96	"83.08-92.84"	48.44	"48.14-48.74"
"M"	2019-12-01	83.26	"78.6-87.93"	44.75	"44.47-45.04"
"M"	2020-01-01	85.56	"80.86-90.26"	47.92	"47.62-48.21"
"M"	2020-02-01	80.33	"75.6-85.06"	47.7	"47.39-48"
"M"	2020-03-01	72.76	"68.37-77.15"	36.84	"36.58-37.1"
"M"	2020-04-01	72.4	"67.94-76.85"	20.21	"20.01-20.41"
"M"	2020-05-01	60.83	"56.8-64.85"	23.64	"23.43-23.86"
"M"	2020-06-01	60	"55.88-64.13"	29.72	"29.48-29.96"
"M"	2020-07-01	63.93	"59.74-68.12"	33.83	"33.58-34.09"
"M"	2020-08-01	68.37	"64.1-72.63"	34.85	"34.6-35.11"
"M"	2020-09-01	69.39	"65.01-73.77"	39.51	"39.23-39.78"
"M"	2020-10-01	74.77	"70.34-79.2"	40.21	"39.94-40.48"
"M"	2020-11-01	69.65	"65.34-73.95"	39.73	"39.46-40"
"M"	2020-12-01	70.02	"65.81-74.23"	37.08	"36.82-37.34"
"M"	2021-01-01	75.4	"71.06-79.74"	33.6	"33.35-33.85"
"M"	2021-02-01	76.31	"71.42-81.2"	36.85	"36.57-37.12"
"M"	2021-03-01	69.41	"65.25-73.57"	40.32	"40.05-40.59"
