"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2016-02-01	183	7193	25.44	"22.05-29.34"	2467	2207028	1.12	"1.07-1.16"
"65-74"	2016-03-01	210	7241	29	"25.38-33.12"	2657	2213786	1.2	"1.16-1.25"
"65-74"	2016-04-01	167	7235	23.08	"19.87-26.8"	2424	2219389	1.09	"1.05-1.14"
"65-74"	2016-05-01	177	7350	24.08	"20.82-27.84"	2415	2227200	1.08	"1.04-1.13"
"65-74"	2016-06-01	171	7424	23.03	"19.86-26.7"	2276	2233367	1.02	"0.98-1.06"
"65-74"	2016-07-01	180	7488	24.04	"20.81-27.76"	2337	2239045	1.04	"1-1.09"
"65-74"	2016-08-01	179	7562	23.67	"20.48-27.35"	2306	2245155	1.03	"0.99-1.07"
"65-74"	2016-09-01	165	7635	21.61	"18.58-25.12"	2200	2250038	0.98	"0.94-1.02"
"65-74"	2016-10-01	192	7671	25.03	"21.76-28.77"	2368	2254024	1.05	"1.01-1.09"
"65-74"	2016-11-01	191	7721	24.74	"21.5-28.45"	2428	2257729	1.08	"1.03-1.12"
"65-74"	2016-12-01	201	7731	26	"22.68-29.79"	2720	2262179	1.2	"1.16-1.25"
"65-74"	2017-01-01	250	7823	31.96	"28.28-36.09"	2964	2267406	1.31	"1.26-1.36"
"65-74"	2017-02-01	188	7891	23.82	"20.68-27.43"	2484	2272416	1.09	"1.05-1.14"
"65-74"	2017-03-01	207	7949	26.04	"22.76-29.78"	2534	2276718	1.11	"1.07-1.16"
"65-74"	2017-04-01	165	8015	20.59	"17.7-23.93"	2267	2281413	0.99	"0.95-1.04"
"65-74"	2017-05-01	165	8065	20.46	"17.59-23.78"	2501	2286817	1.09	"1.05-1.14"
"65-74"	2017-06-01	173	8114	21.32	"18.4-24.7"	2293	2290292	1	"0.96-1.04"
"65-74"	2017-07-01	209	8227	25.4	"22.22-29.03"	2301	2293887	1	"0.96-1.04"
"65-74"	2017-08-01	161	8264	19.48	"16.72-22.69"	2374	2296588	1.03	"0.99-1.08"
"65-74"	2017-09-01	179	8334	21.48	"18.58-24.82"	2306	2299848	1	"0.96-1.04"
"65-74"	2017-10-01	196	8426	23.26	"20.25-26.7"	2432	2303107	1.06	"1.01-1.1"
