"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	9.52	"8.7-10.41"
"F"	2019-03-01	8.73	"7.93-9.61"
"F"	2019-04-01	9.15	"8.35-10.03"
"F"	2019-05-01	8.77	"7.98-9.63"
"F"	2019-06-01	8.8	"7.97-9.72"
"F"	2019-07-01	9.1	"8.26-10.03"
"F"	2019-08-01	9.77	"8.85-10.79"
"F"	2019-09-01	9.78	"8.88-10.77"
"F"	2019-10-01	10.61	"9.72-11.59"
"F"	2019-11-01	11.02	"10.11-12.01"
"F"	2019-12-01	9.74	"8.97-10.57"
"F"	2020-01-01	9.6	"8.83-10.43"
"F"	2020-02-01	9.72	"8.91-10.61"
"F"	2020-03-01	10.33	"9.5-11.23"
"F"	2020-04-01	17.34	"16.37-18.37"
"F"	2020-05-01	13.88	"12.91-14.91"
"F"	2020-06-01	9.15	"8.34-10.04"
"F"	2020-07-01	9.08	"8.22-10.03"
"F"	2020-08-01	9.05	"8.24-9.93"
"F"	2020-09-01	9.42	"8.55-10.38"
"F"	2020-10-01	10.28	"9.43-11.2"
"F"	2020-11-01	9.91	"9.14-10.74"
"F"	2020-12-01	9.63	"8.85-10.48"
"F"	2021-01-01	9.86	"9.25-10.5"
"F"	2021-02-01	8.5	"7.86-9.19"
"F"	2021-03-01	8.54	"7.81-9.33"
"M"	2019-02-01	9.5	"8.79-10.26"
"M"	2019-03-01	8.7	"8.02-9.44"
"M"	2019-04-01	8.93	"8.25-9.67"
"M"	2019-05-01	8.48	"7.81-9.21"
"M"	2019-06-01	9.9	"9.13-10.75"
"M"	2019-07-01	8.05	"7.41-8.76"
"M"	2019-08-01	9.07	"8.36-9.83"
"M"	2019-09-01	9.4	"8.65-10.22"
"M"	2019-10-01	9.43	"8.74-10.18"
"M"	2019-11-01	9.8	"9.1-10.54"
"M"	2019-12-01	9.95	"9.28-10.68"
"M"	2020-01-01	9.76	"9.1-10.47"
"M"	2020-02-01	9.22	"8.55-9.95"
"M"	2020-03-01	9.54	"8.91-10.21"
"M"	2020-04-01	16.72	"15.96-17.53"
"M"	2020-05-01	13.98	"13.14-14.87"
"M"	2020-06-01	8.83	"8.13-9.58"
"M"	2020-07-01	9.4	"8.64-10.23"
"M"	2020-08-01	9.38	"8.65-10.18"
"M"	2020-09-01	8.7	"8.01-9.43"
"M"	2020-10-01	9.57	"8.9-10.29"
"M"	2020-11-01	9.48	"8.85-10.16"
"M"	2020-12-01	9.68	"9.01-10.41"
"M"	2021-01-01	10.05	"9.53-10.61"
"M"	2021-02-01	9.07	"8.45-9.72"
"M"	2021-03-01	8.14	"7.51-8.81"
