"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	25.85	"23.16-28.55"	2.45	"2.39-2.52"
"F"	2019-03-01	22.3	"19.77-24.84"	2.28	"2.21-2.34"
"F"	2019-04-01	23.39	"20.97-25.81"	2.28	"2.22-2.35"
"F"	2019-05-01	20.21	"18.01-22.41"	2.22	"2.16-2.28"
"F"	2019-06-01	18.66	"16.54-20.79"	2.03	"1.98-2.09"
"F"	2019-07-01	21.12	"18.78-23.46"	2.06	"2-2.12"
"F"	2019-08-01	21.95	"19.43-24.46"	2.07	"2.01-2.12"
"F"	2019-09-01	21.76	"19.41-24.11"	2.05	"2-2.11"
"F"	2019-10-01	25.97	"23.36-28.58"	2.24	"2.18-2.3"
"F"	2019-11-01	27.62	"24.89-30.35"	2.32	"2.26-2.38"
"F"	2019-12-01	28.39	"25.73-31.04"	2.68	"2.61-2.75"
"F"	2020-01-01	26.93	"24.38-29.49"	2.69	"2.62-2.76"
"F"	2020-02-01	24.27	"21.84-26.69"	2.28	"2.22-2.34"
"F"	2020-03-01	28.1	"25.37-30.83"	2.48	"2.41-2.54"
"F"	2020-04-01	35.46	"32.64-38.28"	2.41	"2.34-2.47"
"F"	2020-05-01	21.4	"19.23-23.56"	2.03	"1.98-2.09"
"F"	2020-06-01	17.29	"15.28-19.29"	1.97	"1.91-2.02"
"F"	2020-07-01	18.22	"16.08-20.35"	1.99	"1.93-2.04"
"F"	2020-08-01	19.82	"17.66-21.98"	2.02	"1.97-2.08"
"F"	2020-09-01	19.93	"17.68-22.19"	1.98	"1.93-2.04"
"F"	2020-10-01	22.74	"20.37-25.11"	2.14	"2.08-2.2"
"F"	2020-11-01	20.01	"17.86-22.16"	1.99	"1.93-2.04"
"F"	2020-12-01	19.76	"17.67-21.85"	2.19	"2.13-2.25"
"F"	2021-01-01	19.3	"17.3-21.29"	2.23	"2.17-2.29"
"F"	2021-02-01	15.48	"13.75-17.21"	1.92	"1.87-1.98"
"F"	2021-03-01	12.7	"11.04-14.36"	1.43	"1.38-1.48"
"M"	2019-02-01	35.97	"32.91-39.03"	3.33	"3.24-3.41"
"M"	2019-03-01	31.51	"28.68-34.35"	3.2	"3.11-3.28"
"M"	2019-04-01	31.71	"28.93-34.49"	3.28	"3.19-3.36"
"M"	2019-05-01	28.68	"26.03-31.32"	3.06	"2.98-3.14"
"M"	2019-06-01	32.96	"30-35.92"	2.84	"2.76-2.92"
"M"	2019-07-01	27.49	"24.92-30.06"	2.95	"2.87-3.03"
"M"	2019-08-01	29.28	"26.67-31.88"	2.86	"2.78-2.94"
"M"	2019-09-01	31.32	"28.43-34.21"	2.87	"2.8-2.95"
"M"	2019-10-01	32.73	"30-35.46"	3.15	"3.07-3.24"
"M"	2019-11-01	37.04	"34.04-40.05"	3.36	"3.27-3.44"
"M"	2019-12-01	41.28	"38.1-44.47"	3.72	"3.63-3.81"
"M"	2020-01-01	39.78	"36.77-42.78"	3.68	"3.59-3.77"
"M"	2020-02-01	33.15	"30.42-35.89"	3.22	"3.13-3.3"
"M"	2020-03-01	38.06	"35.13-41"	3.51	"3.42-3.6"
"M"	2020-04-01	49.66	"46.34-52.98"	3.3	"3.21-3.38"
"M"	2020-05-01	29.7	"27.01-32.38"	2.87	"2.79-2.95"
"M"	2020-06-01	24.17	"21.71-26.63"	2.67	"2.59-2.74"
"M"	2020-07-01	27.36	"24.73-30"	2.7	"2.62-2.78"
"M"	2020-08-01	29.46	"26.76-32.17"	2.8	"2.73-2.88"
"M"	2020-09-01	27.32	"24.82-29.83"	2.83	"2.76-2.91"
"M"	2020-10-01	31.15	"28.55-33.74"	2.96	"2.88-3.04"
"M"	2020-11-01	27.92	"25.34-30.49"	2.76	"2.68-2.84"
"M"	2020-12-01	27.85	"25.24-30.46"	3	"2.92-3.08"
"M"	2021-01-01	29.07	"26.54-31.6"	3.08	"3-3.16"
"M"	2021-02-01	24.15	"21.8-26.5"	2.48	"2.41-2.56"
"M"	2021-03-01	16.59	"14.64-18.54"	1.89	"1.82-1.95"
