"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01		9578		"NA-NA"		2354058		"NA-NA"
"65-74"	2019-03-01		9586		"NA-NA"		2354502		"NA-NA"
"65-74"	2019-04-01		9611		"NA-NA"		2354321		"NA-NA"
"65-74"	2019-05-01		9646		"NA-NA"		2355810		"NA-NA"
"65-74"	2019-06-01		9757		"NA-NA"		2356276		"NA-NA"
"65-74"	2019-07-01		9811		"NA-NA"		2356577		"NA-NA"
"65-74"	2019-08-01		9929		"NA-NA"		2358366		"NA-NA"
"65-74"	2019-09-01		10005		"NA-NA"		2359740		"NA-NA"
"65-74"	2019-10-01		10012		"NA-NA"		2359824		"NA-NA"
"65-74"	2019-11-01		10114		"NA-NA"		2360599		"NA-NA"
"65-74"	2019-12-01		10099		"NA-NA"		2361157		"NA-NA"
"65-74"	2020-01-01		10142		"NA-NA"	15	2362671	0.01	"0-0.01"
"65-74"	2020-02-01		10215		"NA-NA"	264	2363592	0.12	"0.1-0.13"
"65-74"	2020-03-01	182	10349	17.02	"14.74-19.65"	5247	2367325	2.14	"2.09-2.2"
"65-74"	2020-04-01	991	10392	95.36	"89.86-101.16"	14134	2369480	5.97	"5.87-6.06"
"65-74"	2020-05-01	3082	10136	294.26	"285.66-302.99"	38783	2369977	15.84	"15.68-15.99"
"65-74"	2020-06-01	1741	10027	173.63	"166.34-181.17"	39564	2371772	16.68	"16.52-16.84"
"65-74"	2020-07-01	465	10153	44.32	"40.55-48.43"	52929	2373489	21.58	"21.4-21.76"
"65-74"	2020-08-01	395	10375	36.84	"33.44-40.58"	54574	2376068	22.23	"22.04-22.41"
"65-74"	2020-09-01	351	10437	33.63	"30.34-37.26"	47748	2377926	20.08	"19.9-20.26"
"65-74"	2020-10-01	371	10481	34.26	"30.99-37.85"	62249	2379759	25.31	"25.12-25.51"
"65-74"	2020-11-01	562	10542	53.31	"49.18-57.76"	67671	2381486	28.42	"28.21-28.63"
"65-74"	2020-12-01	645	10550	59.17	"54.89-63.75"	74239	2382017	30.16	"29.95-30.38"
"65-74"	2021-01-01	948	10551	86.95	"81.81-92.38"	91414	2384622	37.1	"36.86-37.33"
"65-74"	2021-02-01	231	10415	23.76	"20.92-26.99"	57125	2385699	25.66	"25.45-25.86"
"65-74"	2021-03-01	72	10440	6.67	"5.3-8.4"	63575	2386063	25.78	"25.59-25.98"
"75-79"	2019-02-01		10077		"NA-NA"		789762		"NA-NA"
"75-79"	2019-03-01		10079		"NA-NA"		794227		"NA-NA"
"75-79"	2019-04-01		10143		"NA-NA"		798291		"NA-NA"
"75-79"	2019-05-01		10193		"NA-NA"		802968		"NA-NA"
"75-79"	2019-06-01		10321		"NA-NA"		807408		"NA-NA"
"75-79"	2019-07-01		10438		"NA-NA"		811618		"NA-NA"
"75-79"	2019-08-01		10549		"NA-NA"		814633		"NA-NA"
"75-79"	2019-09-01		10663		"NA-NA"		818155		"NA-NA"
"75-79"	2019-10-01		10675		"NA-NA"		821989		"NA-NA"
"75-79"	2019-11-01		10816		"NA-NA"		825876		"NA-NA"
"75-79"	2019-12-01		10805		"NA-NA"		830754		"NA-NA"
"75-79"	2020-01-01		10785		"NA-NA"	6	833155	0.01	"0-0.02"
"75-79"	2020-02-01		10863		"NA-NA"	47	834517	0.06	"0.04-0.08"
"75-79"	2020-03-01	189	10922	16.75	"14.54-19.28"	2846	836017	3.29	"3.18-3.42"
"75-79"	2020-04-01	1083	11008	98.38	"92.96-104.09"	6598	837081	7.88	"7.69-8.07"
"75-79"	2020-05-01	3330	10486	307.32	"298.77-316.01"	14167	838417	16.35	"16.09-16.62"
"75-79"	2020-06-01	1640	10245	160.08	"153.11-167.31"	16384	841298	19.47	"19.18-19.77"
"75-79"	2020-07-01	450	10432	41.75	"38.13-45.68"	20770	843878	23.82	"23.5-24.14"
"75-79"	2020-08-01	428	10635	38.95	"35.49-42.72"	21831	846641	24.95	"24.63-25.28"
"75-79"	2020-09-01	379	10743	35.28	"31.95-38.94"	19786	848193	23.33	"23.01-23.65"
"75-79"	2020-10-01	353	10881	31.4	"28.33-34.78"	23228	850699	26.42	"26.09-26.76"
"75-79"	2020-11-01	628	10989	57.15	"52.96-61.64"	24791	854441	29.01	"28.66-29.37"
"75-79"	2020-12-01	725	10960	64.02	"59.66-68.67"	24629	857153	27.81	"27.47-28.15"
"75-79"	2021-01-01	1096	10898	97.32	"92-102.93"	27560	860044	31.01	"30.65-31.37"
"75-79"	2021-02-01	265	10816	26.25	"23.31-29.56"	19887	861894	24.72	"24.38-25.06"
"75-79"	2021-03-01	75	10837	6.7	"5.35-8.39"	21693	865811	24.25	"23.93-24.57"
