"Gender"	"over80"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	"No"	2019-02-01	20.63	"17.63-24.14"
"F"	"No"	2019-03-01	18.29	"15.39-21.75"
"F"	"No"	2019-04-01	19.35	"16.55-22.64"
"F"	"No"	2019-05-01	16.06	"13.5-19.11"
"F"	"No"	2019-06-01	16.12	"13.44-19.33"
"F"	"No"	2019-07-01	18.09	"15.24-21.46"
"F"	"No"	2019-08-01	19.49	"16.42-23.13"
"F"	"No"	2019-09-01	18.96	"16.1-22.33"
"F"	"No"	2019-10-01	21.63	"18.54-25.24"
"F"	"No"	2019-11-01	22.82	"19.65-26.5"
"F"	"No"	2019-12-01	19.07	"16.46-22.1"
"F"	"No"	2020-01-01	18.95	"16.37-21.94"
"F"	"No"	2020-02-01	19.45	"16.61-22.78"
"F"	"No"	2020-03-01	21.18	"18.36-24.44"
"F"	"No"	2020-04-01	34.11	"30.85-37.71"
"F"	"No"	2020-05-01	25.73	"22.57-29.33"
"F"	"No"	2020-06-01	16.97	"14.36-20.05"
"F"	"No"	2020-07-01	17.17	"14.44-20.42"
"F"	"No"	2020-08-01	17.4	"14.72-20.58"
"F"	"No"	2020-09-01	17.76	"14.98-21.04"
"F"	"No"	2020-10-01	19.17	"16.46-22.33"
"F"	"No"	2020-11-01	19.41	"16.81-22.42"
"F"	"No"	2020-12-01	17.18	"14.94-19.77"
"F"	"No"	2021-01-01	18.05	"15.98-20.4"
"F"	"No"	2021-02-01	13.99	"11.98-16.33"
"F"	"No"	2021-03-01	17.14	"14.63-20.09"
"F"	"Yes"	2019-02-01	5.09	"4.77-5.43"
"F"	"Yes"	2019-03-01	4.98	"4.65-5.33"
"F"	"Yes"	2019-04-01	5	"4.68-5.35"
"F"	"Yes"	2019-05-01	5.16	"4.82-5.53"
"F"	"Yes"	2019-06-01	5.25	"4.89-5.64"
"F"	"Yes"	2019-07-01	5.47	"5.1-5.87"
"F"	"Yes"	2019-08-01	5.32	"4.96-5.7"
"F"	"Yes"	2019-09-01	5.44	"5.07-5.83"
"F"	"Yes"	2019-10-01	5.89	"5.52-6.28"
"F"	"Yes"	2019-11-01	5.69	"5.35-6.07"
"F"	"Yes"	2019-12-01	5.68	"5.35-6.02"
"F"	"Yes"	2020-01-01	5.11	"4.81-5.43"
"F"	"Yes"	2020-02-01	5.68	"5.33-6.05"
"F"	"Yes"	2020-03-01	5.28	"4.97-5.61"
"F"	"Yes"	2020-04-01	8.74	"8.36-9.14"
"F"	"Yes"	2020-05-01	7.54	"7.13-7.97"
"F"	"Yes"	2020-06-01	5.29	"4.92-5.68"
"F"	"Yes"	2020-07-01	5.17	"4.81-5.56"
"F"	"Yes"	2020-08-01	5.36	"5-5.76"
"F"	"Yes"	2020-09-01	5.24	"4.88-5.63"
"F"	"Yes"	2020-10-01	5.61	"5.26-5.99"
"F"	"Yes"	2020-11-01	5.68	"5.35-6.04"
"F"	"Yes"	2020-12-01	5.57	"5.26-5.91"
"F"	"Yes"	2021-01-01	6.02	"5.73-6.32"
"F"	"Yes"	2021-02-01	5.57	"5.24-5.92"
"F"	"Yes"	2021-03-01	4.84	"4.52-5.19"
"M"	"No"	2019-02-01	18.23	"15.94-20.86"
"M"	"No"	2019-03-01	16.35	"14.2-18.82"
"M"	"No"	2019-04-01	15.65	"13.59-18.03"
"M"	"No"	2019-05-01	14.28	"12.23-16.68"
"M"	"No"	2019-06-01	18.29	"15.92-21.02"
"M"	"No"	2019-07-01	14.22	"12.23-16.54"
"M"	"No"	2019-08-01	15.58	"13.47-18.02"
"M"	"No"	2019-09-01	17.78	"15.39-20.54"
"M"	"No"	2019-10-01	15.62	"13.58-17.97"
"M"	"No"	2019-11-01	17.81	"15.63-20.29"
"M"	"No"	2019-12-01	18.8	"16.63-21.26"
"M"	"No"	2020-01-01	17.61	"15.59-19.89"
"M"	"No"	2020-02-01	16.33	"14.25-18.72"
"M"	"No"	2020-03-01	16.78	"14.83-18.98"
"M"	"No"	2020-04-01	29.93	"27.6-32.45"
"M"	"No"	2020-05-01	24.96	"22.41-27.81"
"M"	"No"	2020-06-01	15.27	"13.16-17.71"
"M"	"No"	2020-07-01	16.76	"14.51-19.36"
"M"	"No"	2020-08-01	16.42	"14.22-18.96"
"M"	"No"	2020-09-01	14.08	"12.12-16.36"
"M"	"No"	2020-10-01	16.79	"14.77-19.09"
"M"	"No"	2020-11-01	17.2	"15.2-19.45"
"M"	"No"	2020-12-01	16.36	"14.54-18.42"
"M"	"No"	2021-01-01	17.25	"15.63-19.04"
"M"	"No"	2021-02-01	15.84	"13.92-18.03"
"M"	"No"	2021-03-01	13.41	"11.58-15.52"
"M"	"Yes"	2019-02-01	6.22	"5.77-6.7"
"M"	"Yes"	2019-03-01	5.73	"5.29-6.21"
"M"	"Yes"	2019-04-01	5.93	"5.49-6.41"
"M"	"Yes"	2019-05-01	6.18	"5.71-6.69"
"M"	"Yes"	2019-06-01	6.8	"6.27-7.37"
"M"	"Yes"	2019-07-01	5.97	"5.51-6.48"
"M"	"Yes"	2019-08-01	6.63	"6.13-7.19"
"M"	"Yes"	2019-09-01	6.34	"5.85-6.87"
"M"	"Yes"	2019-10-01	6.86	"6.37-7.39"
"M"	"Yes"	2019-11-01	6.7	"6.24-7.2"
"M"	"Yes"	2019-12-01	6.48	"6.05-6.95"
"M"	"Yes"	2020-01-01	6.63	"6.18-7.1"
"M"	"Yes"	2020-02-01	6.6	"6.13-7.1"
"M"	"Yes"	2020-03-01	6.61	"6.18-7.07"
"M"	"Yes"	2020-04-01	10.83	"10.32-11.37"
"M"	"Yes"	2020-05-01	9.3	"8.73-9.91"
"M"	"Yes"	2020-06-01	6.45	"5.94-7"
"M"	"Yes"	2020-07-01	6.03	"5.52-6.58"
"M"	"Yes"	2020-08-01	6.63	"6.11-7.2"
"M"	"Yes"	2020-09-01	6.53	"6.02-7.08"
"M"	"Yes"	2020-10-01	6.51	"6.04-7.01"
"M"	"Yes"	2020-11-01	6.55	"6.11-7.02"
"M"	"Yes"	2020-12-01	6.54	"6.13-6.98"
"M"	"Yes"	2021-01-01	7.26	"6.86-7.68"
"M"	"Yes"	2021-02-01	6.6	"6.15-7.09"
"M"	"Yes"	2021-03-01	5.8	"5.34-6.31"
