"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	21.83	"19.98-23.68"	2.29	"2.23-2.36"
"F"	2019-03-01	18.65	"16.95-20.35"	2.14	"2.08-2.2"
"F"	2019-04-01	19.64	"17.94-21.34"	2.15	"2.09-2.21"
"F"	2019-05-01	18.28	"16.65-19.9"	2.08	"2.03-2.14"
"F"	2019-06-01	16.89	"15.29-18.48"	1.92	"1.86-1.97"
"F"	2019-07-01	17.92	"16.27-19.57"	1.97	"1.91-2.03"
"F"	2019-08-01	19.02	"17.23-20.8"	1.95	"1.89-2"
"F"	2019-09-01	18.95	"17.23-20.67"	1.94	"1.88-1.99"
"F"	2019-10-01	22.28	"20.44-24.12"	2.1	"2.04-2.16"
"F"	2019-11-01	23.81	"21.89-25.73"	2.16	"2.1-2.22"
"F"	2019-12-01	24.57	"22.68-26.47"	2.52	"2.46-2.59"
"F"	2020-01-01	24.22	"22.32-26.11"	2.52	"2.46-2.59"
"F"	2020-02-01	20.88	"19.16-22.59"	2.15	"2.09-2.21"
"F"	2020-03-01	24.14	"22.21-26.08"	2.33	"2.27-2.39"
"F"	2020-04-01	31.13	"29.06-33.2"	2.19	"2.13-2.25"
"F"	2020-05-01	19.47	"17.85-21.08"	1.89	"1.83-1.94"
"F"	2020-06-01	15.26	"13.82-16.69"	1.86	"1.8-1.92"
"F"	2020-07-01	16.23	"14.66-17.8"	1.87	"1.82-1.93"
"F"	2020-08-01	16.99	"15.48-18.51"	1.91	"1.85-1.96"
"F"	2020-09-01	17.35	"15.74-18.97"	1.86	"1.8-1.91"
"F"	2020-10-01	20.09	"18.39-21.79"	1.97	"1.92-2.03"
"F"	2020-11-01	16.98	"15.48-18.47"	1.83	"1.78-1.89"
"F"	2020-12-01	14.3	"12.94-15.65"	1.63	"1.58-1.68"
"F"	2021-01-01	17.13	"15.7-18.55"	2.15	"2.09-2.21"
"F"	2021-02-01	14.54	"13.24-15.84"	1.87	"1.81-1.92"
"F"	2021-03-01	16.72	"15.25-18.2"	2	"1.94-2.05"
"M"	2019-02-01	30.44	"28.26-32.61"	3.2	"3.12-3.29"
"M"	2019-03-01	27.01	"24.97-29.05"	3.1	"3.02-3.19"
"M"	2019-04-01	28.18	"26.09-30.26"	3.15	"3.07-3.24"
"M"	2019-05-01	25.08	"23.16-27"	2.96	"2.88-3.04"
"M"	2019-06-01	27.14	"25.09-29.19"	2.74	"2.66-2.82"
"M"	2019-07-01	23.04	"21.24-24.84"	2.86	"2.78-2.94"
"M"	2019-08-01	25.09	"23.2-26.98"	2.77	"2.69-2.85"
"M"	2019-09-01	26.16	"24.12-28.2"	2.78	"2.7-2.86"
"M"	2019-10-01	28.82	"26.79-30.85"	3.06	"2.97-3.14"
"M"	2019-11-01	31.64	"29.49-33.78"	3.23	"3.14-3.31"
"M"	2019-12-01	35.65	"33.35-37.96"	3.58	"3.49-3.67"
"M"	2020-01-01	34.57	"32.36-36.79"	3.54	"3.45-3.63"
"M"	2020-02-01	28.6	"26.59-30.6"	3.1	"3.02-3.18"
"M"	2020-03-01	33.01	"30.87-35.14"	3.37	"3.29-3.46"
"M"	2020-04-01	42.32	"39.92-44.72"	3.12	"3.04-3.2"
"M"	2020-05-01	25.69	"23.74-27.63"	2.76	"2.68-2.84"
"M"	2020-06-01	20.54	"18.78-22.29"	2.58	"2.51-2.66"
"M"	2020-07-01	23.83	"21.9-25.75"	2.6	"2.53-2.68"
"M"	2020-08-01	24.76	"22.86-26.66"	2.67	"2.6-2.75"
"M"	2020-09-01	23.57	"21.76-25.38"	2.71	"2.64-2.79"
"M"	2020-10-01	27.06	"25.16-28.96"	2.79	"2.71-2.87"
"M"	2020-11-01	23.6	"21.78-25.41"	2.59	"2.51-2.66"
"M"	2020-12-01	19.37	"17.71-21.03"	2.23	"2.16-2.3"
"M"	2021-01-01	25.86	"24-27.72"	3.05	"2.97-3.13"
"M"	2021-02-01	20.91	"19.21-22.62"	2.54	"2.47-2.62"
"M"	2021-03-01	21.8	"20.08-23.51"	2.73	"2.66-2.81"
