"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	65.3	"60.7-69.89"	41.98	"41.71-42.25"
"F"	2019-03-01	57.96	"53.96-61.96"	40.66	"40.4-40.91"
"F"	2019-04-01	64.04	"59.64-68.44"	41	"40.75-41.26"
"F"	2019-05-01	60.04	"55.86-64.23"	40.66	"40.41-40.92"
"F"	2019-06-01	55.76	"51.7-59.83"	40.74	"40.49-41"
"F"	2019-07-01	60.59	"56.39-64.79"	42.1	"41.85-42.36"
"F"	2019-08-01	58.04	"53.96-62.12"	39.22	"38.97-39.46"
"F"	2019-09-01	58.6	"54.41-62.79"	40.52	"40.27-40.78"
"F"	2019-10-01	64.24	"60.01-68.48"	42.48	"42.22-42.74"
"F"	2019-11-01	62.67	"58.38-66.95"	42.48	"42.22-42.74"
"F"	2019-12-01	65.88	"61.58-70.19"	38.58	"38.34-38.82"
"F"	2020-01-01	63.21	"59-67.42"	42.01	"41.75-42.26"
"F"	2020-02-01	62.24	"57.91-66.57"	41.21	"40.95-41.47"
"F"	2020-03-01	46.26	"42.6-49.92"	29.94	"29.73-30.16"
"F"	2020-04-01	24.82	"22.15-27.48"	14	"13.85-14.15"
"F"	2020-05-01	34.17	"30.89-37.44"	18.25	"18.09-18.42"
"F"	2020-06-01	41.72	"38.11-45.33"	24.08	"23.89-24.28"
"F"	2020-07-01	46	"42.42-49.57"	28.28	"28.07-28.49"
"F"	2020-08-01	50.39	"46.62-54.17"	29.69	"29.48-29.9"
"F"	2020-09-01	50.63	"46.82-54.45"	33.76	"33.53-33.99"
"F"	2020-10-01	50.3	"46.55-54.04"	33.36	"33.14-33.59"
"F"	2020-11-01	46.58	"42.82-50.35"	31.69	"31.47-31.92"
"F"	2020-12-01	38.28	"35.04-41.52"	29.03	"28.82-29.24"
"F"	2021-01-01	35.19	"31.98-38.4"	24.77	"24.58-24.97"
"F"	2021-02-01	43.83	"40.09-47.56"	29.96	"29.73-30.18"
"F"	2021-03-01	52.89	"49.04-56.74"	34.28	"34.05-34.51"
"M"	2019-02-01	84.97	"79.81-90.13"	48.94	"48.62-49.26"
"M"	2019-03-01	83.13	"78.4-87.86"	46.77	"46.48-47.07"
"M"	2019-04-01	78.7	"74.01-83.4"	46.91	"46.61-47.21"
"M"	2019-05-01	80.61	"75.86-85.35"	46.71	"46.42-47.01"
"M"	2019-06-01	82.29	"77.47-87.1"	46.24	"45.95-46.54"
"M"	2019-07-01	83.59	"78.75-88.43"	48.12	"47.82-48.42"
"M"	2019-08-01	79.06	"74.4-83.72"	44.94	"44.65-45.23"
"M"	2019-09-01	80.8	"76.07-85.52"	46.3	"46-46.6"
"M"	2019-10-01	80.46	"75.88-85.04"	48.35	"48.05-48.65"
"M"	2019-11-01	87.96	"83.08-92.84"	48.44	"48.13-48.74"
"M"	2019-12-01	83.1	"78.44-87.76"	44.74	"44.46-45.03"
"M"	2020-01-01	85.56	"80.86-90.26"	47.9	"47.6-48.19"
"M"	2020-02-01	79.96	"75.24-84.68"	47.6	"47.29-47.9"
"M"	2020-03-01	65.81	"61.58-70.04"	35.13	"34.88-35.39"
"M"	2020-04-01	33.75	"30.6-36.89"	17.27	"17.09-17.45"
"M"	2020-05-01	45.84	"42.26-49.42"	22.46	"22.25-22.66"
"M"	2020-06-01	55.4	"51.45-59.35"	29.22	"28.98-29.46"
"M"	2020-07-01	62.21	"58.06-66.35"	33.65	"33.4-33.9"
"M"	2020-08-01	67.38	"63.14-71.62"	34.74	"34.49-34.99"
"M"	2020-09-01	67.79	"63.46-72.13"	39.1	"38.82-39.37"
"M"	2020-10-01	66.39	"62.19-70.58"	38.38	"38.12-38.65"
"M"	2020-11-01	53.62	"49.8-57.44"	36.79	"36.53-37.06"
"M"	2020-12-01	51.74	"48.05-55.44"	33.71	"33.47-33.96"
"M"	2021-01-01	44.28	"40.89-47.67"	28.56	"28.33-28.79"
"M"	2021-02-01	63.43	"58.93-67.94"	34.83	"34.56-35.1"
"M"	2021-03-01	67.14	"63.04-71.24"	39.81	"39.54-40.08"
