"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01		"NA-NA"
"F"	2019-03-01		"NA-NA"
"F"	2019-04-01		"NA-NA"
"F"	2019-05-01		"NA-NA"
"F"	2019-06-01		"NA-NA"
"F"	2019-07-01		"NA-NA"
"F"	2019-08-01		"NA-NA"
"F"	2019-09-01		"NA-NA"
"F"	2019-10-01		"NA-NA"
"F"	2019-11-01		"NA-NA"
"F"	2019-12-01		"NA-NA"
"F"	2020-01-01		"NA-NA"
"F"	2020-02-01		"NA-NA"
"F"	2020-03-01	4.13	"3.19-5.35"
"F"	2020-04-01	12.4	"10.96-14.03"
"F"	2020-05-01	13.67	"11.46-16.3"
"F"	2020-06-01	7.51	"5.32-10.6"
"F"	2020-07-01	6.75	"3.6-12.63"
"F"	2020-08-01	7.98	"4.74-13.44"
"F"	2020-09-01	3.36	"2.03-5.58"
"F"	2020-10-01	3.61	"2.77-4.71"
"F"	2020-11-01	4.16	"3.51-4.93"
"F"	2020-12-01	5.2	"4.43-6.09"
"F"	2021-01-01	4.82	"4.27-5.45"
"F"	2021-02-01	4.77	"3.86-5.91"
"F"	2021-03-01	5.03	"3.27-7.75"
"M"	2019-02-01		"NA-NA"
"M"	2019-03-01		"NA-NA"
"M"	2019-04-01		"NA-NA"
"M"	2019-05-01		"NA-NA"
"M"	2019-06-01		"NA-NA"
"M"	2019-07-01		"NA-NA"
"M"	2019-08-01		"NA-NA"
"M"	2019-09-01		"NA-NA"
"M"	2019-10-01		"NA-NA"
"M"	2019-11-01		"NA-NA"
"M"	2019-12-01		"NA-NA"
"M"	2020-01-01		"NA-NA"
"M"	2020-02-01		"NA-NA"
"M"	2020-03-01	4.05	"3.35-4.89"
"M"	2020-04-01	13.17	"12.03-14.41"
"M"	2020-05-01	12.63	"11.02-14.48"
"M"	2020-06-01	9.18	"6.95-12.13"
"M"	2020-07-01	9.25	"6.12-14"
"M"	2020-08-01	8.86	"5.13-15.29"
"M"	2020-09-01	3.95	"2.57-6.06"
"M"	2020-10-01	4.46	"3.7-5.37"
"M"	2020-11-01	5.37	"4.68-6.15"
"M"	2020-12-01	5.42	"4.79-6.14"
"M"	2021-01-01	6.17	"5.6-6.8"
"M"	2021-02-01	6.31	"5.34-7.45"
"M"	2021-03-01	4.71	"3.31-6.69"
