"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01		"NaN-NaN"
"F"	2019-03-01		"NaN-NaN"
"F"	2019-04-01		"NaN-NaN"
"F"	2019-05-01		"NaN-NaN"
"F"	2019-06-01		"NaN-NaN"
"F"	2019-07-01		"NaN-NaN"
"F"	2019-08-01		"NaN-NaN"
"F"	2019-09-01		"NaN-NaN"
"F"	2019-10-01		"NaN-NaN"
"F"	2019-11-01		"NaN-NaN"
"F"	2019-12-01		"NaN-NaN"
"F"	2020-01-01		"NaN-NaN"
"F"	2020-02-01		"NaN-NaN"
"F"	2020-03-01	9.48	"5.59-16.07"
"F"	2020-04-01	24.47	"21.9-27.34"
"F"	2020-05-01	29.78	"25.65-34.58"
"F"	2020-06-01	21.56	"15.72-29.58"
"F"	2020-07-01	38.02	"23.51-61.5"
"F"	2020-08-01	22.93	"11.02-47.69"
"F"	2020-09-01	14.11	"6.69-29.75"
"F"	2020-10-01	12.01	"8.49-16.99"
"F"	2020-11-01	12.78	"10.68-15.29"
"F"	2020-12-01	12.73	"10.78-15.03"
"F"	2021-01-01	12.95	"11.58-14.49"
"F"	2021-02-01	10.31	"8.77-12.13"
"F"	2021-03-01	8.98	"6.35-12.71"
"M"	2019-02-01		"NaN-NaN"
"M"	2019-03-01		"NaN-NaN"
"M"	2019-04-01		"NaN-NaN"
"M"	2019-05-01		"NaN-NaN"
"M"	2019-06-01		"NaN-NaN"
"M"	2019-07-01		"NaN-NaN"
"M"	2019-08-01		"NaN-NaN"
"M"	2019-09-01		"NaN-NaN"
"M"	2019-10-01		"NaN-NaN"
"M"	2019-11-01		"NaN-NaN"
"M"	2019-12-01		"NaN-NaN"
"M"	2020-01-01		"NaN-NaN"
"M"	2020-02-01		"NaN-NaN"
"M"	2020-03-01	7.52	"5.39-10.48"
"M"	2020-04-01	23.31	"21.52-25.24"
"M"	2020-05-01	36.47	"32.6-40.8"
"M"	2020-06-01	20.03	"15.99-25.09"
"M"	2020-07-01	23.06	"14.52-36.61"
"M"	2020-08-01	25.35	"12.45-51.63"
"M"	2020-09-01	8.53	"5.08-14.35"
"M"	2020-10-01	10.44	"7.97-13.66"
"M"	2020-11-01	11.99	"10.39-13.84"
"M"	2020-12-01	12.96	"11.53-14.57"
"M"	2021-01-01	13.29	"12.19-14.49"
"M"	2021-02-01	11.32	"9.87-13"
"M"	2021-03-01	8.98	"6.85-11.77"
