"Time_Period"	"Cause_of_Death"	"Percentage"	"Count"
2019-02-01	"Respiratory Disease"	18.89	2196
2019-02-01	"Dementia"	4.87	566
2019-02-01	"Cardiovascular Disease"	26.72	3107
2019-02-01	"Cancer"	27.57	3205
2019-02-01	"Other"	21.96	2553
2019-03-01	"Respiratory Disease"	16.5	1815
2019-03-01	"Dementia"	4.25	468
2019-03-01	"Cardiovascular Disease"	28.12	3093
2019-03-01	"Cancer"	28.95	3185
2019-03-01	"Other"	22.17	2439
2019-04-01	"Respiratory Disease"	15.93	1786
2019-04-01	"Dementia"	4.5	505
2019-04-01	"Cardiovascular Disease"	27.91	3129
2019-04-01	"Cancer"	29.35	3290
2019-04-01	"Other"	22.3	2500
2019-05-01	"Respiratory Disease"	14.27	1528
2019-05-01	"Dementia"	4.14	443
2019-05-01	"Cardiovascular Disease"	27.06	2898
2019-05-01	"Cancer"	31.62	3387
2019-05-01	"Other"	22.91	2454
2019-06-01	"Respiratory Disease"	13.64	1355
2019-06-01	"Dementia"	3.71	368
2019-06-01	"Cardiovascular Disease"	27.51	2732
2019-06-01	"Cancer"	32.98	3276
2019-06-01	"Other"	22.16	2201
2019-07-01	"Respiratory Disease"	12.83	1310
2019-07-01	"Dementia"	3.95	403
2019-07-01	"Cardiovascular Disease"	28.07	2866
2019-07-01	"Cancer"	32.56	3325
2019-07-01	"Other"	22.6	2308
2019-08-01	"Respiratory Disease"	12.36	1243
2019-08-01	"Dementia"	3.83	385
2019-08-01	"Cardiovascular Disease"	27.25	2741
2019-08-01	"Cancer"	33.28	3348
2019-08-01	"Other"	23.28	2342
2019-09-01	"Respiratory Disease"	12.87	1297
2019-09-01	"Dementia"	3.89	392
2019-09-01	"Cardiovascular Disease"	26.45	2665
2019-09-01	"Cancer"	33.88	3413
2019-09-01	"Other"	22.9	2307
2019-10-01	"Respiratory Disease"	14.33	1583
2019-10-01	"Dementia"	3.96	437
2019-10-01	"Cardiovascular Disease"	27.61	3049
2019-10-01	"Cancer"	31.99	3533
2019-10-01	"Other"	22.12	2443
2019-11-01	"Respiratory Disease"	14.95	1735
2019-11-01	"Dementia"	4.52	524
2019-11-01	"Cardiovascular Disease"	27.96	3245
2019-11-01	"Cancer"	29.57	3431
2019-11-01	"Other"	23	2669
2019-12-01	"Respiratory Disease"	18.45	2417
2019-12-01	"Dementia"	4.4	576
