"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	0	"0-0"	0	"0-0"
"F"	2019-03-01	0	"0-0"	0	"0-0"
"F"	2019-04-01	0	"0-0"	0	"0-0"
"F"	2019-05-01	0	"0-0"	0	"0-0"
"F"	2019-06-01	0	"0-0"	0	"0-0"
"F"	2019-07-01	0	"0-0"	0	"0-0"
"F"	2019-08-01	0	"0-0"	0	"0-0"
"F"	2019-09-01	0	"0-0"	0	"0-0"
"F"	2019-10-01	0	"0-0"	0	"0-0"
"F"	2019-11-01	0	"0-0"	0	"0-0"
"F"	2019-12-01	0	"0-0"	0	"0-0"
"F"	2020-01-01	0	"0-0"	0	"0-0"
"F"	2020-02-01	0	"0-0"	0	"0-0"
"F"	2020-03-01	1.28	"0.77-1.79"	0.13	"0.11-0.14"
"F"	2020-04-01	21.49	"19.7-23.28"	0.84	"0.8-0.88"
"F"	2020-05-01	11.32	"10.07-12.56"	0.35	"0.32-0.37"
"F"	2020-06-01	2.92	"2.24-3.6"	0.13	"0.11-0.14"
"F"	2020-07-01	1.08	"0.66-1.5"	0.04	"0.03-0.04"
"F"	2020-08-01	0.36	"0.16-0.56"	0.01	"0.01-0.02"
"F"	2020-09-01	0.39	"0.18-0.6"	0.02	"0.02-0.03"
"F"	2020-10-01	1.96	"1.42-2.5"	0.17	"0.16-0.19"
"F"	2020-11-01	5.82	"4.98-6.67"	0.47	"0.44-0.5"
"F"	2020-12-01	5.67	"4.86-6.49"	0.45	"0.42-0.47"
"F"	2021-01-01	16.6	"15.19-18.01"	1.28	"1.24-1.33"
"F"	2021-02-01	7.34	"6.4-8.28"	0.7	"0.66-0.73"
"F"	2021-03-01	1.83	"1.33-2.34"	0.18	"0.16-0.19"
"M"	2019-02-01	0	"0-0"	0	"0-0"
"M"	2019-03-01	0	"0-0"	0	"0-0"
"M"	2019-04-01	0	"0-0"	0	"0-0"
"M"	2019-05-01	0	"0-0"	0	"0-0"
"M"	2019-06-01	0	"0-0"	0	"0-0"
"M"	2019-07-01	0	"0-0"	0	"0-0"
"M"	2019-08-01	0	"0-0"	0	"0-0"
"M"	2019-09-01	0	"0-0"	0	"0-0"
"M"	2019-10-01	0	"0-0"	0	"0-0"
"M"	2019-11-01	0	"0-0"	0	"0-0"
"M"	2019-12-01	0	"0-0"	0	"0-0"
"M"	2020-01-01	0	"0-0"	0	"0-0"
"M"	2020-02-01	0	"0-0"	0	"0-0"
"M"	2020-03-01	2.29	"1.68-2.9"	0.33	"0.3-0.35"
"M"	2020-04-01	39.65	"37.28-42.02"	1.78	"1.72-1.84"
"M"	2020-05-01	20.4	"18.74-22.06"	0.56	"0.53-0.6"
"M"	2020-06-01	4.17	"3.45-4.89"	0.22	"0.19-0.24"
"M"	2020-07-01	1.1	"0.72-1.49"	0.05	"0.04-0.06"
"M"	2020-08-01	0.51	"0.24-0.79"	0.02	"0.01-0.03"
"M"	2020-09-01	0.41	"0.24-0.58"	0.05	"0.04-0.05"
"M"	2020-10-01	3.08	"2.4-3.75"	0.36	"0.33-0.39"
"M"	2020-11-01	9.98	"8.84-11.11"	0.96	"0.91-1"
"M"	2020-12-01	10.28	"9.2-11.36"	0.84	"0.8-0.89"
"M"	2021-01-01	26.78	"24.97-28.59"	2.2	"2.13-2.27"
"M"	2021-02-01	12.81	"11.44-14.18"	1.16	"1.11-1.21"
"M"	2021-03-01	2.65	"2.06-3.23"	0.27	"0.25-0.3"
