"Gender"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	2019-02-01	10.59	"9.51-11.8"
"F"	2019-03-01	9.82	"8.73-11.05"
"F"	2019-04-01	10.21	"9.17-11.37"
"F"	2019-05-01	9.15	"8.18-10.24"
"F"	2019-06-01	9.3	"8.26-10.47"
"F"	2019-07-01	10.26	"9.15-11.51"
"F"	2019-08-01	10.64	"9.44-11.98"
"F"	2019-09-01	10.6	"9.47-11.86"
"F"	2019-10-01	11.63	"10.47-12.91"
"F"	2019-11-01	11.88	"10.71-13.18"
"F"	2019-12-01	10.6	"9.62-11.69"
"F"	2020-01-01	10.04	"9.09-11.08"
"F"	2020-02-01	10.62	"9.57-11.8"
"F"	2020-03-01	11.16	"10.1-12.33"
"F"	2020-04-01	17.57	"16.43-18.79"
"F"	2020-05-01	14.1	"12.94-15.36"
"F"	2020-06-01	9.78	"8.74-10.94"
"F"	2020-07-01	9.81	"8.72-11.04"
"F"	2020-08-01	9.81	"8.78-10.97"
"F"	2020-09-01	10.21	"9.09-11.47"
"F"	2020-10-01	10.84	"9.77-12.03"
"F"	2020-11-01	10.73	"9.76-11.81"
"F"	2020-12-01	10.21	"9.21-11.32"
"F"	2021-01-01	10.26	"9.49-11.08"
"F"	2021-02-01	8.55	"7.79-9.39"
"F"	2021-03-01	9.2	"8.27-10.24"
"M"	2019-02-01	10.87	"9.93-11.9"
"M"	2019-03-01	9.89	"8.99-10.87"
"M"	2019-04-01	9.72	"8.86-10.66"
"M"	2019-05-01	9.3	"8.44-10.25"
"M"	2019-06-01	11.62	"10.56-12.77"
"M"	2019-07-01	9.36	"8.48-10.32"
"M"	2019-08-01	10.25	"9.33-11.27"
"M"	2019-09-01	10.94	"9.92-12.06"
"M"	2019-10-01	10.33	"9.45-11.29"
"M"	2019-11-01	11.07	"10.16-12.07"
"M"	2019-12-01	11.29	"10.4-12.25"
"M"	2020-01-01	10.94	"10.09-11.86"
"M"	2020-02-01	10.37	"9.5-11.32"
"M"	2020-03-01	10.56	"9.75-11.44"
"M"	2020-04-01	18.17	"17.22-19.17"
"M"	2020-05-01	15.35	"14.3-16.48"
"M"	2020-06-01	9.95	"9.04-10.96"
"M"	2020-07-01	10.45	"9.46-11.54"
"M"	2020-08-01	10.78	"9.79-11.87"
"M"	2020-09-01	9.68	"8.8-10.66"
"M"	2020-10-01	10.64	"9.78-11.58"
"M"	2020-11-01	10.92	"10.07-11.84"
"M"	2020-12-01	10.81	"9.93-11.77"
"M"	2021-01-01	11.08	"10.4-11.79"
"M"	2021-02-01	10.03	"9.24-10.88"
"M"	2021-03-01	8.67	"7.9-9.51"
