"variable"	"value"	"count_Overall"	"percent_Overall"	"count_Care_or_Nursing_Home"	"percent_Care_or_Nursing_Home"	"count_Private_Home"	"percent_Private_Home"
"total"		4452375	100	95295	100	4357080	100
"sex"	"Female"	2393928	53.77	67592	70.93	2326336	53.39
"sex"	"Male"	2058447	46.23	27703	29.07	2030744	46.61
"age"	"Mean, SD"	75	7.47	86	8.01	75	7.29
"care_home_cat"	"Care Home"	50183	1.13	50183	52.66		
"care_home_cat"	"Care or Nursing Home"	2128	0.05	2128	2.23		
"care_home_cat"	"Nursing Home"	42984	0.97	42984	45.11		
"care_home_cat"	"Private Home"	4357080	97.86			4357080	100
"ethnicity_cat"	"Asian or British Asian"	123749	2.78	627	0.66	123122	2.83
"ethnicity_cat"	"Black"	36002	0.81	451	0.47	35551	0.82
"ethnicity_cat"	"Missing"	1012050	22.73	21728	22.8	990322	22.73
"ethnicity_cat"	"Mixed"	13455	0.3	200	0.21	13255	0.3
"ethnicity_cat"	"Other"	29913	0.67	320	0.34	29593	0.68
"ethnicity_cat"	"White"	3237206	72.71	71969	75.52	3165237	72.65
"imd_cat"	"1 - Least Deprived"	622464	13.98	17312	18.17	605152	13.89
"imd_cat"	"2"	776306	17.44	19592	20.56	756714	17.37
"imd_cat"	"3"	1000070	22.46	21033	22.07	979037	22.47
"imd_cat"	"4"	1021600	22.95	19681	20.65	1001919	23
"imd_cat"	"5 - Most Deprived"	998254	22.42	17003	17.84	981251	22.52
"imd_cat"	"Missing"	33681	0.76	674	0.71	33007	0.76
"region"	"East"	1049954	23.58	21922	23	1028032	23.59
"region"	"East Midlands"	787862	17.7	17415	18.27	770447	17.68
"region"	"London"	172211	3.87	1739	1.82	170472	3.91
"region"	"NA"	1003	0.02	25	0.03	978	0.02
"region"	"North East"	203248	4.56	4153	4.36	199095	4.57
"region"	"North West"	413879	9.3	9553	10.02	404326	9.28
"region"	"South East"	328073	7.37	7716	8.1	320357	7.35
"region"	"South West"	751365	16.88	16466	17.28	734899	16.87
"region"	"West Midlands"	154524	3.47	2928	3.07	151596	3.48
"region"	"Yorkshire and The Humber"	590256	13.26	13378	14.04	576878	13.24
"stroke"		292461	6.57	20182	21.18	272279	6.25
"dementia"		194738	4.37	54435	57.12	140303	3.22
"diabetes"		1017418	22.85	24431	25.64	992987	22.79
"ckd"		402903	9.05	17392	18.25	385511	8.85
"cancer"		673175	15.12	15398	16.16	657777	15.1
"chronic_liver_disease"		41425	0.93	1073	1.13	40352	0.93
"chronic_cardiac_disease"		871017	19.56	28623	30.04	842394	19.33
"chronic_respiratory_disease"		493455	11.08	12707	13.33	480748	11.03
