"Gender"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	23.39	"21.41-25.37"	2.46	"2.39-2.52"
"F"	2019-03-01	18.05	"16.4-19.69"	2.07	"2.01-2.12"
"F"	2019-04-01	19.64	"17.94-21.34"	2.15	"2.09-2.21"
"F"	2019-05-01	17.69	"16.11-19.26"	2.02	"1.96-2.07"
"F"	2019-06-01	16.89	"15.29-18.48"	1.92	"1.86-1.97"
"F"	2019-07-01	17.34	"15.74-18.93"	1.91	"1.85-1.96"
"F"	2019-08-01	18.4	"16.67-20.13"	1.88	"1.83-1.94"
"F"	2019-09-01	18.95	"17.23-20.67"	1.94	"1.88-1.99"
"F"	2019-10-01	21.56	"19.78-23.34"	2.03	"1.97-2.09"
"F"	2019-11-01	23.81	"21.89-25.73"	2.16	"2.1-2.22"
"F"	2019-12-01	23.78	"21.94-25.61"	2.44	"2.38-2.5"
"F"	2020-01-01	23.44	"21.6-25.27"	2.44	"2.38-2.5"
"F"	2020-02-01	21.6	"19.82-23.37"	2.22	"2.16-2.28"
"F"	2020-03-01	24.65	"22.7-26.59"	2.39	"2.32-2.45"
"F"	2020-04-01	52.62	"49.91-55.32"	3.03	"2.96-3.1"
"F"	2020-05-01	30.15	"28.17-32.14"	2.17	"2.11-2.23"
"F"	2020-06-01	18.18	"16.59-19.76"	1.99	"1.93-2.04"
"F"	2020-07-01	16.78	"15.21-18.36"	1.85	"1.79-1.9"
"F"	2020-08-01	16.8	"15.33-18.28"	1.86	"1.8-1.91"
"F"	2020-09-01	17.74	"16.11-19.37"	1.88	"1.83-1.94"
"F"	2020-10-01	21.4	"19.67-23.14"	2.08	"2.03-2.14"
"F"	2020-11-01	22.8	"21.09-24.51"	2.3	"2.24-2.36"
"F"	2020-12-01	19.51	"17.97-21.05"	2.03	"1.97-2.08"
"F"	2021-01-01	33.17	"31.21-35.13"	3.37	"3.29-3.44"
"F"	2021-02-01	22.92	"21.25-24.59"	2.7	"2.63-2.77"
"F"	2021-03-01	18.01	"16.5-19.53"	2.11	"2.05-2.17"
"M"	2019-02-01	32.61	"30.28-34.94"	3.43	"3.34-3.52"
"M"	2019-03-01	26.14	"24.17-28.11"	3	"2.92-3.09"
"M"	2019-04-01	28.18	"26.09-30.26"	3.15	"3.07-3.24"
"M"	2019-05-01	24.27	"22.41-26.13"	2.86	"2.78-2.94"
"M"	2019-06-01	27.14	"25.09-29.19"	2.74	"2.66-2.82"
"M"	2019-07-01	22.3	"20.56-24.04"	2.77	"2.69-2.85"
"M"	2019-08-01	24.28	"22.45-26.11"	2.68	"2.6-2.75"
"M"	2019-09-01	26.16	"24.12-28.2"	2.78	"2.7-2.86"
"M"	2019-10-01	27.89	"25.92-29.86"	2.96	"2.88-3.04"
"M"	2019-11-01	31.64	"29.49-33.78"	3.23	"3.14-3.31"
"M"	2019-12-01	34.5	"32.27-36.73"	3.47	"3.38-3.55"
"M"	2020-01-01	33.46	"31.31-35.6"	3.43	"3.34-3.51"
"M"	2020-02-01	29.58	"27.51-31.66"	3.21	"3.12-3.29"
"M"	2020-03-01	34.23	"32.08-36.38"	3.59	"3.5-3.68"
"M"	2020-04-01	81.96	"78.66-85.27"	4.9	"4.8-5"
"M"	2020-05-01	45.25	"42.77-47.74"	3.24	"3.15-3.32"
"M"	2020-06-01	24.71	"22.82-26.6"	2.8	"2.72-2.88"
"M"	2020-07-01	24.16	"22.27-26.06"	2.57	"2.5-2.64"
"M"	2020-08-01	24.47	"22.62-26.33"	2.61	"2.53-2.68"
"M"	2020-09-01	23.98	"22.16-25.8"	2.76	"2.68-2.84"
"M"	2020-10-01	29.26	"27.31-31.22"	3.06	"2.98-3.14"
"M"	2020-11-01	33.57	"31.45-35.7"	3.54	"3.45-3.63"
"M"	2020-12-01	29.02	"27.1-30.94"	3	"2.92-3.08"
"M"	2021-01-01	51.81	"49.29-54.33"	5.15	"5.05-5.26"
"M"	2021-02-01	35.22	"32.95-37.49"	3.88	"3.79-3.98"
"M"	2021-03-01	23.74	"21.99-25.49"	2.92	"2.84-3"
